motif	observed	background	percent.observed	percent.background	fold.enrichment	pvalue	p.adjust	motif_name
Mybl1_647	1094	665	0.547563990910638	0.332842828112956	1.64511278195489	4.41194130170725e-25	8.9248423586023e-25	Mybl1
Terf2_648	5324	4282	2.66474468702764	2.14320750372884	1.24334423166745	2.61322753144945e-27	5.33508807806308e-27	Terf2
Mypop_649	1664	571	0.832857843578886	0.285794368199245	2.91418563922942	4.08051961307337e-124	1.69351142627082e-123	Mypop
Prdm11_650	1661	794	0.831356296985896	0.39740933161156	2.0919395465995	1.45270777287882e-70	4.29496211111998e-70	Prdm11
Gm239_651	8316	810	4.16228715577044	0.405417580107511	10.2666666666667	0	0	Gm239
Gm98_652	4783	2604	2.3939657847583	1.303342442716	1.83678955453149	1.0646459805671e-146	5.03287190813538e-146	Gm98
Pparg_653	7434	6510	3.72083245743115	3.25835610678999	1.14193548387097	8.6547218632506e-16	1.59391127648199e-15	Pparg
Rarg_654	7690	8932	3.84896443336637	4.47060472286455	0.860949395432154	1	1	Rarg
Nr1h3_655	8818	9245	4.4135459523309	4.62726608406659	0.953812871822607	0.999441367312052	1	Nr1h3
Ppard_656	12989	12271	6.50119623211908	6.14182608086329	1.0585119387173	1.57096352533744e-06	2.4026500975749e-06	Ppard
Nr2f6_657	9122	9811	4.56570267375397	4.91055787461085	0.929772704107634	0.999999861421273	1	Nr2f6
Nr1i3_658	10225	8276	5.11777130444358	4.14226653453057	1.23550024166264	4.4571198762368e-49	1.08244339851465e-48	Nr1i3
Nr2c2_659	7080	5353	3.54364995945824	2.67925963742655	1.32262282832057	3.40795711187831e-56	8.80887159912406e-56	Nr2c2
Nr2c1_660	8436	9398	4.22234901949007	4.70384496030912	0.897637795275591	0.999999999999921	1	Nr2c1
Rxrg_661	4159	7425	2.08164409341622	3.71632781765218	0.56013468013468	1	1	Rxrg
Rxra_662	6610	9438	3.30840765988969	4.723865581549	0.700360245814791	1	1	Rxra
Rarb_663	8767	9781	4.38801966025006	4.89554240868094	0.8963296186484	0.999999999999989	1	Rarb
Hnf4g_664	15203	15033	7.60933761774628	7.5242499774768	1.01130845473292	0.15603083598536	0.209941033502371	Hnf4g
Hnf4a_665	6647	7221	3.32692673453657	3.61422264932881	0.92050962470572	0.999999665873917	1	Hnf4a
Esr1_666	5144	6835	2.57465189144819	3.42102365436399	0.752596927578639	1	1	Esr1
Nr2e1_667	8927	7186	4.46810214520957	3.59670460574392	1.2422766490398	7.19795622050508e-45	1.68333156056256e-44	Nr2e1
Esr2_668	10533	11992	5.27193008799063	6.00218224771515	0.878335557038025	1	1	Esr2
Esrrb_669	11172	10880	5.59175951229767	5.44560897724656	1.02683823529412	0.0218975625482561	0.0301048915904486	Esrrb
Ppara_670	10369	8732	5.18984554090713	4.37050161666517	1.18747136967476	3.32588528834676e-34	7.38714219823752e-34	Ppara
Vdr_671	5927	5368	2.96655555221879	2.6867673703915	1.10413561847988	4.98644794567296e-08	7.92809349635773e-08	Vdr
Nr1i2_672	9990	7725	5.0001501546593	3.86648247695126	1.29320388349515	2.76854435706258e-68	7.89481681175264e-68	Nr1i2
Nr3c1_673	11405	10910	5.70837963101995	5.46062444317647	1.04537121906508	0.00033267632517571	0.000481318938552092	Nr3c1
Esrra_674	9107	9564	4.55819494078901	4.78693053845461	0.952216645754914	0.99970168494246	1	Esrra
Nr5a2_675	8418	11306	4.21333973993213	5.65882859345125	0.744560410401557	1	1	Nr5a2
Esrrg_676	8418	10990	4.21333973993213	5.50066568565623	0.765969062784349	1	1	Esrrg
Nr4a2_677	9185	8140	4.59723515220677	4.07419642231498	1.12837837837838	2.49541827946101e-16	4.6637415624599e-16	Nr4a2
Rorc_678	7845	6815	3.92654434067089	3.41101334374406	1.15113719735877	2.31113681963211e-18	4.41262407895203e-18	Rorc
Nr4a3_679	13294	11449	6.65385346907315	5.73040231438382	1.16114944536641	4.74092432969011e-34	1.05037020236743e-33	Nr4a3
Nr2f2_680	5782	10576	2.89398080022423	5.2934522558235	0.546709531013616	1	1	Nr2f2
Nr3c2_681	4668	5708	2.33640649869365	2.85694265093046	0.817799579537491	1	1	Nr3c2
Rora_682	6695	5508	3.35095148002442	2.75683954473107	1.21550472040668	5.03446115107022e-28	1.03259017576475e-27	Rora
Nr2e3_683	7844	8184	3.92604382513989	4.09621910567885	0.958455522971652	0.997013622346825	1	Nr2e3
Rorb_684	4055	5475	2.02959047819254	2.74032253220817	0.740639269406393	1	1	Rorb
Rara_685	11044	11439	5.52769352433006	5.72539715907385	0.965469009528805	0.996722491247403	1	Rara
Rxrb_686	5782	7184	2.89398080022423	3.59570357468192	0.804844097995546	1	1	Rxrb
Ar_687	9444	8476	4.72686867473498	4.24236964072995	1.11420481359132	7.17851625255327e-14	1.25908896175736e-13	Ar
Nr1h2_688	8818	9245	4.4135459523309	4.62726608406659	0.953812871822607	0.999441367312052	1	Nr1h2
Nr6a1_689	10925	9672	5.46813217614143	4.84098621580228	1.12954921422663	1.61989550817967e-19	3.13345214273704e-19	Nr6a1
Nr2f1_690	5782	7877	2.89398080022423	3.94256083766279	0.734035800431636	1	1	Nr2f1
Trp73_691	3935	4143	1.96952861447291	2.07363584492027	0.949794834660874	0.990597008797308	1	Trp73
Trp53_692	7782	7774	3.89501186221808	3.89100773797011	1.00102907126319	0.477173342179162	0.625847528911541	Trp53
Pax9_693	2756	3159	1.37942080342753	1.58112856241929	0.872427983539095	0.999999940241437	1	Pax9
Pax5_694	7373	6683	3.69030101004034	3.34494529365246	1.10324704474039	1.63332345277261e-09	2.66886863632346e-09	Pax5
Lcor_695	5927	4567	2.96655555221879	2.28585443006296	1.29778848259251	1.30361375111093e-41	3.00102748953662e-41	Lcor
Nfat5_696	11420	8971	5.7158873639849	4.49012482857343	1.27299074796567	8.92883969976588e-70	2.63103143153101e-69	Nfat5
Rel_697	7502	6869	3.75486751353895	3.43804118241789	1.09215315184161	3.93198294429439e-08	6.27413884974051e-08	Rel
Rela_698	11676	10154	5.84401933992012	5.0822347017428	1.14989166830806	1.62771104396474e-26	3.30780819049386e-26	Rela
Nfkb2_699	3919	3585	1.96152036597696	1.79434817862398	1.0931659693166	5.19448301612983e-05	7.65320497709795e-05	Nfkb2
Nfatc2_700	10260	8594	5.13528934802847	4.30143047338759	1.19385617872935	8.96682566796689e-36	2.02211068634764e-35	Nfatc2
Nfkb1_701	9532	8978	4.77091404146271	4.49362843729041	1.0617063934061	1.57417536705259e-05	2.34666277314416e-05	Nfkb1
Nfatc3_702	8928	7869	4.46860266074056	3.93855671341482	1.13457872664888	3.61635315275723e-17	6.80182167454764e-17	Nfatc3
Nfatc1_703	7742	7510	3.87499124097821	3.75887163778692	1.03089214380826	0.0282448399993583	0.0387708673283117	Nfatc1
Rfx5_704	13713	13274	6.86356947656086	6.64384315845321	1.03307217116167	0.0028799812480625	0.0040734454772596	Rfx5
