parietal_endo_rep1	parietal_endo_rep2	parietal_endo_rep3	parietal_endo_rep4	parietal_endo_rep5	parietal_endo_rep6
D1Ertd622e	12	7	3	2	4	7
Ppip5k2	119	68	39	33	58	69
Gin1	54	34	20	20	45	45
Pam	29	24	14	12	22	28
Gm7967	9	5	8	9	5	11
Cdh20	0	1	0	0	0	0
Rnf152	2	1	0	0	0	0
Pign	24	16	13	7	8	15
X2310035C23Rik	62	35	23	17	43	29
Tnfrsf11a	0	0	0	0	0	0
Gm7160	2	1	0	0	0	0
Zcchc2	42	33	9	6	25	21
Phlpp1	28	14	11	11	18	17
Bcl2	12	6	1	1	9	4
Kdsr	79	48	24	34	48	72
Vps4b	222	197	104	85	165	178
Serpinb5	0	0	0	1	1	1
Serpinb11	0	0	0	0	1	0
Serpinb2	0	0	0	0	0	0
Serpinb8	1	2	0	1	3	3
Gm15389	0	1	1	0	0	0
Cdh7	0	0	0	0	0	0
Dsel	18	16	7	6	15	9
X9330185C12Rik	0	0	0	0	1	0
Cntnap5a	0	0	0	0	0	0
Tsn	690	448	238	206	508	504
Nifk	153	95	61	47	115	130
Clasp1	104	47	31	38	86	89
X2900060B14Rik	20	23	12	8	35	25
Tfcp2l1	28	10	10	8	24	14
Gli2	1	0	0	1	1	1
Inhbb	2	0	1	0	2	0
Ralb	236	118	111	65	143	185
Gm27184	0	0	0	0	0	0
Tmem185b	47	30	16	19	35	33
X3830432H09Rik	3	1	1	0	0	0
Epb41l5	123	44	26	34	69	69
Ptpn4	21	23	7	7	14	12
Tmem177	5	10	4	1	4	11
Sctr	22	12	6	6	19	13
Tmem37	234	118	66	74	159	151
Dbi	1009	639	398	335	819	717
X3110009E18Rik	15	11	3	10	14	8
Steap3	1	1	1	0	3	0
En1	6	8	4	2	4	4
X2610027F03Rik	0	0	0	0	0	0
Insig2	71	51	29	15	77	63
Ccdc93	35	34	15	16	27	36
Htr5b	1	0	0	0	0	1
Ddx18	203	127	99	83	195	149
Dpp10	0	0	0	0	0	0
Actr3	566	314	211	190	384	384
Slc35f5	98	51	30	24	60	53
Gpr39	17	6	7	7	12	17
Lypd1	1	1	1	0	2	0
Nckap5	7	2	2	4	4	9
Mgat5	47	31	19	12	42	46
Tmem163	23	22	8	9	19	17
X2900009J06Rik	0	2	0	1	5	0
Ccnt2	112	51	36	32	63	67
