parietal_endo_rep1	parietal_endo_rep2	parietal_endo_rep3	parietal_endo_rep4	parietal_endo_rep5	parietal_endo_rep6
Cdsn	0	1	0	0	0	0
X2300002M23Rik	0	0	0	0	0	0
Sfta2	0	2	1	0	3	2
Dpcr1	224	160	128	78	238	242
Vars2	11	7	10	6	5	15
Gtf2h4	73	45	32	28	44	61
Ddr1	56	23	23	15	47	29
Gm4577	0	1	0	0	0	1
Gm20442	0	0	0	0	0	0
Ier3	81	59	43	33	135	118
Flot1	53	52	29	29	44	60
Tubb5	2046	1562	1102	988	1798	1703
Mdc1	69	54	39	27	46	54
Ppp1r18os	1	0	0	0	3	1
Nrm	41	29	17	12	39	24
Ppp1r18	12	8	3	5	9	11
Dhx16	89	53	52	30	83	99
X2310061I04Rik	71	36	34	28	62	45
Gm16279	1	1	1	0	0	3
Atat1	48	29	30	26	55	48
Mrps18b	165	149	100	82	221	184
Ppp1r10	251	191	128	103	186	227
Abcf1	348	211	197	150	322	320
Prr3	52	24	21	14	36	33
Gnl1	118	69	52	42	101	91
A930015D03Rik	4	3	4	0	4	3
H2.T24	0	1	0	0	0	2
H2.T23	12	11	6	5	13	7
H2.T22	50	37	32	20	40	39
X2410017I17Rik	0	1	0	0	0	0
Gm8909	4	0	1	0	0	2
Gm20478	0	0	0	0	0	0
Rpp21	117	97	61	63	144	137
Trim39	29	16	28	18	27	26
Trim26	122	85	59	58	115	105
Trim15	0	0	0	0	0	0
Trim10	0	0	0	0	1	0
Ppp1r11	131	90	77	70	167	161
Znrd1	153	98	63	52	122	141
Znrd1as	18	15	13	10	17	19
X2410137M14Rik	0	0	0	0	0	0
H2.M5	0	0	0	0	0	0
Zfp57	23	9	13	12	16	15
Gabbr1	19	16	12	10	25	17
Ubd	0	1	0	0	1	0
H2.M3	22	9	9	11	21	13
Gm26917	473	343	417	179	303	295
Gm42418	16479	8611	10961	7518	14783	15854
AY036118	493	285	338	260	576	479
Crisp1	0	0	0	1	0	0
Rhag	0	0	0	0	0	0
X9130008F23Rik	1	3	1	2	2	2
Cenpq	54	28	21	19	43	42
Mut	47	34	19	13	33	31
Ptchd4	0	0	0	1	0	0
Adgrf4	0	0	1	0	0	0
Cd2ap	393	293	163	171	362	392
Tnfrsf21	106	45	63	59	88	96
Adgrf5	3	4	1	3	3	5
Ankrd66	0	0	0	0	1	0
Pla2g7	6	8	2	4	4	2
Slc25a27	1	0	0	0	1	0
Cyp39a1	2	0	0	0	0	1
Rcan2	16	6	4	6	13	18
Enpp5	44	43	21	21	39	36
Enpp4	8	8	1	1	5	1
Clic5	18	9	10	2	18	12
Runx2	2	1	0	1	2	3
Runx2os1	0	1	0	1	0	0
Supt3	27	18	17	13	21	23
Cdc5l	285	169	114	101	231	215
B230354K17Rik	36	19	6	13	26	21
Spats1	0	0	0	0	0	0
Aars2	12	8	4	8	14	21
Tmem151b	1	2	0	1	0	0
Nfkbie	1	3	2	1	4	9
Slc35b2	168	103	90	71	127	173
Hsp90ab1	11570	6434	4973	4266	9728	9358
Slc29a1	72	45	35	30	73	82
Mymx	1	1	1	0	2	2
Capn11	1	2	3	1	1	2
Tmem63b	171	86	57	54	121	142
Gm16172	0	0	0	0	0	0
Mrpl14	444	287	199	165	411	375
X1600014C23Rik	1	0	0	1	2	0
F630040K05Rik	0	0	0	0	0	1
Vegfa	199	101	71	77	180	132
Mrps18a	377	214	174	144	341	306
Rsph9	16	4	7	6	15	20
Mad2l1bp	64	46	25	21	72	64
Gtpbp2	77	28	42	34	50	58
Polh	4	0	1	0	0	8
Xpo5	27	18	23	8	31	27
Polr1c	235	133	129	83	218	180
Yipf3	173	164	115	75	221	194
Lrrc73	26	29	13	12	25	27
Tjap1	68	22	19	20	54	45
Gm26785	2	1	1	0	1	2
Dlk2	1	2	0	0	0	0
Abcc10	3	4	1	2	6	8
Zfp318	68	54	28	31	75	62
Slc22a7	0	1	0	0	0	0
Gm5093	2	1	5	1	3	2
Ttbk1	0	0	0	0	0	0
Dnph1	47	15	19	8	19	23
Cul9	8	7	2	2	2	4
Srf	114	50	54	43	82	76
Ptk7	26	11	8	3	16	14
Klc4	73	23	26	28	52	45
Mrpl2	260	129	108	77	190	216
Cul7	91	53	52	38	74	78
Rrp36	46	25	18	18	25	41
Klhdc3	158	80	62	44	117	126
Mea1	173	93	80	74	161	155
Ppp2r5d	100	52	32	42	72	74
Pex6	35	22	19	23	30	30
Gnmt	0	1	1	0	0	3
Cnpy3	76	58	43	32	99	85
Ptcra	4	2	2	0	3	3
X2310039H08Rik	133	97	65	58	169	158
Rpl7l1	219	138	105	87	222	175
Bicral	19	7	4	2	13	15
Tbcc	103	89	47	59	99	102
Ubr2	157	93	79	76	161	146
Mrps10	153	62	65	60	115	119
Guca1b	2	0	2	0	1	2
Guca1a	4	5	2	0	4	9
X1700001C19Rik	0	0	0	0	0	0
AI661453	25	8	3	2	9	10
Taf8	24	11	11	4	8	12
Ccnd3	150	86	59	56	163	146
Bysl	66	24	33	23	52	58
Med20	35	30	22	10	57	43
Gm20517	5	1	0	0	1	1
Usp49	8	6	2	5	3	7
Tomm6	17	6	8	6	10	16
Tomm6os	0	1	0	0	0	0
Prickle4	1	0	0	0	1	0
Frs3	7	3	2	1	1	1
Pgc	10	7	5	3	13	8
Tfeb	25	15	13	7	18	23
Mdfi	7	4	5	2	7	10
Foxp4	84	50	51	27	87	89
Treml2	0	0	0	0	1	0
Trem2	0	0	0	0	0	0
Treml1	0	0	0	0	0	0
Nfya	45	20	23	34	37	42
Oard1	78	53	29	34	100	77
Apobec2	4	1	0	3	1	0
Tspo2	1	0	0	0	0	0
Mocs1	6	3	4	3	4	3
Daam2	1	0	1	2	0	1
Kif6	1	0	0	0	2	0
Rftn1	8	2	2	2	6	1
Dazl	7	4	2	1	5	1
Plcl2	37	18	12	12	19	24
Gm7334	4	0	0	0	1	0
Tbc1d5	30	12	12	8	19	19
Satb1	14	11	10	4	15	9
Gm27217	0	0	0	0	0	0
Kcnh8	0	0	0	0	0	0
Efhb	2	2	0	2	5	4
Rab5a	396	224	146	142	272	288
Pp2d1	1	0	0	1	1	1
Kat2b	32	17	16	14	23	35
Sgo1	42	38	26	30	44	42
Slc5a7	0	0	0	0	0	0
St6gal2	0	0	0	0	0	0
Gm26547	0	0	0	0	0	0
Pot1b	7	5	2	3	5	4
Zfp119a	18	15	15	11	12	7
Zfp959	26	12	7	7	18	16
Zfp119b	8	6	5	2	4	8
Ebi3	1	2	0	1	0	1
Gm16712	0	0	0	0	0	2
Ccdc94	15	9	5	4	13	7
Shd	3	2	2	1	2	1
Fsd1	3	3	1	1	7	4
Stap2	12	7	3	2	15	5
Mpnd	95	77	48	30	88	100
Sh3gl1	89	58	58	39	98	83
Chaf1a	93	63	37	28	88	68
Ubxn6	167	106	85	55	155	139
Hdgfl2	105	61	52	34	94	62
Plin5	3	1	2	0	1	1
Sema6b	0	0	0	1	1	1
Tnfaip8l1	1	1	2	3	0	0
Mydgf	591	404	341	273	584	548
Dpp9	44	28	23	16	42	50
Fem1a	23	20	11	14	20	24
Ticam1	20	15	14	7	15	28
Plin3	297	177	119	125	255	273
Uhrf1	96	53	36	28	50	48
Kdm4b	27	11	10	10	26	21
Ptprs	113	57	38	35	75	93
Gm20219	4	5	1	1	3	2
Safb2	131	79	96	67	117	117
Safb	226	133	100	74	171	218
X2410015M20Rik	693	552	356	292	746	722
Rpl36	2763	2282	1789	1595	3429	3025
Lonp1	148	89	62	47	106	102
Catsperd	3	0	2	0	2	2
Ranbp3	59	39	24	18	33	42
Vmac	21	15	10	11	14	21
Ndufa11	649	463	331	327	674	648
Nrtn	33	26	10	8	31	26
Dus3l	52	20	15	14	29	32
Prr22	1	0	0	0	0	0
Rfx2	3	5	3	2	7	8
Acsbg2	0	0	0	0	0	0
X1700061G19Rik	0	1	0	0	0	0
Mllt1	25	18	9	8	21	26
Clpp	219	140	99	99	178	205
Alkbh7	56	50	35	35	58	67
Gtf2f1	189	99	87	71	169	153
Gm17949	3	1	0	1	0	0
Khsrp	145	68	82	52	133	106
Slc25a41	2	0	0	0	1	0
Slc25a23	8	17	10	7	13	6
Crb3	193	59	51	58	126	121
Dennd1c	2	1	0	0	1	1
Tubb4a	0	0	0	1	1	0
Gm11110	1	1	1	0	3	0
Tnfsf9	2	2	1	1	2	6
C3	1	2	1	0	2	2
Gpr108	79	51	33	33	88	89
Trip10	73	26	26	24	49	51
Rpl7a.ps5	15	7	7	4	10	11
Pdzph1	0	0	1	0	1	0
Nudt12	3	6	0	1	10	5
Efna5	96	79	55	32	108	90
Fbxl17	13	16	12	9	20	22
Fer	57	40	20	21	56	49
Pja2	141	82	70	64	120	131
Man2a1	170	104	73	56	120	130
Vapa	754	433	300	245	618	563
Txndc2	0	1	0	0	0	0
Rab31	54	44	31	13	38	47
Ppp4r1	82	56	39	26	67	62
Ralbp1	205	101	92	86	182	154
Twsg1	89	43	42	32	65	68
Ankrd12	273	143	124	107	184	186
Ndufv2	410	256	167	173	425	344
Washc1	73	50	25	38	62	50
Ddx11	9	6	4	3	9	7
Mtcl1	60	41	19	22	28	46
Rab12	76	74	39	28	76	99
Ptprm	6	6	2	4	7	8
Lama1	3997	3059	1834	1535	3163	3448
Arhgap28	101	73	32	24	74	78
Tmem200c	0	0	0	0	0	0
Epb41l3	164	81	57	54	115	173
X2410021H03Rik	0	1	0	0	0	0
Zbtb14	14	3	5	6	11	11
A930029G22Rik	6	2	1	1	2	3
C030034I22Rik	14	8	4	7	7	12
Dlgap1	0	1	0	1	0	2
Gm20703	4	2	2	2	4	2
Tgif1	128	52	45	37	100	97
Gm28727	26	8	6	6	5	2
Gm26510	5	3	0	0	4	1
Gm16519	1	0	0	0	5	1
Myl12b	308	173	117	103	272	248
Myl12a	631	341	302	277	599	572
Myom1	1	3	0	1	2	2
Lpin2	83	42	31	31	48	40
Emilin2	3	0	1	0	3	2
Smchd1	278	167	133	107	236	222
Gm4707	11	8	5	5	9	5
Ndc80	74	52	45	42	68	63
Spdya	0	0	0	0	0	2
Wdr43	234	124	103	90	211	153
Clip4	4	0	1	1	3	1
Ypel5	277	121	108	99	170	183
Lbh	8	5	6	4	10	11
Lclat1	5	11	8	8	10	6
Galnt14	0	0	0	0	0	0
Ehd3	17	4	2	6	6	4
Srd5a2	0	0	0	0	0	0
Memo1	44	34	20	17	27	43
Dpy30	239	126	91	73	149	157
Spast	68	46	30	24	53	57
Slc30a6	32	20	17	8	30	22
Yipf4	190	122	80	69	160	174
Birc6	278	177	132	101	215	237
Gm26749	2	1	2	0	2	0
Ttc27	25	18	5	9	15	22
Ltbp1	175	78	36	41	88	45
Rasgrp3	6	4	2	0	5	3
Fam98a	117	74	63	48	130	146
Crim1	988	611	457	353	674	748
Fez2	226	124	76	92	165	188
Gm10093	0	2	1	2	0	1
Vit	16	15	5	5	6	8
Strn	45	18	23	19	33	23
Heatr5b	48	24	19	14	28	40
Gpatch11	68	48	36	29	60	62
Eif2ak2	109	62	32	37	75	64
Gm26637	1	2	1	1	1	1
Sult6b1	1	2	1	0	0	2
Cebpzos	145	84	71	49	129	130
Cebpz	245	153	117	94	221	233
Ndufaf7	58	33	27	32	45	31
Prkd3	36	24	12	10	33	30
Qpct	15	9	2	0	3	10
Cdc42ep3	30	15	9	19	23	24
Gm17315	1	1	0	0	0	1
Rmdn2	11	7	1	6	3	13
Cyp1b1	0	1	0	1	0	0
Atl2	73	30	20	16	39	46
Hnrnpll	117	78	41	39	82	83
Galm	14	6	5	11	28	18
Srsf7	474	228	176	183	442	412
Gemin6	35	21	16	13	41	36
Dhx57	37	17	15	25	35	41
Morn2	35	27	17	15	32	39
Arhgef33	0	1	0	0	0	3
Sos1	75	62	35	32	49	70
Cdkl4	0	0	0	0	0	0
Map4k3	54	46	28	26	45	60
Tmem178	2	0	0	0	2	2
Thumpd2	9	16	4	13	14	15
Slc8a1	0	0	0	0	0	0
Pkdcc	97	43	24	20	59	41
Eml4	239	131	144	121	214	218
Cox7a2l	896	572	399	340	731	749
Kcng3	0	0	0	0	0	0
Mta3	112	65	35	34	84	68
C430042M11Rik	0	0	0	0	0	1
Zfp36l2	204	100	78	51	89	115
Thada	18	7	9	6	12	18
Plekhh2	41	33	25	11	14	29
Dync2li1	33	23	15	15	34	20
Lrpprc	72	40	45	32	60	62
X1110020A21Rik	2	0	0	4	7	4
Ppm1b	146	86	50	32	104	97
Slc3a1	0	0	0	0	0	0
Prepl	15	19	7	3	17	8
Camkmt	2	3	2	0	3	8
Six3	4	7	3	1	2	3
Six2	0	3	0	0	3	0
Srbd1	48	26	17	21	29	22
Prkce	61	39	17	15	37	38
Epas1	798	461	333	312	552	557
Rhoq	59	36	31	18	36	42
Pigf	96	66	62	41	100	92
Cript	205	132	123	89	213	222
Socs5	45	21	23	12	28	35
Mcfd2	117	78	66	65	99	96
X4833418N02Rik	0	2	3	2	4	5
Ttc7	2	6	5	2	6	3
Calm2	932	483	360	317	714	707
Epcam	1343	558	274	282	715	817
Msh2	210	127	92	71	151	174
Kcnk12	11	5	2	1	5	4
Msh6	145	68	52	27	129	117
Fbxo11	158	76	63	47	102	98
Foxn2	85	37	45	39	57	58
Ppp1r21	67	21	17	28	43	43
Ston1	3	6	2	2	6	10
Gm10184	12	4	1	2	4	1
Nrxn1	0	1	0	0	1	1
Adcyap1	0	0	0	0	0	0
Mettl4	6	5	4	5	5	3
Gm1976	2	4	2	3	5	7
Gm26734	6	2	1	1	3	3
Gm20939	6	0	3	2	5	2
Gm47283	176	111	113	93	226	193
Crem	21	18	9	8	25	30
Gm6225	0	0	0	0	0	0
Cul2	73	47	33	27	76	63
Bambi	108	71	49	45	62	73
Map3k8	14	3	2	1	4	4
Mtpap	54	38	27	27	52	34
Jcad	17	17	12	14	20	25
Svil	59	39	31	28	54	55
Gm26682	0	0	0	0	0	0
Zfp438	3	5	6	2	3	4
Zeb1	27	17	20	13	16	20
Arhgap12	122	67	39	40	64	83
Kif5b	1264	772	480	397	1020	990
Rpl27.ps3	62	35	36	17	37	33
Epc1	101	58	57	41	82	62
Gm28529	5	0	0	0	0	3
Rab18	229	133	119	87	255	241
Mkx	5	4	3	6	4	3
Mpp7	65	32	23	17	40	34
Wac	387	229	155	135	291	297
Fzd8	9	6	4	4	6	6
Gjd4	1	0	0	0	0	0
Ccny	59	40	29	19	42	49
Colec12	11	2	4	2	6	3
Gm17430	2	2	3	2	5	4
Thoc1	58	35	33	20	59	57
Usp14	227	134	77	67	187	176
Rock1	434	238	169	144	326	306
Greb1l	8	6	8	2	5	19
Esco1	72	42	36	25	60	61
Snrpd1	772	408	346	331	671	649
Abhd3	9	5	1	0	7	4
Mib1	86	52	22	27	38	60
X1010001N08Rik	10	8	9	5	10	18
Gata6	459	363	178	153	293	274
Rbbp8	97	40	40	32	59	55
Gm6277	1	0	0	0	0	0
Cables1	3	3	2	0	1	2
Tmem241	6	5	5	1	6	7
Riok3	161	76	71	60	143	134
X3110002H16Rik	86	37	38	21	52	47
Npc1	173	110	73	65	113	152
Gm15956	1	1	1	0	1	1
Ankrd29	6	0	0	0	1	2
Lama3	3	3	0	0	1	1
Ttc39c	10	3	3	4	11	10
Osbpl1a	47	26	18	20	38	39
Impact	258	179	125	141	229	293
Zfp521	0	0	0	0	2	1
Gm5160	2	1	2	0	2	3
Ss18	51	41	19	27	49	55
Psma8	0	0	0	0	1	0
Taf4b	20	12	10	12	16	12
Kctd1	21	15	8	8	12	8
Aqp4	0	0	0	0	1	0
Gm10036	12	12	16	17	39	29
Cdh2	4	7	2	1	4	6
Dsc3	0	0	0	0	0	0
Dsc2	9	3	2	3	7	12
Dsg3	0	0	0	0	0	0
Dsg2	89	37	35	32	69	64
Ttr	461	342	351	403	798	956
Gm10269	7	1	3	5	7	9
B4galt6	45	19	10	8	31	35
Trappc8	51	38	20	22	50	40
Rnf125	0	1	0	0	2	1
Rnf138	79	38	22	23	60	61
Mep1b	0	0	0	0	1	4
Garem1	24	8	9	4	19	11
Klhl14	1	0	0	0	0	0
X4930426D05Rik	0	0	0	0	0	0
Asxl3	2	2	0	1	2	0
Nol4	0	0	0	0	1	0
Dtna	8	4	0	1	4	3
Gm15972	1	1	0	0	4	0
Mapre2	37	28	17	18	24	36
Zfp397	54	25	20	18	35	30
Zfp35	11	4	5	6	15	9
Zfp24	95	71	34	32	64	93
Ino80c	43	23	19	18	35	29
Galnt1	239	142	107	78	191	185
X2700062C07Rik	31	33	16	23	41	34
Rprd1a	34	25	11	11	30	24
Slc39a6	55	32	19	15	22	33
Elp2	34	31	23	14	50	44
Mocos	2	1	1	0	0	3
Fhod3	146	90	91	65	117	132
Tpgs2	41	35	19	21	36	38
AW554918	22	20	9	8	22	22
Celf4	5	10	3	2	7	13
Pik3c3	33	25	11	14	22	25
Rit2	0	0	0	0	0	0
Syt4	3	1	0	0	1	0
Slc25a46	60	28	29	19	52	55
B930094E09Rik	2	0	1	0	0	1
Sap130	29	21	16	9	28	29
Ammecr1l	94	52	48	36	77	72
Gm26533	2	0	0	1	1	3
Polr2d	113	56	52	39	119	97
Wdr33	145	77	51	34	82	103
Gm26823	2	0	3	0	1	2
Sft2d3	66	32	35	20	75	66
Lims2	6	2	1	3	3	8
Iws1	257	150	103	100	213	206
Proc	6	0	3	1	6	6
Map3k2	81	43	42	21	62	53
Ercc3	37	12	12	11	14	19
A830052D11Rik	1	1	0	0	2	1
Bin1	102	33	34	28	62	62
Gypc	0	0	0	1	1	0
Tslp	0	0	0	0	1	0
Wdr36	92	41	37	21	56	57
Camk4	4	1	2	1	0	1
Stard4	95	78	46	48	88	81
Nrep	71	58	51	47	73	103
Epb41l4aos	88	75	74	56	120	118
Epb41l4a	7	2	4	2	6	7
Apc	115	57	53	42	72	86
Srp19	491	334	270	221	548	507
Reep5	910	576	383	279	765	709
Fam13b	92	54	31	22	58	69
Wnt8a	0	0	0	0	0	1
Nme5	5	2	0	1	0	1
X4933408B17Rik	6	4	2	0	3	4
Brd8	307	230	205	136	350	322
Kif20a	54	28	17	12	30	32
Cdc23	51	40	30	25	50	47
Gfra3	0	0	0	0	0	0
Cdc25c	23	8	7	6	18	12
Gm3550	4	1	3	0	3	5
X2010110K18Rik	1	3	2	3	2	2
Fam53c	33	26	17	14	32	29
Kdm3b	62	45	26	20	56	64
Gm26538	1	1	0	0	0	0
Reep2	4	3	2	0	3	5
Egr1	1043	666	338	338	833	936
Etf1	534	234	247	185	359	363
Hspa9	510	306	241	192	405	394
Ctnna1	440	246	175	141	322	363
Lrrtm2	2	0	2	0	2	0
Sil1	70	74	39	32	81	87
Gm5239	1	2	1	0	1	3
Gm28285	2	0	0	0	0	2
Matr3	384	269	202	160	312	360
Paip2	656	382	299	243	609	595
Slc23a1	20	5	8	10	11	5
Mzb1	0	0	0	0	0	0
Prob1	1	5	6	3	7	5
Spata24	38	22	17	18	38	32
Dnajc18	33	27	13	15	31	37
X1700066B19Rik	4	2	1	2	6	2
Ecscr	10	7	4	5	12	6
Tmem173	1	1	1	0	0	3
Ube2d2a	710	385	284	272	631	604
Cxxc5	79	44	25	19	58	73
Gm29417	1	0	0	0	0	0
Psd2	0	0	0	0	0	0
Nrg2	28	18	21	19	33	26
Pura	219	122	71	80	157	149
Igip	5	7	0	6	1	5
Cystm1	764	448	371	301	726	643
Pfdn1	468	317	240	207	495	497
Hbegf	599	358	249	206	487	510
Ankhd1	150	89	64	51	95	116
Sra1	397	286	237	187	457	443
Slc35a4	85	42	37	30	76	73
E230025N22Rik	1	0	0	1	0	0
Cd14	5	2	0	0	1	1
Tmco6	1	6	1	1	4	5
Ndufa2	682	518	436	376	860	825
Ik	208	124	107	79	198	169
Wdr55	43	22	21	12	25	26
Dnd1	3	3	1	1	2	2
Hars	75	63	38	38	113	71
Hars2	16	19	10	10	23	9
Zmat2	260	190	150	135	270	259
Pcdha11.1	0	0	0	0	0	0
Pcdhac2	1	0	0	0	0	0
Pcdhb2	0	0	0	0	0	0
Pcdhb4	1	0	0	0	0	0
Pcdhb5	1	0	0	0	0	0
Pcdhb9	0	0	0	0	0	0
Pcdhb11	0	1	0	0	0	0
Pcdhb14	3	0	1	0	2	0
Pcdhb16	1	2	0	0	1	0
Pcdhb17	0	0	0	0	2	0
Pcdhb18	1	1	0	0	0	0
Pcdhb19	1	1	1	0	0	1
Pcdhb20	0	1	0	0	0	0
Pcdhb21	1	2	0	0	0	0
Pcdhb22	3	5	1	2	6	6
Slc25a2	1	0	0	2	0	0
Taf7	1211	703	505	470	932	889
X3222401L13Rik	27	28	20	15	29	36
Pcdhga1	0	1	0	0	0	0
Pcdhga2	6	8	1	3	4	4
Pcdhga4	0	1	0	1	0	0
Pcdhgb2	0	3	3	0	3	4
Pcdhga5	0	2	0	1	2	2
Pcdhga6	2	3	2	3	0	1
Pcdhga7	4	5	0	1	5	2
Pcdhgb4	2	4	1	0	0	2
Pcdhga8	0	0	0	0	0	1
Pcdhgb5	2	1	0	1	0	2
Pcdhga9	1	2	5	1	2	0
Pcdhgb6	1	0	0	1	0	0
Pcdhga10	5	3	2	1	2	7
Pcdhgb7	2	0	0	0	0	1
Pcdhga11	1	0	0	0	0	1
Pcdhga12	3	2	0	0	0	3
BC037039	1	0	0	0	1	0
Pcdhgc3	0	0	1	0	1	2
Pcdhgc4	6	3	1	0	4	1
Pcdhgc5	4	1	2	2	0	1
Gm29994	2	2	2	0	1	3
Diaph1	161	90	60	31	104	94
Hdac3	68	46	34	20	57	42
Rell2	3	2	0	0	1	1
Fchsd1	3	5	1	1	1	5
Arap3	0	0	1	0	2	2
Pcdh1	14	8	8	3	6	13
X1700086O06Rik	11	11	5	5	12	19
X0610009O20Rik	51	32	42	17	46	62
Pcdh12	0	0	0	0	0	0
Rnf14	97	59	59	57	101	99
Gnpda1	46	46	25	20	52	37
Ndfip1	131	104	67	47	93	105
Spry4	18	5	8	5	10	10
Arhgap26	10	6	4	2	6	4
Fgf1	3	1	2	1	1	2
Nr3c1	74	36	28	24	52	48
Yipf5	412	229	156	156	309	338
X2900055J20Rik	2	3	0	2	6	8
Prelid2	190	134	108	87	210	210
Sh3rf2	11	7	5	3	5	4
Gm5689	0	1	3	0	0	0
Lars	245	132	90	79	202	204
Rbm27	163	74	63	58	103	111
Pou4f3	0	0	0	0	0	1
Tcerg1	334	205	156	131	291	302
Ppp2r2b	1	2	1	1	2	3
Stk32a	0	0	0	0	1	1
Dpysl3	69	41	11	9	27	26
Eif3j2	9	5	2	1	3	7
Jakmip2	2	0	0	1	2	1
Spink1	376	262	465	379	665	721
Spink5	2	0	0	0	1	0
Dcp2	92	59	43	29	71	66
Mcc	118	82	52	34	82	104
Ythdc2	40	23	22	18	21	38
Kcnn2	0	0	0	0	0	0
Trim36	6	2	0	0	0	1
Pggt1b	18	15	11	6	11	16
Ccdc112	30	11	11	11	22	27
Fem1c	136	90	64	45	144	124
Ticam2	0	0	1	0	0	2
Tmed7	270	159	91	89	177	174
Eif1a	388	221	162	117	326	346
Cdo1	5	4	5	1	5	10
Atg12	113	55	59	38	87	87
Ap3s1	134	106	62	62	120	118
Arl14epl	1	0	1	0	1	2
Commd10	87	47	43	28	66	57
Sema6a	246	190	126	84	237	230
Eno1b	3	1	3	0	8	6
Dtwd2	19	12	8	6	14	9
Dmxl1	194	103	89	58	113	133
Tnfaip8	27	19	10	6	19	23
Hsd17b4	74	31	31	27	45	45
Prr16	0	0	0	0	0	0
Gm4950	6	3	7	10	14	13
Srfbp1	36	22	21	19	37	42
Lox	2	1	2	4	1	3
Sncaip	0	0	1	1	0	0
Snx2	415	245	182	127	321	335
Snx24	79	53	26	22	52	61
Ppic	477	316	153	147	338	276
Prdm6	36	9	3	6	12	16
Cep120	45	32	12	10	28	29
Csnk1g3	123	77	36	31	109	85
Zfp608	6	3	2	2	9	11
Gramd3	42	32	28	21	54	44
Aldh7a1	237	111	67	68	162	139
Phax	330	227	163	127	275	243
Lmnb1	331	174	111	79	184	178
March3	3	4	2	0	4	5
C330018D20Rik	20	18	11	10	21	21
Megf10	1	1	0	0	0	2
Prrc1	210	124	108	81	187	230
Slc12a2	105	61	29	37	76	81
Fbn2	2	3	2	3	7	4
Slc27a6	0	0	0	0	0	0
Isoc1	43	24	17	13	19	17
Adamts19	0	0	0	0	0	2
A730017C20Rik	0	0	0	0	1	0
Chsy3	4	2	0	0	0	1
F830016B08Rik	0	0	0	0	0	0
Iigp1	0	0	0	0	0	1
Smim3	15	1	10	3	13	13
Dctn4	119	78	59	51	124	111
Rbm22	85	56	45	38	88	76
Synpo	2	5	5	1	3	10
Ndst1	45	33	23	24	34	49
Rps14	8743	6081	4875	3983	9141	8246
Cd74	3	2	0	0	0	1
Tcof1	167	95	74	68	116	143
Arsi	2	4	3	2	6	4
Camk2a	3	5	2	2	1	4
Cdx1	0	0	0	0	0	0
Pdgfrb	0	1	3	0	2	2
Csf1r	6	11	6	8	9	20
Hmgxb3	67	40	29	22	52	56
Slc26a2	478	236	213	153	292	346
Ppargc1b	7	11	4	3	11	8
Arhgef37	2	0	0	0	1	0
Csnk1a1	623	395	256	216	531	505
Bvht	1	1	0	0	2	2
Carmn	7	1	2	3	0	0
Il17b	0	0	0	0	0	0
Pcyox1l	16	10	11	6	18	21
Grpel2	73	42	34	25	44	56
X1500015A07Rik	11	8	10	3	10	9
Afap1l1	24	5	5	4	10	9
Ablim3	0	0	0	1	0	0
Sh3tc2	10	8	8	10	9	14
Adrb2	4	5	3	1	5	5
Gm9949	0	0	1	1	1	2
Fbxo38	61	37	25	24	48	51
Spink10	0	1	0	0	1	0
X2700046A07Rik	3	2	2	1	3	1
Apcdd1	0	0	1	0	1	4
Napg	111	74	46	39	109	98
Piezo2	5	2	1	0	2	2
Txnl1	966	497	348	362	753	835
Wdr7	24	27	8	10	26	30
St8sia3	1	0	0	0	0	0
Onecut2	17	7	3	3	12	10
Fech	33	28	25	14	37	40
Nars	333	211	206	168	377	379
Atp8b1	22	18	10	4	24	16
A330084C13Rik	0	2	1	0	0	3
Nedd4l	46	41	31	12	48	47
Alpk2	0	0	0	0	1	0
Malt1	18	9	12	11	14	20
Zfp532	19	12	9	6	22	17
Sec11c	167	108	105	69	179	162
Grp	0	0	0	0	0	0
Rax	0	1	1	0	1	0
Lman1	967	601	445	406	805	874
Ccbe1	0	1	0	0	1	0
Pmaip1	90	35	25	26	81	59
Mc4r	0	1	0	0	0	0
Gnal	1	0	0	2	2	1
Chmp1b	51	38	24	17	51	54
Mppe1	7	8	0	1	9	5
Impa2	50	37	21	19	46	29
Cidea	0	0	0	0	1	0
Tubb6	144	57	59	44	102	98
Afg3l2	65	34	19	16	42	41
Prelid3a	1	0	0	0	0	0
Spire1	24	11	6	11	18	19
Gm17669	2	0	0	0	1	2
Cep76	14	8	6	10	10	10
Psmg2	78	55	38	38	67	62
Ptpn2	142	79	63	62	114	154
Gm26910	6	3	4	4	4	5
Seh1l	141	86	53	65	122	91
Cep192	71	25	26	19	62	53
Ldlrad4	1	0	0	0	3	1
Fam210a	69	34	31	25	44	59
Rnmt	123	82	66	42	108	101
Tcf4	82	63	41	31	81	95
Ccdc68	37	16	11	18	26	41
Rab27b	7	8	6	9	17	21
Dynap	0	0	0	0	0	0
X4930503L19Rik	5	7	9	7	11	11
Stard6	1	0	0	0	1	0
Poli	9	8	5	4	9	10
Mbd2	173	104	61	68	142	138
Dcc	0	0	0	0	1	0
Mex3c	130	51	32	40	61	77
Smad4	338	185	144	104	242	215
Elac1	10	5	2	6	6	8
Me2	379	186	170	178	373	401
Mro	1	0	0	0	1	0
Mapk4	2	1	0	0	0	1
D730045A05Rik	0	0	0	0	0	0
Gm9925	0	0	0	0	1	2
Ska1	47	12	15	17	19	17
Cxxc1	108	47	44	32	75	64
Mbd1	68	42	30	20	48	58
