pluripotent_NA18511	pluripotent_NA18856	pluripotent_NA18858	pluripotent_NA18912	pluripotent_NA19140	pluripotent_NA19159	pluripotent_NA19160	pluripotent_NA19210
KCTD5	571	182	8433	141	36	56	338	275
PRSS27	29	14	386	13	4	8	22	18
SRRM2	17317	6057	216831	4438	919	1696	10873	6426
ELOB	29642	7206	340975	5739	1046	2122	16640	9187
PRSS33	6	6	162	6	0	0	0	4
PRSS41	0	0	14	3	0	2	0	2
PRSS21	276	1	3371	5	0	2	120	15
ZG16B	0	0	11	0	0	0	0	0
PRSS22	71	3	1154	27	1	10	15	8
FLYWCH2	1145	614	14777	438	83	151	721	565
FLYWCH1	393	185	4506	136	23	48	152	170
KREMEN2	498	25	7249	66	8	19	64	49
PKMYT1	1494	231	17309	224	33	79	710	407
PAQR4	520	137	6652	99	20	40	271	153
LINC00514	10	2	185	6	0	2	10	7
CLDN9	201	3	2902	24	1	13	54	17
CLDN6	12780	504	205823	2461	342	726	7346	3555
TNFRSF12A	6614	350	94020	1142	145	359	2782	1379
HCFC1R1	4518	567	66125	891	170	309	2286	1315
THOC6	3991	703	61974	746	145	269	2367	1266
BICDL2	688	13	7085	96	15	21	286	152
MMP25	385	16	3591	41	6	15	237	151
IL32	535	11	5057	51	5	10	179	51
ZSCAN10	4895	98	60266	553	86	139	2320	926
ZNF205	1161	226	14638	214	39	73	639	378
ZNF213	73	122	1053	60	16	35	66	81
OR1F1	0	0	2	0	0	0	0	0
ZNF200	386	97	4499	70	13	15	202	108
MEFV	1	0	16	0	0	0	0	1
ZNF263	704	151	9320	148	27	54	315	219
TIGD7	213	94	2957	89	10	25	150	129
ZNF75A	1151	470	15661	464	61	116	745	635
OR2C1	0	0	1	0	0	0	0	0
AC025283.2	3	72	13	34	13	10	3	49
MTRNR2L4	1	0	27	1	0	1	1	1
ZSCAN32	464	124	5372	110	23	33	244	164
ZNF174	414	93	5172	84	15	28	177	116
ZNF597	78	25	843	22	6	5	41	40
NAA60	818	239	14214	227	22	55	483	344
C16orf90	0	0	1	0	0	0	0	0
CLUAP1	1421	836	10526	425	87	204	572	579
NLRC3	1	9	42	26	3	5	12	14
SLX4	246	156	2497	96	19	49	182	160
DNASE1	260	330	2949	207	50	73	173	253
TRAP1	6692	1096	80571	1022	179	349	3042	1704
CREBBP	1782	1680	20175	1221	246	379	1081	1757
ADCY9	118	205	1619	135	40	67	56	288
SRL	1	5	21	3	0	0	2	6
TFAP4	662	231	7860	193	46	90	571	349
GLIS2	5	128	37	63	21	28	2	129
PAM16	311	1335	4647	1346	233	471	140	2178
CORO7	0	90	14	120	24	26	2	146
VASN	1	127	2	120	13	36	1	138
DNAJA3	252	305	2246	246	59	100	110	506
NMRAL1	881	287	9305	447	113	184	564	586
HMOX2	1193	326	15012	418	70	110	452	684
CDIP1	9	372	144	267	54	104	8	499
C16orf96	3	26	186	24	6	13	7	47
UBALD1	982	200	18270	278	38	60	444	273
MGRN1	902	481	10191	328	41	107	362	432
NUDT16L1	3940	774	47176	553	107	271	1754	1032
ANKS3	703	348	7702	241	55	96	354	353
C16orf71	4	22	89	7	1	1	4	23
ZNF500	325	123	3549	76	14	36	147	111
SEPTIN12	0	1	3	1	0	1	0	2
SMIM22	37	1	983	9	0	1	32	8
ROGDI	836	213	13749	173	40	69	569	315
GLYR1	2205	961	26464	800	151	277	1361	1293
UBN1	2185	1003	28186	621	139	232	1253	925
PPL	914	48	5467	167	25	64	273	244
SEC14L5	41	4	624	13	1	3	26	18
NAGPA	417	91	4566	65	8	30	177	79
ALG1	614	125	9480	172	23	54	378	190
C16orf89	43	2	361	96	2	11	153	19
EEF2KMT	931	252	12029	208	40	77	578	327
RBFOX1	183	11549	1953	3832	1425	2363	154	5985
TMEM114	0	4	62	8	3	2	0	7
METTL22	806	325	11178	261	52	97	477	417
ABAT	114	782	1655	156	70	127	108	373
TMEM186	1134	240	11436	185	41	56	651	283
PMM2	2500	407	25517	604	108	183	1240	823
CARHSP1	17566	3344	163042	3406	844	1362	10778	6611
LITAFD	0	0	1	1	0	0	0	2
USP7	5998	1421	63493	1381	294	449	2915	2277
C16orf72	1718	262	18887	303	56	110	1005	528
GRIN2A	857	68	629	94	53	39	110	362
ATF7IP2	871	838	6180	617	109	175	385	915
EMP2	955	620	15231	562	67	184	635	450
TEKT5	0	7	12	3	0	2	0	14
NUBP1	1408	471	22122	375	62	133	780	526
TVP23A	49	107	1603	77	21	35	42	106
CIITA	2	7	72	4	1	1	5	7
DEXI	1132	399	15754	342	55	129	749	490
CLEC16A	189	430	2046	351	62	97	74	534
RMI2	3357	682	39342	861	128	243	1883	1144
SOCS1	6442	202	58975	502	55	167	1685	891
TNP2	0	0	0	0	0	0	0	0
PRM3	1	0	1	0	0	0	0	0
PRM2	3	0	35	0	0	0	0	0
PRM1	4	10	191	0	1	1	1	0
AC099489.1	2	88	867	45	25	41	0	89
LITAF	10861	1152	102877	1433	143	659	3969	2019
SNN	1341	327	16948	240	45	128	558	473
TXNDC11	261	199	3793	154	22	51	149	205
ZC3H7A	1059	767	12757	525	111	198	700	733
RSL1D1	16710	2693	199040	3359	487	1090	9670	4713
GSPT1	12181	2001	129860	2205	409	785	6079	3653
NPIPB2	9	191	282	16	13	19	6	78
TNFRSF17	0	1	3	0	0	1	0	2
SNX29	214	533	2530	283	76	133	121	465
CPPED1	528	307	9168	272	40	105	307	377
SHISA9	377	1244	7004	1340	442	575	363	2608
ERCC4	786	491	10500	268	59	114	559	464
MRTFB	596	1503	5911	1071	211	393	312	1489
PARN	734	706	8762	721	138	248	388	1124
BFAR	346	862	4118	954	175	349	230	1548
PLA2G10	34	7	600	6	3	2	18	18
NPIPA3	2	1	18	0	0	0	2	4
NPIPA2	0	2	1	5	0	2	0	13
NOMO1	601	157	4139	107	16	37	335	290
NPIPA1	13	40	193	42	9	13	16	52
PDXDC1	291	927	3379	601	124	209	222	1032
NTAN1	680	655	7983	687	120	222	319	992
RRN3	172	373	1665	270	53	117	98	520
NPIPA5	0	5	4	22	2	5	0	32
MPV17L	2	68	164	134	18	31	5	129
BMERB1	55	969	897	479	104	203	38	772
MARF1	70	395	630	228	54	82	45	344
NDE1	50	469	716	218	47	102	37	354
MYH11	4	73	63	16	10	17	1	31
FOPNL	344	657	5003	515	118	223	311	1016
ABCC1	131	650	1557	783	143	215	66	1173
ABCC6	1	48	5	35	5	10	0	30
NOMO3	4	28	94	20	6	3	0	38
AC138969.1	2	14	22	0	2	3	1	16
NPIPA7	0	3	0	3	0	0	0	3
XYLT1	168	690	1820	449	135	237	140	969
NPIPA8	1	7	0	1	0	1	1	1
NPIPA9	0	3	0	0	1	0	0	2
NOMO2	45	82	579	33	5	14	24	58
RPS15A	179273	48435	1945451	41514	7100	15485	106173	67565
ARL6IP1	7107	5485	82984	3849	782	1587	3974	6266
SMG1	1769	1071	19445	949	207	345	991	1495
TMC7	85	161	1041	106	23	53	73	109
COQ7	765	366	10750	207	48	108	448	300
ITPRIPL2	175	62	1883	83	10	15	66	62
SYT17	173	78	3096	118	12	38	79	117
CLEC19A	3	19	58	8	2	3	4	19
TMC5	105	38	1027	85	10	7	158	50
GDE1	2247	715	31005	528	106	205	1480	880
CCP110	645	465	8742	185	43	78	376	376
VPS35L	1056	737	12789	644	121	202	657	906
KNOP1	7763	1815	82559	1710	263	577	4824	2402
IQCK	246	1140	2987	293	115	190	217	580
GPRC5B	1579	542	20852	430	82	168	853	793
GPR139	1	9	7	14	4	2	1	7
GP2	0	2	1	0	0	0	0	1
UMOD	0	1	2	1	0	0	0	0
PDILT	0	0	0	0	1	0	0	1
ACSM5	0	2	0	2	0	0	0	0
ACSM2A	2	1	8	2	0	0	0	0
ACSM2B	0	1	4	0	0	0	0	0
ACSM3	108	95	1602	168	88	195	73	45
ACSM1	206	33	72	22	17	13	269	11
THUMPD1	3607	1224	44432	953	197	390	2284	1627
ERI2	348	322	3093	148	37	70	189	252
REXO5	150	166	1315	53	15	26	83	110
DCUN1D3	251	50	3406	67	14	19	138	101
LYRM1	840	673	8241	328	76	124	564	493
DNAH3	35	56	296	32	7	7	11	52
TMEM159	1308	327	19587	420	91	125	779	529
ZP2	0	0	11	0	0	0	0	0
ANKS4B	1	0	9	2	0	0	1	1
CRYM	293	74	8120	63	15	28	224	175
NPIPB3	1	10	19	8	2	6	0	21
METTL9	5643	2748	62795	1635	375	714	3873	2533
IGSF6	16	17	79	13	3	5	7	19
OTOA	10	9	164	13	2	2	4	14
NPIPB4	10	88	154	93	19	18	3	55
UQCRC2	9350	1804	97846	1593	311	569	4365	2471
PDZD9	1	3	6	3	4	1	0	21
MOSMO	1176	764	16397	534	116	200	722	813
VWA3A	0	58	29	8	3	7	2	16
SDR42E2	13	4	108	7	0	2	3	2
EEF2K	448	171	7205	201	26	75	279	316
POLR3E	1539	293	19982	323	62	102	984	423
CDR2	1144	449	11237	584	110	158	569	866
NPIPB5	63	75	758	93	21	36	36	113
HS3ST2	29	71	402	35	6	10	11	54
USP31	743	410	7379	320	82	111	410	514
SCNN1G	33	2	344	10	0	0	14	13
SCNN1B	172	12	935	10	11	3	49	97
COG7	672	518	7771	289	86	127	323	562
GGA2	1542	807	19463	745	170	294	1015	1169
EARS2	772	165	10733	186	29	58	435	245
UBFD1	2521	527	29608	554	88	212	1340	746
NDUFAB1	45650	4556	577945	5143	857	1520	20072	8629
PALB2	657	246	6404	226	60	67	375	372
DCTN5	1611	477	19498	343	60	137	747	561
PLK1	3810	996	58406	789	130	263	2046	1321
ERN2	14	13	348	12	2	5	16	23
CHP2	29	2	1111	18	0	2	31	18
PRKCB	107	163	2872	139	27	62	93	245
CACNG3	0	4	9	3	1	13	0	1
RBBP6	3985	1398	46721	1297	222	455	2096	1804
TNRC6A	3812	2876	45531	2687	522	881	2058	3639
SLC5A11	7	24	223	6	1	3	2	17
ARHGAP17	718	549	9564	444	70	135	414	675
LCMT1	3951	1050	56257	1193	194	426	2479	1559
AQP8	1	0	26	0	0	2	0	3
ZKSCAN2	169	100	2613	65	17	24	103	105
HS3ST4	69	599	554	734	212	199	88	974
C16orf82	0	3	8	0	0	0	0	1
KDM8	63	59	964	58	8	17	53	62
NSMCE1	1935	839	22058	479	109	228	634	579
IL4R	295	64	2380	103	16	20	130	88
IL21R	1	1	34	4	1	2	1	1
GTF3C1	2192	758	21310	626	112	229	1049	966
KIAA0556	200	536	2325	287	71	97	109	417
GSG1L	20	13	421	34	7	5	7	27
XPO6	2340	636	21654	619	130	191	1082	997
SBK1	1370	457	16333	293	88	115	1001	697
NPIPB6	18	5	423	3	1	0	10	18
EIF3CL	1	6	15	6	2	0	3	5
NPIPB7	1	5	31	2	1	2	0	2
CLN3	70	265	546	275	41	88	31	351
APOBR	1	1	3	1	0	0	0	1
IL27	0	0	2	0	0	0	0	1
NUPR1	18	14	3107	27	2	4	32	79
SGF29	620	367	8356	232	61	92	359	323
SULT1A2	6	11	148	20	2	2	11	20
SULT1A1	193	53	1123	60	6	21	97	53
NPIPB8	0	1	4	0	0	0	0	1
EIF3C	70	92	482	89	17	27	24	102
NPIPB9	0	3	12	0	0	2	0	3
ATXN2L	1960	797	29864	561	103	236	1042	955
TUFM	18660	2845	210553	2434	437	768	8218	4304
SH2B1	416	215	7178	124	35	55	227	215
ATP2A1	11	32	400	28	4	7	17	50
RABEP2	460	153	6666	180	40	58	223	263
CD19	199	9	3767	24	10	15	130	56
NFATC2IP	3242	637	36578	655	116	242	1770	956
SPNS1	1761	345	32939	330	41	113	858	485
LAT	54	15	754	14	3	3	17	17
NPIPB11	11	15	334	5	2	2	14	11
BOLA2	0	690	1	535	107	320	0	931
SLX1B	1	1	18	2	2	2	1	5
SULT1A4	0	0	4	1	0	0	0	1
NPIPB12	0	11	0	3	1	1	0	7
SPN	41	11	1097	6	1	0	13	26
QPRT	14284	2789	185962	2979	485	899	8417	4607
C16orf54	13	1	110	4	0	0	10	7
ZG16	0	1	11	2	0	2	1	0
KIF22	3250	1017	46948	740	106	299	1955	1410
MAZ	7217	1712	90887	1255	240	552	4313	2472
PRRT2	319	596	5173	157	45	138	266	448
PAGR1	248	878	3319	877	143	317	118	1529
MVP	25	48	354	33	4	8	23	55
CDIPT	2004	299	27841	295	49	103	974	581
SEZ6L2	1217	99	17975	299	42	113	925	418
ASPHD1	714	61	10561	135	18	38	379	202
KCTD13	225	187	3548	171	25	52	187	185
TMEM219	3651	1599	51929	1169	233	469	2496	1589
TAOK2	300	96	4425	53	10	25	169	103
HIRIP3	1085	445	15983	242	58	119	678	415
INO80E	1325	314	18465	280	42	99	743	435
DOC2A	186	46	3112	71	9	22	86	75
C16orf92	1	0	5	0	0	0	0	0
TLCD3B	269	72	5162	67	5	28	175	98
AC093512.2	3	43	43	13	11	7	1	20
ALDOA	1493	156	19868	223	50	64	903	369
PPP4C	8383	2271	114543	1881	345	686	4629	3375
TBX6	45	5	732	19	1	7	21	15
YPEL3	1527	395	15694	370	69	112	829	550
GDPD3	35	9	568	8	2	1	13	13
MAPK3	1144	419	17407	160	54	89	722	376
CORO1A	140	110	2308	41	10	20	42	81
BOLA2B	131	80	1012	69	11	18	59	108
SLX1A	1	9	18	11	1	2	0	15
SULT1A3	10	14	74	10	2	5	2	12
NPIPB13	28	1	292	11	2	2	10	13
CD2BP2	2209	491	29673	443	86	134	1124	602
TBC1D10B	595	247	8521	163	38	66	358	231
MYLPF	48	17	1048	16	1	17	42	13
ZNF48	1426	392	18339	277	51	106	728	452
SEPTIN1	258	255	5221	105	29	55	172	169
ZNF771	494	432	9230	248	49	86	325	323
DCTPP1	6691	1566	88063	1241	223	526	3120	2160
SEPHS2	4331	366	57872	729	98	178	1645	883
ITGAL	1	2	36	2	0	1	0	0
ZNF768	372	141	5776	128	20	41	289	159
ZNF747	272	86	4105	65	16	25	165	122
ZNF764	263	136	2477	63	25	25	113	116
ZNF688	202	150	2650	53	25	26	119	122
ZNF785	183	333	2836	123	34	73	157	205
ZNF689	553	182	7921	136	27	44	331	220
PRR14	237	188	3576	74	37	36	130	141
FBRS	126	200	1921	90	21	48	100	135
SRCAP	122	363	1156	273	48	102	46	420
TMEM265	0	83	0	115	18	57	0	82
PHKG2	1106	275	17219	228	40	94	622	438
CCDC189	84	42	1227	17	11	15	48	31
RNF40	862	381	10638	219	55	82	467	315
ZNF629	185	163	3452	98	23	46	215	147
BCL7C	1229	1191	16150	817	170	282	674	887
CTF1	53	35	1061	33	3	8	21	33
FBXL19	552	181	7953	174	30	65	320	249
ORAI3	281	288	6343	146	28	59	214	190
SETD1A	570	206	7562	128	32	51	305	225
HSD3B7	409	20	4039	86	10	18	151	81
STX1B	294	57	5105	85	10	22	143	81
STX4	1223	282	17435	271	56	94	553	405
ZNF668	419	142	5125	102	19	36	256	202
ZNF646	266	116	3311	90	21	35	142	150
PRSS53	6	9	65	10	0	3	2	13
VKORC1	4110	1907	65482	1635	375	685	3619	2385
BCKDK	2686	461	40209	446	82	161	1648	760
KAT8	1144	736	19818	393	89	170	788	645
PRSS8	1878	68	29724	496	55	114	1520	487
PRSS36	48	12	523	8	1	1	21	12
FUS	22002	5199	296450	4704	834	1797	13605	7762
PYCARD	2670	57	42300	478	55	102	2278	934
TRIM72	15	4	340	9	5	2	23	22
PYDC1	122	10	2468	70	7	6	347	153
ITGAM	5	2	73	8	1	0	9	7
ITGAX	8	1	70	4	0	0	4	6
ITGAD	0	1	11	1	0	0	1	0
COX6A2	18	2	1079	6	0	1	34	9
ZNF843	3	26	52	4	2	4	4	11
ARMC5	132	57	2598	42	7	16	82	77
TGFB1I1	117	32	4061	82	8	15	69	37
SLC5A2	19	3	479	2	0	4	20	3
C16orf58	205	164	4992	109	17	41	249	157
AHSP	35	0	493	17	0	2	26	18
ZNF720	1108	669	14408	472	110	210	873	888
ZNF267	574	196	7080	160	35	61	322	288
IGHV1OR16-1	0	0	0	0	0	0	0	0
IGHV1OR16-3	0	0	0	0	0	0	0	0
IGHV3OR16-9	0	0	0	0	0	0	0	0
TP53TG3D	0	0	0	0	0	0	0	0
TP53TG3	0	0	0	0	0	0	0	0
IGHV2OR16-5	0	0	0	0	0	0	0	0
IGHV3OR16-15	0	0	0	0	0	0	0	0
IGHV3OR16-6	0	0	0	0	0	0	0	0
IGHV1OR16-2	0	0	0	0	0	0	0	0
IGHV3OR16-10	0	0	0	0	0	0	0	0
IGHV1OR16-4	0	0	0	0	0	0	0	0
IGHV3OR16-8	0	0	0	0	0	0	0	0
TP53TG3C	0	0	0	0	0	0	0	0
TP53TG3E	0	0	0	0	0	0	0	0
TP53TG3B	0	0	0	0	0	0	0	0
TP53TG3F	0	0	0	0	0	0	0	0
IGHV3OR16-12	0	0	0	0	0	0	0	0
IGHV3OR16-13	0	0	0	0	0	0	0	0
AC136428.1	0	0	0	0	0	0	0	0
IGHV3OR16-11	0	0	0	0	0	0	0	0
IGHV3OR16-7	0	0	0	0	0	0	0	0
SHCBP1	948	368	9896	295	64	105	478	445
VPS35	4920	1951	62292	1304	273	559	2649	2116
ORC6	6614	2091	82024	1653	278	591	3594	2584
MYLK3	8	16	84	21	7	6	10	36
C16orf87	3018	1098	32087	779	153	287	1519	1261
GPT2	1165	361	16487	353	54	133	579	530
DNAJA2	10698	1700	106702	1530	347	549	6204	3106
NETO2	1936	1207	9565	505	311	245	1165	1621
ITFG1	1188	2298	15250	1662	331	559	779	2495
PHKB	1577	1475	16712	961	237	375	799	1432
ABCC12	20	3	453	0	0	1	4	7
ABCC11	2	3	11	2	1	1	1	3
LONP2	1004	993	8997	620	149	239	572	949
SIAH1	1740	899	17685	686	118	263	1040	1090
N4BP1	2058	872	18505	824	144	278	966	1198
CBLN1	71	122	977	65	47	83	140	101
C16orf78	1	3	10	0	0	0	1	1
ZNF423	496	2147	4809	1340	313	458	303	1931
CNEP1R1	533	219	6437	154	22	72	308	224
HEATR3	789	242	7104	237	50	78	448	347
TENT4B	1186	341	13681	360	78	133	655	567
ADCY7	58	22	814	40	10	7	29	52
BRD7	5539	2603	66124	1829	339	743	3509	2748
NKD1	88	770	858	327	65	104	70	326
SNX20	0	1	0	0	0	0	0	1
NOD2	4	0	55	2	1	3	2	5
CYLD	396	188	4767	118	19	44	173	195
SALL1	703	408	4656	242	52	102	490	474
HNRNPA1P48	1415	492	18687	405	76	145	1010	656
TOX3	564	1436	3628	553	189	262	576	1281
AC007906.2	49	80	1503	85	1	17	81	36
CHD9	1718	3731	19079	1965	498	847	1858	3373
RBL2	387	675	4764	477	90	171	265	634
AKTIP	574	207	6837	163	28	54	309	226
RPGRIP1L	630	587	7177	310	71	130	470	436
FTO	651	1444	8494	949	210	370	374	1489
IRX3	33	315	725	70	44	56	34	134
IRX5	16	181	131	32	23	36	18	94
IRX6	13	11	58	3	1	2	0	1
MMP2	238	425	2826	217	16	55	200	384
LPCAT2	164	341	1884	209	44	104	128	229
CAPNS2	1	0	10	0	0	2	0	0
SLC6A2	2	0	102	2	0	0	2	1
CES1	3	1	204	8	1	6	0	11
CES5A	1	0	5	0	1	0	0	0
GNAO1	134	100	2530	141	24	42	85	181
AMFR	551	273	7027	162	58	79	294	307
NUDT21	6361	1296	73378	1518	266	543	3943	2366
OGFOD1	2162	480	22959	437	80	130	1182	722
BBS2	279	338	3581	127	32	73	182	230
MT4	0	1	3	0	0	0	0	0
MT3	24	6	1224	4	5	1	24	10
MT2A	4876	507	116715	115	37	173	1225	1117
MT1E	4052	65	83166	16	11	76	887	500
MT1M	263	8	12167	2	1	6	45	35
MT1A	45	1	1755	0	0	2	17	3
MT1B	0	0	65	0	0	0	0	0
MT1F	2681	58	79739	46	32	100	479	574
MT1G	18230	193	451512	135	34	548	2724	2173
MT1H	10803	104	308271	55	6	279	1646	1000
MT1X	29241	450	503649	1333	171	951	8939	4078
NUP93	2690	905	33944	796	137	272	1514	1296
SLC12A3	0	2	15	0	0	1	0	3
HERPUD1	1427	547	17877	470	80	164	692	561
CETP	3	0	36	0	1	0	2	3
NLRC5	18	10	350	12	1	4	6	15
CPNE2	386	257	4487	161	32	61	293	232
FAM192A	2858	1167	39778	878	158	373	1740	1405
RSPRY1	1312	664	14651	426	87	150	742	692
ARL2BP	1159	1034	15363	497	117	182	718	715
PLLP	176	17	1755	27	3	14	111	52
CCL22	0	1	47	0	0	0	1	0
CX3CL1	8	37	133	26	1	8	4	41
CCL17	0	1	1	0	0	0	0	0
CIAPIN1	3681	1113	48791	817	133	325	2137	1498
COQ9	1550	444	17066	322	57	97	782	463
POLR2C	4228	1024	58457	885	166	358	2304	1363
DOK4	305	44	3823	88	6	28	132	88
CCDC102A	246	169	2677	147	26	49	235	168
ADGRG5	28	7	359	17	2	11	34	36
ADGRG1	22	179	269	63	19	38	24	101
ADGRG3	2	0	134	5	2	0	8	3
DRC7	3	7	44	1	0	3	2	0
KATNB1	1003	231	12516	146	34	64	417	253
KIFC3	123	78	1104	73	15	42	43	68
CNGB1	1	11	11	6	0	2	0	6
TEPP	28	15	1116	16	2	8	17	19
ZNF319	49	39	982	19	5	2	27	41
USB1	1584	458	21445	352	56	129	850	644
MMP15	736	58	8391	107	24	31	384	217
CFAP20	2012	797	25124	482	116	206	1047	838
CSNK2A2	3894	956	51119	1039	193	336	2372	1657
CCDC113	346	295	3757	171	32	71	271	236
PRSS54	1	0	1	1	0	0	0	1
GINS3	382	198	5985	137	22	55	206	181
NDRG4	300	116	5892	86	23	37	134	162
SETD6	756	184	9796	161	30	44	517	236
CNOT1	3018	1420	35101	1216	211	395	1725	1747
SLC38A7	551	128	9081	129	26	47	281	195
GOT2	4546	914	54657	942	161	316	2286	1425
CDH8	432	407	6301	471	81	157	338	898
CDH11	88	1731	1458	759	233	555	85	1632
CDH5	3	2	10	2	0	0	1	2
BEAN1	0	30	12	13	3	11	0	13
TK2	108	167	1525	83	16	41	96	99
CKLF	1335	809	17502	550	134	267	785	963
CMTM1	4	169	42	53	17	47	0	172
CMTM2	0	2	22	6	0	1	1	3
CMTM3	783	554	12007	320	70	168	465	585
CMTM4	940	624	9077	657	129	227	564	906
DYNC1LI2	3130	1578	41367	1093	225	465	2129	1862
TERB1	1	9	19	5	1	2	2	19
NAE1	7892	2688	72208	1838	401	680	4069	2725
CA7	45	5	538	5	1	6	21	8
PDP2	474	105	7626	118	18	24	309	158
CDH16	0	1	1	0	0	0	0	0
RRAD	29	9	135	1	0	1	2	5
CIAO2B	7805	2558	98260	1926	335	574	4460	2700
CES2	417	264	6372	117	28	42	257	210
CES3	17	33	318	21	5	7	20	20
CES4A	13	13	458	2	0	3	13	9
CBFB	780	861	8470	537	112	229	427	1045
C16orf70	434	160	5224	144	24	53	212	216
B3GNT9	78	16	1552	19	4	6	66	27
TRADD	97	8	1731	35	6	17	68	53
FBXL8	19	2	297	10	0	1	10	4
HSF4	23	1	978	3	2	3	15	12
NOL3	236	58	4006	65	5	37	266	111
KIAA0895L	338	233	5698	116	38	79	271	221
EXOC3L1	43	2	1302	3	0	2	42	17
E2F4	2243	349	33615	330	52	109	1130	532
ELMO3	345	9	3880	44	7	9	133	75
LRRC29	11	27	801	21	2	11	7	37
TMEM208	5251	1076	71891	1105	163	376	2789	1466
FHOD1	549	95	7594	79	22	33	331	130
SLC9A5	29	37	866	38	7	16	42	64
PLEKHG4	424	8	8029	29	9	9	214	70
KCTD19	3	36	35	14	7	8	5	14
LRRC36	4	17	67	7	1	1	4	17
TPPP3	53	74	508	38	20	29	17	38
ZDHHC1	35	139	708	76	23	31	39	104
HSD11B2	472	35	6331	111	12	21	268	195
ATP6V0D1	2190	716	32201	632	105	228	1093	865
AGRP	1	1	20	0	0	1	0	3
RIPOR1	354	92	8070	63	12	25	113	124
CTCF	5071	1990	51381	1601	290	570	2843	2348
CARMIL2	601	7	9294	88	4	16	206	61
ACD	1258	268	21452	266	43	101	628	465
PARD6A	823	167	16355	120	37	69	382	190
ENKD1	296	237	4228	97	27	29	162	132
C16orf86	97	83	1571	25	7	11	46	42
GFOD2	892	541	14398	302	77	128	524	489
RANBP10	280	352	2705	260	66	98	127	365
TSNAXIP1	11	25	337	9	4	18	12	16
CENPT	857	274	12942	204	46	71	533	298
THAP11	2491	436	30605	402	65	136	1233	642
NUTF2	10284	2458	121918	2339	450	821	5746	3722
EDC4	833	153	11230	147	24	55	368	197
NRN1L	1536	22	8063	97	15	21	481	272
PSKH1	343	202	4898	149	28	45	194	231
CTRL	21	18	300	8	2	8	15	19
PSMB10	780	334	10161	467	78	149	456	674
LCAT	82	14	1264	18	2	3	17	27
SLC12A4	407	71	5979	68	10	31	185	147
DPEP3	2039	13	36836	17	27	48	1391	249
DPEP2	0	1	18	0	2	1	0	0
DUS2	710	240	8959	224	51	54	310	312
DPEP2NB	0	0	3	0	0	0	0	0
DDX28	959	126	12641	158	36	46	443	195
NFATC3	1441	1298	17274	631	154	230	948	1062
ESRP2	587	23	9227	93	9	30	316	117
PLA2G15	134	54	3361	54	2	29	93	61
SLC7A6	358	325	3766	185	33	83	216	264
SLC7A6OS	1385	603	15480	407	79	172	860	615
PRMT7	730	359	9378	301	63	92	336	412
SMPD3	17	6	158	6	1	3	8	14
ZFP90	432	892	4434	321	88	175	285	587
CDH3	1941	170	23434	557	108	206	1013	790
CDH1	6023	210	47068	1772	320	463	3315	2154
TANGO6	328	405	4610	341	86	171	165	506
HAS3	900	50	9191	179	28	38	411	216
CHTF8	68	33	530	21	7	9	51	33
DERPC	2	1	26	1	1	0	1	0
UTP4	1558	375	21369	444	81	137	881	691
SNTB2	1342	708	11857	497	101	158	649	849
VPS4A	2487	805	35149	583	104	233	1299	983
COG8	492	202	6305	150	28	51	351	247
PDF	16	15	312	17	2	5	9	20
NIP7	5636	688	62619	766	110	259	2815	1212
TMED6	0	14	13	3	0	5	0	14
TERF2	1036	453	12769	407	77	152	634	484
CYB5B	2929	1168	36207	832	159	294	1645	1364
NFAT5	1364	1793	16770	1380	268	523	687	2108
NQO1	2972	426	39114	524	91	177	1005	779
NOB1	4233	646	58428	726	114	263	2339	1175
WWP2	264	595	3447	477	109	144	156	643
CLEC18A	3	23	109	11	2	2	3	16
PDPR	961	290	16766	270	37	129	661	752
CLEC18C	0	5	12	0	2	0	0	6
EXOSC6	2511	783	28178	685	133	248	1388	951
AARS	3648	853	52539	847	116	267	1743	1142
DDX19B	642	440	8281	281	57	114	371	458
DDX19A	1110	468	15160	342	66	152	649	489
ST3GAL2	763	424	8433	345	86	99	404	503
FCSK	127	80	1289	50	14	9	73	71
COG4	1233	422	13633	321	78	127	713	490
SF3B3	3689	1181	45441	1055	195	332	2072	1448
IL34	152	42	1497	133	29	22	73	226
MTSS2	139	200	1983	124	29	49	81	150
VAC14	805	278	12747	349	51	100	443	450
HYDIN	16	522	166	105	30	73	8	175
CMTR2	459	234	4994	135	32	54	285	183
CALB2	157	13	3003	38	3	12	92	40
TLE7	41	1	210	1	0	2	16	16
ZNF23	27	149	314	118	30	37	18	189
ZNF19	82	191	1468	83	14	45	58	136
CHST4	247	20	3201	55	5	15	166	91
TAT	0	1	8	0	0	0	1	1
MARVELD3	3094	73	38059	466	74	118	1585	646
PHLPP2	802	760	7803	442	150	191	332	995
AP1G1	1292	744	13547	582	126	226	713	882
ATXN1L	536	75	5747	105	19	30	247	135
IST1	2795	1181	34454	923	169	326	1602	1545
ZNF821	418	533	5625	321	72	124	316	459
PKD1L3	0	29	8	25	8	7	0	64
DHODH	937	207	11014	182	42	66	505	298
TXNL4B	333	231	3962	128	17	51	157	146
HP	1	2	6	1	0	0	1	3
HPR	0	8	4	3	0	0	0	5
DHX38	1115	371	12019	283	39	74	546	389
PMFBP1	10	130	178	73	12	30	7	93
ZFHX3	596	1946	1876	828	269	459	293	1548
PSMD7	17925	3369	217548	3404	598	1105	9178	5470
NPIPB15	67	10	1265	17	6	10	34	40
