pluripotent_NA18511	pluripotent_NA18856	pluripotent_NA18858	pluripotent_NA18912	pluripotent_NA19140	pluripotent_NA19159	pluripotent_NA19160	pluripotent_NA19210
BSDC1	1353	374	15895	343	62	97	481	455
ZBTB8B	169	91	2886	97	17	28	136	157
ZBTB8A	421	634	4425	413	86	173	338	576
ZBTB8OS	6654	1345	61116	1200	275	427	3034	2309
RBBP4	6759	3123	65469	2140	479	929	3890	3638
SYNC	807	495	6646	235	60	129	507	440
KIAA1522	832	228	11153	314	21	102	410	322
YARS	3142	1299	51110	1365	162	373	1789	1730
S100PBP	1575	884	16760	743	154	266	835	1008
FNDC5	31	30	356	42	2	3	23	38
HPCA	36	20	493	13	8	5	29	17
TMEM54	1075	115	11114	731	79	102	939	350
RNF19B	509	138	5191	114	21	33	236	210
AK2	3390	891	55867	869	151	260	2065	1267
AZIN2	36	84	264	38	9	27	4	36
TRIM62	146	84	1574	73	23	22	59	98
ZNF362	269	500	2577	292	69	135	221	403
A3GALT2	0	4	0	1	0	0	0	2
PHC2	164	1039	1608	348	84	167	145	562
ZSCAN20	48	76	607	30	8	12	26	51
CSMD2	146	353	1754	1172	157	129	97	746
HMGB4	1	0	3	0	0	0	0	0
C1orf94	100	7	694	75	4	5	39	21
SMIM12	3216	660	47934	638	98	212	1603	826
GJB5	55	0	250	12	0	2	5	6
GJB4	3	0	10	1	0	0	1	0
GJB3	12	1	149	1	0	1	2	3
GJA4	86	4	577	13	1	3	51	8
DLGAP3	195	27	3922	33	3	6	73	46
TMEM35B	0	208	15	215	34	72	0	275
ZMYM6	158	299	2338	183	55	90	99	274
ZMYM1	2027	1099	18833	878	179	285	1107	1148
SFPQ	26086	5129	284689	5472	908	1912	15010	7746
ZMYM4	1796	2483	19493	1690	338	670	1205	2462
KIAA0319L	1350	1189	18205	912	199	282	701	1420
NCDN	392	84	6595	58	12	36	201	132
TFAP2E	10	26	78	10	2	6	1	26
PSMB2	24167	3699	287093	4210	699	1328	11881	5763
C1orf216	237	41	3549	41	11	10	45	60
CLSPN	3490	1802	46906	1015	236	488	2005	1829
AGO4	154	889	2526	396	124	168	159	580
AGO1	2020	706	24206	683	192	254	1522	1317
AGO3	778	1549	8756	1000	173	381	526	1579
TEKT2	53	136	695	29	9	10	36	47
ADPRHL2	1754	565	26229	507	90	168	1027	751
COL8A2	24	9	503	8	3	5	11	11
TRAPPC3	3243	931	44494	830	132	297	1990	1138
MAP7D1	484	715	8009	286	44	106	422	491
THRAP3	11569	3981	136268	3490	650	1187	6692	5193
SH3D21	148	56	2219	58	16	24	165	90
EVA1B	666	427	8765	287	58	119	550	497
STK40	362	300	5353	265	41	84	183	253
LSM10	4306	934	54699	741	141	306	2136	1246
OSCP1	94	219	1274	63	22	45	44	119
MRPS15	11346	2310	138472	1986	317	640	5841	3157
CSF3R	1	7	11	15	4	4	0	0
GRIK3	16	15	71	35	7	5	6	39
ZC3H12A	127	14	1567	24	7	5	66	33
MEAF6	4079	1400	42178	872	178	309	2317	1309
SNIP1	556	372	5994	281	45	82	313	353
DNALI1	689	747	9438	298	76	174	470	439
GNL2	3239	812	41377	720	122	240	1815	1010
RSPO1	81	993	771	341	106	255	33	514
C1orf109	1827	410	24795	333	63	122	862	549
CDCA8	2129	1182	26204	591	126	236	1329	1041
EPHA10	9	7	114	1	0	0	5	1
MANEAL	494	16	4048	57	15	17	169	91
YRDC	3098	316	39381	424	62	126	1279	681
C1orf122	5295	1894	89267	1350	254	513	2965	1854
MTF1	442	247	5228	152	33	64	237	221
INPP5B	409	290	4442	232	56	69	241	339
SF3A3	6800	1690	90682	1547	249	544	4122	2636
FHL3	1617	239	15963	420	55	113	804	486
UTP11	3936	878	50864	904	154	281	2022	1339
POU3F1	908	98	10966	232	37	235	633	377
RRAGC	1904	322	32125	376	56	108	804	497
MYCBP	908	558	8916	497	119	171	626	858
GJA9	0	16	0	2	5	6	0	11
RHBDL2	14	78	286	47	5	21	19	72
AKIRIN1	22027	2266	277518	3335	456	1136	10905	5673
NDUFS5	45009	9350	603649	8216	1557	2153	27493	15241
MACF1	4795	5225	60413	3199	732	1276	2502	6082
BMP8A	5	15	157	10	5	3	9	22
PABPC4	8657	1141	88238	1371	217	575	4597	2107
HEYL	54	38	948	42	5	14	22	24
NT5C1A	0	0	0	0	0	0	0	0
HPCAL4	5	9	116	2	1	5	4	1
PPIE	1498	920	26851	556	102	257	1110	837
BMP8B	3	10	67	3	0	3	0	5
OXCT2	14	1	358	5	0	2	2	2
TRIT1	1050	898	9136	577	88	233	535	693
MYCL	273	183	3081	120	30	67	289	226
MFSD2A	172	88	3100	48	14	24	118	69
CAP1	11250	1923	137284	2064	319	631	5852	3227
PPT1	3340	1053	57357	711	128	314	2310	1185
RLF	1411	1382	14371	1098	184	394	964	1507
TMCO2	0	1	5	0	0	0	1	3
ZMPSTE24	2074	451	25970	543	80	196	964	865
COL9A2	93	303	1308	85	10	17	65	126
SMAP2	303	289	3824	132	43	61	178	194
ZFP69B	208	169	3804	74	12	51	156	191
ZFP69	91	78	1422	41	9	20	53	64
EXO5	174	91	1945	48	8	16	67	74
ZNF684	313	170	4536	111	23	41	198	169
RIMS3	140	99	2490	94	13	46	95	110
NFYC	1469	781	21966	513	125	213	888	933
KCNQ4	26	33	717	16	3	6	19	30
CITED4	1028	382	14129	328	62	117	758	460
CTPS1	3239	1151	37273	760	129	295	2138	1143
SLFNL1	1	121	16	88	18	24	2	139
SCMH1	154	2513	2700	1082	230	347	114	1623
FOXO6	30	17	833	14	3	9	29	27
EDN2	4	0	23	0	0	1	0	1
HIVEP3	17	453	271	109	26	68	7	141
AC119676.1	0	0	0	0	0	0	0	0
GUCA2B	2	0	3	0	0	0	0	1
GUCA2A	1	0	6	0	0	1	0	0
FOXJ3	696	1745	8121	1229	217	390	430	1673
RIMKLA	708	36	11620	162	34	91	532	225
ZMYND12	6	20	93	4	2	3	6	11
PPCS	2337	773	28639	547	122	224	1394	948
CCDC30	67	460	997	163	66	94	65	239
PPIH	4231	1309	63575	1157	198	379	2666	1657
YBX1	92289	28190	1080882	22636	3974	8571	49379	36742
CLDN19	87	15	2577	37	3	10	78	31
P3H1	300	365	9549	159	26	75	237	305
C1orf50	62	416	901	283	52	91	43	435
TMEM269	4	34	52	15	2	2	7	26
SVBP	2220	1459	30831	960	210	386	1763	1343
ERMAP	53	62	926	40	7	23	57	60
ZNF691	584	150	7993	100	25	22	320	161
SLC2A1	3838	945	58505	1500	290	659	3767	1943
FAM183A	19	275	589	29	9	43	14	52
EBNA1BP2	6468	1130	113301	1121	188	375	3798	1967
