ecto_rep1	ecto_rep2	ecto_rep3	ecto_rep4	ecto_rep5	ecto_rep6
Gm15675	4	3	0	1	2	3
Cd55	156	115	17	29	39	41
C4bp	1	0	0	0	0	0
Pfkfb2	14	12	4	2	5	5
Yod1	82	49	20	14	23	26
AA986860	62	55	6	9	16	27
Fcmr	0	2	0	0	0	0
Il24	11	3	0	0	0	1
Il19	0	0	0	0	0	0
Mapkapk2	233	137	55	54	91	91
Dyrk3	50	51	14	10	18	21
Eif2d	72	46	27	23	22	43
Rassf5	4	6	2	1	2	1
Ikbke	10	7	2	1	4	4
Srgap2	112	89	35	31	40	40
Fam72a	14	5	6	4	6	4
Avpr1b	0	0	0	0	0	0
Rab7b	28	14	4	1	6	7
Slc26a9	1	0	0	0	0	0
Pm20d1	4	0	1	0	3	0
Slc41a1	34	29	9	9	14	14
Rab29	9	5	0	2	1	2
Nucks1	1539	999	480	486	639	662
Slc45a3	14	2	2	1	7	7
Elk4	123	67	24	23	30	23
Mfsd4a	31	24	7	5	5	8
Cdk18	11	10	3	4	8	2
Lemd1	5	0	1	0	1	0
Klhdc8a	19	9	2	4	3	2
Nuak2	17	5	2	5	4	7
Tmcc2	6	3	2	2	3	3
Dstyk	94	60	14	20	29	20
Rbbp5	31	20	16	11	13	20
Tmem81	4	0	0	0	0	1
Cntn2	0	4	0	0	0	1
Nfasc	2	4	1	1	3	3
Lrrn2	0	2	0	1	0	0
Mdm4	150	100	42	32	61	66
Pik3c2b	7	6	2	2	1	8
Ppp1r15b	101	61	23	21	37	30
Plekha6	18	18	5	2	3	6
Golt1a	0	0	0	0	0	0
Etnk2	1	0	1	0	5	2
Sox13	15	22	4	8	15	12
Snrpe	1622	1261	523	556	780	777
Gm26706	1	1	2	0	0	0
Zc3h11a	20	16	5	1	5	6
Gm38394	8	8	1	3	3	6
Lax1	0	0	0	0	0	2
Atp2b4	38	22	7	5	11	13
Optc	0	0	1	0	1	0
Prelp	0	1	1	1	0	0
Fmod	2	0	2	0	1	2
Btg2	1929	1145	368	313	602	636
Chit1	0	0	0	0	0	1
Chil1	8	5	0	1	1	0
Mybph	1	0	0	0	0	0
Adora1	4	1	0	0	1	1
Myog	0	0	0	0	0	0
Ppfia4	7	6	1	2	2	2
Tmem183a	172	74	40	28	75	63
Cyb5r1	32	20	9	13	5	14
Adipor1	264	194	80	61	127	108
Klhl12	41	35	10	8	18	18
Rabif	74	56	13	19	32	24
Kdm5b	1301	913	244	212	387	417
Syt2	5	6	0	0	0	0
Ppp1r12b	10	10	3	2	3	11
Ube2t	51	53	16	17	23	39
Ptpn7	1	0	0	0	1	0
Arl8a	113	70	18	15	29	35
Elf3	231	193	34	49	89	102
Rnpep	111	87	17	26	35	35
Timm17a	538	329	137	100	194	214
Lmod1	9	5	6	6	4	8
Shisa4	50	25	10	10	25	19
Ipo9	68	35	15	20	30	30
Nav1	31	27	11	14	8	12
Gm38399	1	0	0	0	0	0
Csrp1	223	150	57	52	105	114
Phlda3	478	318	89	92	181	183
Tnni1	8	5	6	1	3	4
Lad1	142	119	31	22	43	63
Tnnt2	69	53	10	11	25	17
Pkp1	89	64	14	17	19	23
Tmem9	196	146	64	48	105	90
Cacna1s	0	0	0	0	1	0
Kif21b	9	5	2	3	3	3
X5730559C18Rik	41	32	16	12	23	21
Camsap2	75	48	17	20	19	29
Ddx59	23	15	5	1	7	5
Kif14	19	18	7	8	6	12
Platr23	2	1	0	0	1	0
Zfp281	154	86	24	26	45	34
Gm19705	3	1	0	0	1	0
Platr22	1	0	0	0	0	2
Nr5a2	3	4	1	1	1	1
