early_ectoderm_NA18511	early_ectoderm_NA18856	early_ectoderm_NA18858	early_ectoderm_NA18912	early_ectoderm_NA19140	early_ectoderm_NA19159	early_ectoderm_NA19160	early_ectoderm_NA19210
STMN1	110234	3544	27911	9941	7502	15128	88249	5303
PAFAH2	471	16	196	55	55	81	393	26
EXTL1	25	3	13	13	5	6	48	1
SLC30A2	18	0	2	1	2	2	11	1
TRIM63	8	1	2	2	0	0	3	0
PDIK1L	854	55	213	175	165	327	501	89
FAM110D	508	20	141	66	50	66	539	12
C1orf232	55	4	19	24	17	21	85	10
AL391650.1	456	21	658	216	87	43	456	12
ZNF593	5283	150	1922	736	331	583	4917	266
CNKSR1	188	11	106	34	14	30	347	14
CATSPER4	13	0	6	3	0	1	13	1
CEP85	911	73	242	192	135	291	619	81
SH3BGRL3	23802	980	9311	3491	2692	5080	26950	1157
UBXN11	1672	68	395	236	230	413	1469	81
CD52	78	3	61	5	9	14	158	2
CRYBG2	249	19	189	68	30	48	367	15
ZNF683	0	0	0	0	1	0	1	0
LIN28A	3740	103	4377	668	128	753	3946	142
DHDDS	1391	83	531	273	220	375	1104	96
HMGN2	14688	2431	3530	8400	6194	16709	9212	4146
RPS6KA1	1042	25	427	106	71	171	821	41
ARID1A	10036	360	3463	1479	1128	2174	6925	603
PIGV	531	17	199	63	57	105	550	28
ZDHHC18	945	20	327	104	82	147	719	34
SFN	75	0	111	6	1	3	129	2
GPN2	1108	46	421	145	98	195	900	51
GPATCH3	618	19	251	96	56	129	539	34
NUDC	24667	587	7377	2442	1484	3068	20027	855
NR0B2	0	0	0	0	0	0	1	0
KDF1	80	0	116	1	2	9	148	1
TRNP1	402	14	273	56	44	74	581	13
TENT5B	459	11	451	112	62	63	821	27
SLC9A1	430	21	182	90	44	115	370	36
WDTC1	795	56	391	186	158	203	696	60
TMEM222	1893	60	620	203	159	318	1428	92
SYTL1	509	44	409	121	58	95	900	38
MAP3K6	124	6	72	30	15	26	222	8
FCN3	0	0	1	1	0	0	5	0
CD164L2	22	1	18	5	4	3	62	0
GPR3	131	1	63	14	5	11	135	3
WASF2	5628	268	2394	1029	507	1221	5185	333
AHDC1	1441	62	635	286	153	235	1324	92
FGR	7	0	1	2	1	0	17	0
IFI6	1496	49	496	102	125	310	1287	49
FAM76A	1819	57	577	221	185	307	1452	90
STX12	1596	79	488	331	260	415	1176	100
PPP1R8	2355	80	738	325	234	465	1848	102
THEMIS2	151	6	90	32	14	38	149	12
RPA2	8842	203	2583	770	603	1265	5845	310
SMPDL3B	223	14	249	26	25	35	377	12
XKR8	1007	28	419	108	66	123	978	35
EYA3	1888	146	556	576	449	748	1397	191
PTAFR	4	1	4	4	3	5	19	4
DNAJC8	20709	633	7118	2522	1786	3347	15601	920
ATP5IF1	25793	848	11470	3413	2098	3913	25462	1342
SESN2	763	48	524	215	71	159	664	74
MED18	561	32	222	59	67	166	517	44
PHACTR4	6114	406	1736	1436	1189	2148	4282	700
RCC1	3574	73	996	223	142	485	2378	162
TRNAU1AP	3848	112	1223	515	338	712	3358	202
TAF12	3943	108	1548	474	320	670	3306	184
RAB42	410	13	83	49	50	90	464	22
GMEB1	3193	92	895	368	217	533	2148	141
YTHDF2	13108	407	4264	1368	976	2467	9690	750
OPRD1	23	3	6	12	9	4	32	2
EPB41	6761	460	2023	1508	1327	2749	3780	631
TMEM200B	29	2	48	12	3	4	41	2
SRSF4	15242	604	4904	2173	1559	3166	10909	863
MECR	1890	81	623	245	150	309	1480	101
PTPRU	345	33	172	92	57	92	471	35
MATN1	1	3	1	7	5	6	4	5
LAPTM5	4	0	3	0	2	0	8	2
SDC3	1634	32	399	101	97	226	701	66
PUM1	9394	617	3341	2327	1692	3334	6704	913
NKAIN1	2763	80	727	243	239	437	1557	164
SNRNP40	12078	358	3334	1257	818	1765	8031	484
ZCCHC17	7868	246	2760	956	734	1413	5678	390
FABP3	264	6	349	48	40	30	343	10
SERINC2	3636	92	1365	396	227	466	2756	128
TINAGL1	9	0	13	0	1	1	16	1
HCRTR1	2	0	0	4	5	3	1	3
PEF1	4455	131	1643	418	206	542	3941	218
COL16A1	46	1	45	2	4	4	48	1
ADGRB2	990	16	172	80	68	121	589	30
SPOCD1	21	0	28	8	1	9	28	1
PTP4A2	15031	354	5196	1649	1018	2817	10614	665
KHDRBS1	33333	1046	10037	4125	3002	6148	25106	1787
TMEM39B	2202	66	466	229	160	371	1597	123
KPNA6	3745	129	1561	482	295	590	2671	167
TXLNA	2356	81	702	349	227	494	1709	112
CCDC28B	4086	118	1336	502	565	761	3140	214
IQCC	471	7	125	42	31	51	373	24
DCDC2B	2	11	3	27	20	22	1	8
TMEM234	918	22	359	113	80	137	731	31
EIF3I	19974	510	6172	2023	1119	2324	16310	760
FAM167B	44	0	20	6	4	7	42	1
LCK	31	1	82	3	3	8	112	1
HDAC1	4977	146	2985	521	407	1040	3625	236
MARCKSL1	141701	2595	31682	11556	8739	17445	94770	4486
TSSK3	24	4	9	30	11	26	30	4
FAM229A	419	11	119	46	34	62	335	12
BSDC1	2089	82	779	297	203	382	1570	89
ZBTB8B	504	21	187	70	63	131	396	23
ZBTB8A	1295	116	401	334	318	543	880	130
ZBTB8OS	5522	206	1829	835	517	1041	4373	320
RBBP4	14491	545	4364	2186	1669	3637	9953	798
SYNC	2700	94	744	315	304	538	1834	140
KIAA1522	997	45	305	157	139	228	1047	57
YARS	3827	170	1300	708	262	693	3244	189
S100PBP	2324	141	777	497	362	836	1673	216
FNDC5	319	7	130	49	60	70	236	13
HPCA	215	1	54	13	32	26	143	7
TMEM54	289	4	361	31	15	41	404	9
RNF19B	472	20	200	96	73	97	364	49
AK2	5133	160	1604	521	317	803	4704	228
AZIN2	190	28	106	83	72	111	186	26
TRIM62	93	9	58	38	26	33	67	14
ZNF362	1534	86	370	289	270	440	1099	158
A3GALT2	0	1	0	3	2	5	0	4
PHC2	7932	225	1837	762	585	1359	5187	356
ZSCAN20	200	16	46	43	23	53	143	9
CSMD2	301	68	72	364	352	395	137	116
HMGB4	1	0	1	0	0	0	0	0
C1orf94	53	1	9	2	2	3	25	1
SMIM12	3969	100	1299	431	242	587	3089	162
GJB5	4	1	7	1	1	0	3	0
GJB4	0	0	1	0	0	0	0	0
GJB3	4	0	0	0	0	0	4	0
GJA4	107	0	3	9	2	2	37	0
DLGAP3	59	1	47	3	12	7	58	6
TMEM35B	0	36	0	184	71	138	1	38
ZMYM6	434	57	125	184	140	285	268	74
ZMYM1	2057	169	732	605	387	840	1616	238
SFPQ	52953	724	14402	3385	2406	6497	32034	1585
ZMYM4	5477	418	1628	1862	1279	2676	3663	652
KIAA0319L	2188	199	777	721	548	909	1610	282
NCDN	591	10	215	51	31	64	501	14
TFAP2E	3	4	1	10	13	18	5	10
PSMB2	23324	561	8673	2142	1226	2907	18569	914
C1orf216	296	6	155	7	29	44	135	7
CLSPN	12382	258	3039	1104	795	1836	6992	513
AGO4	840	171	316	458	487	800	563	181
AGO1	3087	106	1228	415	328	888	2373	223
AGO3	2723	272	829	934	752	1364	1782	448
TEKT2	750	25	88	72	69	69	1028	36
ADPRHL2	3098	102	1150	365	261	512	2965	190
COL8A2	13	3	4	2	3	5	33	1
TRAPPC3	5487	138	2199	591	453	820	4810	250
MAP7D1	4170	108	1226	406	210	424	3336	161
THRAP3	20210	667	6377	2419	1759	3715	14389	1021
SH3D21	270	8	101	29	21	50	511	17
EVA1B	666	45	773	180	65	94	2758	41
STK40	1254	58	434	213	150	274	772	69
LSM10	5179	129	2036	631	410	719	4563	207
OSCP1	873	42	186	135	118	210	668	66
MRPS15	11756	360	4670	1219	605	1332	9087	416
