meso_rep1	meso_rep2	meso_rep3	meso_rep4	meso_rep5	meso_rep6
Sub1	3056	1249	1267	1173	948	891
Zfr	504	213	234	234	173	189
Mtmr12	30	7	18	13	10	6
Golph3	256	100	96	85	61	73
Pdzd2	81	51	29	31	27	20
X6030458C11Rik	69	34	21	36	29	34
Drosha	124	54	73	68	47	53
Cdh6	38	25	14	21	15	14
Cdh9	0	0	0	0	0	0
Cdh10	8	7	2	2	1	1
Gm49162	0	0	1	0	0	0
Acot10	0	0	0	0	0	0
Cdh18	3	0	2	1	1	0
Basp1	2448	974	968	1032	792	723
Gm5468	4	3	3	3	2	1
Myo10	281	124	135	120	87	108
Retreg1	33	18	15	10	12	10
Zfp622	333	115	142	118	119	88
March11	13	6	3	6	2	0
Fbxl7	139	68	43	51	39	34
Gm36899	1	0	0	1	0	0
Ank	27	16	14	8	9	7
Otulin	104	54	63	44	44	40
Fam105a	40	19	13	9	8	6
Trio	195	70	73	78	48	58
Dnah5	0	0	0	0	0	1
Ctnnd2	7	1	4	9	6	4
Dap	341	158	143	117	98	104
Ankrd33b	7	1	11	5	4	0
Ropn1l	19	10	14	11	9	6
March6	154	62	75	61	41	48
Cmbl	10	3	4	2	3	1
Cct5	2351	898	1156	1070	844	837
Fam173b	56	34	30	30	13	35
Snhg18	260	208	160	142	112	149
Sema5a	222	139	97	77	74	79
Gm32618	11	9	13	10	10	5
Sdc2	361	174	111	128	120	114
Cpq	24	14	16	10	11	13
Tspyl5	17	7	9	8	7	4
Mtdh	1385	568	609	562	424	390
Laptm4b	208	84	96	98	95	84
Matn2	102	51	25	28	23	27
X9430069I07Rik	0	0	0	0	0	0
Rpl30	12584	6454	6353	6197	4875	4631
Rida	178	75	67	68	54	47
Pop1	110	52	59	50	35	35
Nipal2	5	3	2	1	0	3
Stk3	173	83	61	62	66	69
Osr2	96	71	24	36	25	30
Gm48960	2	1	1	1	2	0
Vps13b	79	40	36	33	17	19
Cox6c	2150	1327	1304	1261	898	871
Rgs22	2	2	1	0	0	0
Polr2k	474	214	297	236	190	199
Spag1	12	3	9	5	4	3
Rnf19a	279	105	109	92	67	65
Ankrd46	81	43	26	36	25	29
Snx31	3	1	0	0	0	1
Pabpc1	3183	1257	1396	1202	913	929
Ywhaz	1793	685	839	840	593	602
Zfp706	736	298	317	322	239	223
Gm26766	2	2	4	0	2	1
Gm16136	1	3	1	1	5	1
Grhl2	9	5	4	1	2	2
Ncald	80	31	32	22	15	21
Gm28221	0	0	1	0	0	0
Rrm2b	53	21	25	30	8	13
Gm49085	51	16	18	22	11	12
Ubr5	344	156	191	153	90	130
Klf10	280	106	111	81	69	74
Gm41307	0	0	1	0	0	0
G930009F23Rik	3	0	1	2	1	0
Azin1	329	119	138	124	89	90
Gm49077	16	13	6	5	4	5
Atp6v1c1	116	72	44	61	44	48
Gm49097	1	0	1	0	0	0
Baalc	6	3	6	1	0	0
Fzd6	14	4	10	6	7	1
Cthrc1	210	98	137	115	76	81
Slc25a32	28	15	8	11	5	15
Dcaf13	176	63	102	107	76	45
Rims2	14	6	4	6	5	5
Dpys	0	0	0	0	0	0
Lrp12	46	22	17	25	15	17
Gm33301	0	1	0	1	0	0
Zfpm2	34	9	25	13	12	13
Oxr1	111	47	56	55	32	40
Abra	5	0	0	2	1	0
Angpt1	54	21	47	38	21	25
Rspo2	13	3	5	8	1	1
Eif3e	2512	1081	1052	1073	810	755
Emc2	292	128	156	153	112	94
Tmem74	1	0	0	1	0	0
Nudcd1	159	59	63	69	43	47
Eny2	906	412	430	440	282	256
Pkhd1l1	2	0	0	1	1	0
Ebag9	124	47	49	50	40	25
Sybu	0	1	0	2	2	0
Csmd3	0	1	0	1	0	0
Gm41318	1	0	0	0	0	0
Trps1	202	114	77	56	45	53
Eif3h	2144	1002	963	931	742	759
Utp23	121	49	51	42	45	40
Rad21	520	222	270	234	185	176
Aard	45	23	31	38	26	31
Med30	290	125	98	100	80	60
Ext1	297	137	157	144	84	95
Samd12	9	6	11	4	6	3
Tnfrsf11b	1	0	0	1	0	3
Colec10	4	4	9	15	9	14
Mal2	1	1	1	0	0	1
Nov	1	1	0	6	1	0
Enpp2	71	44	20	17	22	20
Taf2	112	41	66	36	40	39
Dscc1	102	32	51	38	26	37
Deptor	12	4	7	7	10	6
Col14a1	145	54	46	36	42	51
Mrpl13	435	181	218	222	165	135
Mtbp	48	16	20	13	10	21
Sntb1	1	3	2	0	1	1
Has2	183	67	80	61	44	63
Zhx2	14	7	8	3	2	0
Derl1	243	121	133	102	101	79
Tbc1d31	60	34	23	26	18	17
X9130401M01Rik	220	118	97	131	88	81
Gm29394	4	0	2	0	1	2
Zhx1	117	70	57	43	33	31
Atad2	521	207	275	242	143	182
Wdyhv1	62	22	21	27	20	12
Fbxo32	66	37	28	12	20	17
Fam91a1	158	72	72	71	62	45
Tmem65	194	98	76	75	53	61
Trmt12	24	8	6	9	13	13
Rnf139	65	37	35	26	17	17
Tatdn1	135	81	56	53	45	47
Ndufb9	1689	742	821	774	622	584
Mtss1	95	47	51	52	30	34
X4930544F09Rik	0	0	0	0	0	0
Sqle	289	101	139	132	72	100
Washc5	108	37	47	59	35	42
Nsmce2	403	181	202	188	146	155
AC161172.1	0	0	0	0	0	0
Trib1	511	180	116	124	88	85
Gm19510	0	0	0	0	0	0
Fam84b	13	7	8	10	9	11
Myc	323	107	84	66	42	42
Pvt1	29	14	18	24	10	11
Fam49b	247	84	138	116	95	95
Asap1	409	198	182	188	110	112
Adcy8	0	0	1	0	1	1
Efr3a	212	80	104	79	65	63
Kcnq3	6	4	4	6	2	2
Lrrc6	1	0	0	0	0	1
Tmem71	0	0	0	1	0	1
Phf20l1	224	111	100	133	93	82
Tg	0	0	2	0	1	0
Sla	0	0	0	0	0	0
Wisp1	169	85	90	76	51	57
Ndrg1	135	55	83	80	66	66
St3gal1	33	15	24	11	14	15
Zfat	15	5	12	12	4	9
Khdrbs3	202	98	82	70	69	57
Fam135b	0	2	0	0	2	0
Col22a1	9	5	7	1	4	4
Kcnk9	1	1	0	0	0	0
Trappc9	37	26	24	27	11	20
Chrac1	336	147	161	160	129	103
Ago2	481	234	245	216	183	175
Ptk2	128	67	80	79	35	51
Dennd3	2	3	0	2	0	1
Slc45a4	37	16	19	17	17	13
Gpr20	1	6	2	2	4	4
Ptp4a3	102	52	38	55	37	27
Mroh5	1	1	0	0	0	0
Gm6569	0	0	1	1	0	2
Adgrb1	7	5	3	2	2	1
Arc	130	32	31	31	24	24
Jrk	9	2	2	6	2	4
X4933427E11Rik	0	0	0	1	0	0
Psca	1	0	2	1	4	0
Them6	2	1	5	3	2	0
Slurp1	0	0	0	0	0	0
Lypd2	6	8	0	2	3	1
Lynx1	5	1	1	0	2	1
Ly6d	1	0	1	0	0	1
D730001G18Rik	0	0	0	0	0	0
Ly6k	2	1	1	1	0	1
Ly6e	219	117	148	131	97	99
Ly6a	3	0	4	3	1	3
Ly6c1	0	0	1	0	0	0
BC025446	3	0	0	0	0	0
Ly6h	249	129	45	31	36	40
Zfp41	21	6	16	17	11	12
AC119264.1	0	1	0	0	0	0
Top1mt	33	21	15	13	16	11
Rhpn1	3	0	4	1	1	1
Mafa	17	10	5	5	5	8
Zc3h3	16	11	10	16	12	10
Gsdmd	4	2	4	1	1	3
Naprt	18	7	12	11	6	7
Eef1d	2124	888	989	991	736	693
Tigd5	13	3	2	4	2	4
Pycrl	145	85	101	85	73	62
Tsta3	175	66	121	79	71	68
Zfp623	13	10	10	11	11	14
Zfp707	17	13	12	9	9	5
Ccdc166	5	3	3	5	3	2
Mapk15	1	2	1	1	1	0
Fam83h	9	3	7	4	3	3
K230010J24Rik	5	1	1	1	1	1
Scrib	95	31	43	59	22	26
Puf60	433	237	241	239	159	182
Nrbp2	24	4	5	14	9	4
Eppk1	1	4	0	1	0	0
BC024139	0	1	0	0	0	0
Plec	264	96	96	73	59	58
Parp10	12	9	7	6	7	6
Grina	231	125	111	130	97	96
Smpd5	0	0	3	0	0	1
Oplah	5	0	1	1	1	1
Exosc4	322	179	198	168	127	136
Gpaa1	120	52	58	53	45	38
Cyc1	605	305	338	347	254	273
Sharpin	45	22	45	25	30	23
Maf1	195	90	94	87	75	92
Gm35339	1	0	0	1	1	0
Hgh1	30	11	20	9	13	7
Mroh1	24	14	19	20	10	14
Bop1	71	38	39	50	25	36
Scx	20	12	16	8	6	10
Hsf1	85	38	57	48	30	45
Dgat1	40	17	17	18	15	16
Scrt1	14	8	7	9	3	5
Fbxl6	88	35	47	46	35	50
Slc52a2	43	13	22	18	11	12
Adck5	34	32	16	28	19	20
Cpsf1	119	49	54	53	35	36
Slc39a4	2	1	4	1	4	1
Vps28	319	144	155	155	153	145
Tonsl	23	12	19	14	11	9
Cyhr1	323	156	136	124	131	122
Kifc2	2	3	3	1	2	2
Foxh1	7	1	3	2	1	2
Ppp1r16a	37	7	16	12	12	15
Gpt	9	3	8	3	4	6
Mfsd3	12	10	3	2	2	6
Recql4	16	3	15	10	4	2
Lrrc14	67	32	28	23	21	17
Lrrc24	1	1	0	0	0	0
C030006K11Rik	17	15	6	9	6	12
Arhgap39	27	24	20	12	9	9
Zfp251	45	16	16	21	12	18
Zfp7	22	9	12	17	9	11
Rpl8	18972	8128	9214	9005	6789	6644
Zfp647	24	17	18	2	8	4
X1110038F14Rik	287	108	145	128	99	100
Mb	0	0	0	0	1	1
Rbfox2	568	204	211	203	160	157
Apol7a	0	0	0	0	1	0
Apol9a	9	8	3	2	1	1
Apol8	16	17	11	10	7	3
Myh9	661	240	389	284	200	224
Txn2	364	175	155	197	144	154
Foxred2	23	7	8	7	5	6
Eif3d	738	346	384	429	256	301
Gm17638	1	0	1	2	1	0
Cacng2	0	0	0	0	0	0
Ift27	239	120	113	106	72	79
AL589692.1	1	0	1	0	0	0
Pvalb	1	1	0	0	0	1
Ncf4	0	0	0	0	0	0
Csf2rb2	0	1	0	0	0	0
Csf2rb	1	1	0	0	0	1
Tst	22	21	8	10	6	8
Mpst	91	50	52	44	28	38
Kctd17	85	47	46	34	26	23
C1qtnf6	90	41	26	27	27	23
Rac2	0	1	0	0	0	0
AL590144.2	5	3	2	2	2	3
Cyth4	1	1	1	0	0	0
Elfn2	2	0	0	0	0	0
Mfng	3	0	2	1	1	0
Card10	7	1	1	7	6	3
Cdc42ep1	60	18	26	31	24	26
Lgals2	1	5	2	0	5	4
Gga1	66	28	32	36	29	27
Sh3bp1	64	40	34	34	26	26
Pdxp	84	36	41	46	37	23
Lgals1	4347	2636	1773	1775	1259	1208
Nol12	252	132	131	113	86	94
Triobp	170	79	81	94	61	68
H1f0	788	334	351	367	258	325
Gcat	94	42	75	59	45	42
Ankrd54	71	38	38	42	27	30
Eif3l	647	296	353	341	253	229
Micall1	66	19	22	27	16	14
X1700088E04Rik	22	10	7	6	8	11
Polr2f	977	418	544	588	363	379
Sox10	0	0	0	0	0	0
Pick1	35	21	23	13	13	16
Pick1.1	1	2	2	3	0	1
Baiap2l2	7	3	1	3	1	4
Pla2g6	25	11	7	11	6	6
Maff	508	148	148	133	78	68
Tmem184b	57	16	15	23	18	18
Csnk1e	543	226	225	243	198	177
Gm16059	0	0	2	3	0	0
Kcnj4	5	2	2	0	2	0
Kdelr3	296	159	103	111	132	103
Ddx17	479	241	315	266	161	201
Dmc1	9	3	1	5	6	6
Fam227a	2	4	0	5	1	2
Cby1	111	73	80	66	43	73
Tomm22	943	433	469	429	286	280
Josd1	139	70	63	55	45	48
Gm26884	0	1	1	1	1	1
Gtpbp1	42	11	24	21	18	10
Sun2	42	30	22	22	11	13
Dnal4	85	40	33	46	39	40
Nptxr	17	12	9	5	3	8
Cbx6	78	36	33	33	23	31
Apobec3	28	10	14	11	13	6
Cbx7	18	2	10	8	7	5
Pdgfb	23	3	8	13	7	3
Rpl3	15025	6886	7238	6947	5226	5116
Syngr1	42	12	20	19	15	22
Tab1	21	11	16	12	16	8
Mgat3	26	10	15	13	8	5
Mief1	47	16	18	27	14	13
Atf4	924	389	426	357	256	271
Rps19bp1	332	140	162	186	121	136
Grap2	2	1	0	1	1	0
Fam83f	1	1	2	1	0	0
Tnrc6b	355	180	153	177	123	121
Adsl	155	74	90	69	60	66
Sgsm3	24	19	17	13	14	7
Mkl1	26	12	15	10	11	13
Mchr1	1	0	0	1	0	0
Slc25a17	186	66	76	61	60	53
St13	990	424	501	445	370	379
Xpnpep3	37	12	17	14	13	8
Rbx1	1687	788	884	881	649	632
Ep300	218	80	123	100	72	77
L3mbtl2	47	23	38	32	27	24
Chadl	7	3	3	3	2	5
Rangap1	464	182	237	236	129	137
Zc3h7b	81	48	51	40	31	35
Tef	50	25	22	23	23	22
Tob2	210	107	89	82	62	61
Phf5a	792	344	415	367	268	262
Aco2	435	186	227	223	139	151
Polr3h	120	52	49	65	38	52
Csdc2	13	11	10	5	5	9
Pmm1	330	167	130	144	116	109
X1700029P11Rik	0	0	0	0	0	0
Xrcc6	78	44	58	59	43	26
Desi1	129	51	58	54	50	36
Snu13	1640	714	798	815	564	572
Mei1	0	0	0	0	0	0
Ccdc134	19	14	17	15	7	9
Srebf2	189	76	121	97	57	79
Shisa8	7	3	2	4	1	3
Tnfrsf13c	0	2	3	2	1	0
Cenpm	197	78	81	89	45	53
X1500009C09Rik	2	0	1	0	0	1
Sept3	39	27	21	36	18	19
Wbp2nl	0	0	0	0	0	0
Naga	63	32	29	34	28	19
Fam109b	12	2	2	1	3	0
Smdt1	1119	479	496	487	383	380
Ndufa6	882	465	463	444	349	383
Cyp2d22	10	4	2	2	3	2
Cyp2d26	2	0	0	1	0	0
Tcf20	119	50	64	66	31	43
Gm20324	11	3	6	2	1	3
Gm29019	1	0	1	0	1	0
Nfam1	5	6	3	1	1	3
Serhl	106	51	34	48	34	36
Rrp7a	166	66	86	101	59	79
Poldip3	205	89	121	106	71	65
Cyb5r3	543	261	308	265	229	238
AL591952.3	18	6	6	4	2	5
A4galt	20	10	2	5	3	6
Arfgap3	101	50	42	45	28	33
X1700001L05Rik	12	5	4	2	1	0
Pacsin2	100	55	70	74	45	41
Ttll1	16	13	12	17	8	9
Bik	15	6	5	0	2	5
Mcat	82	39	57	41	41	37
Tspo	238	91	141	153	112	111
Ttll12	105	27	42	47	24	38
Scube1	41	14	15	32	13	12
Mpped1	3	0	2	1	0	0
Efcab6	0	0	1	1	0	0
Sult4a1	2	2	2	2	0	2
Pnpla3	4	1	0	0	2	1
Samm50	437	181	185	187	145	172
Parvb	38	12	24	18	21	13
X1810041L15Rik	7	7	0	1	2	0
Rtl6	6	5	7	4	4	2
Prr5	98	55	46	58	54	36
Arhgap8	3	6	6	2	4	5
Phf21b	4	3	5	2	1	1
Gm29666	8	2	2	4	1	0
Nup50	304	148	165	146	107	101
X5031439G07Rik	76	43	33	43	33	28
Upk3a	3	5	1	0	0	0
Fam118a	69	51	38	38	24	18
Smc1b	18	10	5	3	1	6
Fbln1	967	492	341	330	264	285
Atxn10	749	294	386	367	306	286
Wnt7b	4	3	3	2	2	1
AU022754	0	0	0	0	0	0
Ppara	4	3	1	1	2	0
Cdpf1	98	43	46	44	47	38
Ttc38	21	11	8	8	10	10
Gtse1	52	14	25	27	16	15
Trmu	52	16	24	13	17	13
Celsr1	11	9	5	9	3	3
Gramd4	19	13	10	5	12	10
Cerk	40	31	10	12	12	13
Tbc1d22a	26	7	14	14	9	6
Fam19a5	58	22	24	19	19	18
Brd1	558	227	250	225	168	163
Zbed4	55	18	35	23	18	18
Alg12	13	9	6	5	5	4
Creld2	128	63	78	60	49	65
Pim3	300	110	137	148	105	127
Ttll8	8	4	6	1	2	7
Mlc1	1	1	0	0	0	0
Mov10l1	1	1	0	0	1	1
Panx2	0	0	0	1	0	0
X1810021B22Rik	2	3	2	2	3	0
Trabd	131	60	84	60	62	44
Selenoo	17	6	9	14	2	7
Tubgcp6	27	6	19	18	6	15
Hdac10	16	4	9	4	3	3
Mapk12	26	10	23	25	17	15
Mapk11	6	4	5	4	7	2
Plxnb2	152	76	85	82	73	62
Dennd6b	5	2	6	5	3	1
Ppp6r2	32	15	15	9	10	6
Gm26798	2	0	2	2	1	1
Sbf1	52	21	23	21	11	15
Adm2	2	1	1	0	0	0
Lmf2	58	28	24	27	18	19
Ncaph2	225	89	144	97	78	81
Sco2	82	42	40	48	39	30
Odf3b	2	0	0	1	0	0
Syce3	1	0	0	1	1	0
Chkb	16	11	7	10	8	2
C730034F03Rik	22	8	10	9	2	7
Mapk8ip2	11	2	4	4	4	0
Arsa	34	17	18	22	15	15
C230037L18Rik	7	1	4	6	0	0
Shank3	2	1	3	2	3	2
Rabl2	72	36	55	40	31	47
Syt10	2	0	1	3	0	1
Alg10b	97	55	54	60	33	43
Cpne8	47	16	17	20	8	12
Kif21a	64	40	37	41	32	33
Abcd2	21	15	4	10	5	8
CN725425	0	1	0	0	1	0
Slc2a13	3	3	3	1	4	2
Lrrk2	17	7	8	6	4	3
Cntn1	4	2	5	2	5	4
Gm26760	1	1	0	1	0	0
Pdzrn4	10	8	3	1	5	4
Gxylt1	226	89	111	101	64	89
Yaf2	476	195	245	199	136	135
Zcrb1	959	386	455	414	279	283
Pphln1	139	67	77	75	49	51
Prickle1	94	49	56	44	32	34
Adamts20	12	8	5	6	8	5
Pus7l	29	14	12	5	6	11
Irak4	18	6	2	6	3	5
Twf1	221	88	97	98	69	70
Tmem117	3	2	0	1	0	0
Nell2	13	1	1	2	2	2
Dbx2	0	0	0	0	0	0
A130051J06Rik	5	1	2	2	2	5
Ano6	85	49	39	48	25	30
Gm17546	0	0	0	0	0	0
X2610037D02Rik	120	33	58	54	16	28
Arid2	218	105	113	99	61	70
Scaf11	1115	430	543	517	321	341
Slc38a1	326	132	161	152	100	125
Slc38a2	858	336	383	401	235	228
Slc38a4	499	195	291	231	180	215
AC158554.1	10	6	5	2	5	2
Amigo2	15	10	9	2	5	8
Pced1b	8	0	1	2	0	2
Rpap3	142	54	56	72	45	61
Rapgef3	5	2	4	1	1	2
Slc48a1	52	25	20	10	25	21
Hdac7	68	48	47	34	26	33
Vdr	1	1	1	1	0	0
Tmem106c	76	37	26	28	23	18
Col2a1	57	44	35	37	35	20
Senp1	110	35	61	49	33	42
Pfkm	67	35	32	38	28	27
Gm26513	3	0	2	3	0	0
Asb8	45	36	13	25	21	25
Ccdc184	0	3	0	0	0	0
Zfp641	4	1	1	1	2	2
Kansl2	191	99	100	86	70	59
Ccnt1	316	113	152	109	110	99
X9330020H09Rik	18	5	7	7	5	6
X4930415O20Rik	1	1	0	1	1	0
Adcy6	45	28	18	29	24	23
Cacnb3	41	32	21	26	29	21
Ddx23	242	88	140	118	76	75
Rnd1	18	5	7	12	2	6
Ccdc65	3	1	2	1	1	0
Fkbp11	285	122	143	150	136	112
Arf3	150	62	59	56	47	31
Wnt10b	0	0	0	0	0	0
Wnt1	2	4	0	0	2	0
B130046B21Rik	0	1	0	0	1	0
Prkag1	122	48	52	59	38	46
Kmt2d	73	26	33	45	21	32
AC161165.6	15	12	7	8	4	3
Rhebl1	77	22	28	23	23	17
Dhh	3	0	0	1	0	0
Lmbr1l	35	17	11	26	9	10
Tuba1b	781	456	610	634	448	458
AC161165.3	2	2	2	0	1	1
Tuba1a	1273	741	1042	1107	763	781
Tuba1c	44	33	34	28	32	33
Prph	20	15	7	11	19	7
Troap	27	12	16	15	5	8
C1ql4	1	1	0	0	0	0
Dnajc22	6	2	1	3	4	4
Spats2	314	132	157	129	106	112
Kcnh3	0	1	0	0	0	0
Mcrs1	230	76	121	96	77	57
Prpf40b	38	23	29	24	15	16
Fmnl3	49	28	27	23	15	8
Tmbim6	676	296	309	319	222	251
Nckap5l	40	21	18	14	6	11
Bcdin3d	45	19	15	17	13	24
Faim2	0	0	0	0	0	0
Aqp5	1	2	0	1	3	0
Racgap1	225	98	138	109	69	71
Asic1	2	2	6	5	1	3
Smarcd1	235	111	173	163	113	109
AC134548.2	4	1	1	0	1	2
Gm16537	0	0	1	0	0	0
Gpd1	6	2	2	1	1	2
Cox14	394	193	211	210	128	123
Cers5	145	78	85	78	54	73
Gm17058	1	0	0	1	1	0
Lima1	381	221	181	161	104	120
Gm21917	0	0	0	0	0	0
Larp4	497	200	224	216	157	139
X2310068J16Rik	23	10	6	8	5	6
Dip2b	62	28	36	26	22	31
Atf1	217	83	84	80	63	58
Tmprss12	0	0	0	0	0	0
Mettl7a1	46	12	15	17	13	7
Slc11a2	43	25	24	28	18	13
Gm5475	3	0	0	3	1	0
Letmd1	31	17	11	14	13	15
Csrnp2	50	19	17	14	10	10
Tfcp2	51	30	40	22	25	22
Pou6f1	4	2	5	3	8	2
AC123724.1	2	0	1	0	1	3
Dazap2	187	86	85	99	81	76
Smagp	13	5	4	10	10	5
Bin2	1	0	2	0	1	0
Cela1	3	6	0	2	1	1
Galnt6	4	0	3	0	1	1
Slc4a8	14	7	8	8	3	7
Scn8a	15	7	11	3	6	3
Fignl2	64	23	54	35	23	42
Acvrl1	55	29	28	27	15	17
Acvr1b	26	11	17	11	13	8
A330009N23Rik	3	4	0	1	0	1
Grasp	130	75	46	48	35	53
Nr4a1	574	261	142	137	116	130
Atg101	259	118	151	122	129	93
X6030408B16Rik	117	65	30	25	29	30
Krt80	4	1	0	0	0	0
Krt7	11	6	6	2	11	11
Krt90	0	0	0	0	0	0
Krt75	2	1	0	0	0	0
Krt6a	10	8	1	2	4	1
Krt5	5	4	4	0	2	1
Krt1	3	2	1	2	0	2
Krt4	13	6	1	1	3	3
Krt79	4	2	3	1	1	1
Krt78	1	2	0	0	0	0
Krt8	1007	234	1130	1146	896	892
AC139844.1	1	0	0	0	0	0
Krt18	1074	236	934	979	775	870
Eif4b	838	364	358	357	300	287
Tns2	33	21	16	15	11	17
Spryd3	38	11	7	9	7	13
Igfbp6	16	10	4	8	5	0
Soat2	2	2	0	1	1	0
Csad	102	48	34	45	39	22
Zfp740	112	49	77	68	46	43
Itgb7	4	3	0	0	0	0
Rarg	67	25	26	21	26	18
Gm9918	1	0	0	0	0	0
Mfsd5	45	30	35	23	19	25
Espl1	53	26	28	26	15	19
Pfdn5	2853	1273	1142	1122	866	870
Myg1	251	113	118	107	75	102
Aaas	61	34	40	44	28	32
Sp1	175	66	76	70	36	51
Amhr2	7	1	7	2	4	2
Gm26518	29	16	28	20	7	10
Prr13	110	47	65	50	51	35
Pcbp2	899	404	460	389	295	299
Map3k12	60	31	20	33	12	19
Tarbp2	167	66	99	89	49	65
Atf7	69	38	31	16	18	29
AC123870.1	1	2	0	1	0	1
Atp5g2	3713	1631	1672	1630	1210	1192
Calcoco1	64	31	24	32	42	32
Hoxc13	2	1	0	3	0	0
Hoxc11	7	2	2	5	1	4
Hoxc10	13	8	5	8	9	5
Hoxc5	7	2	7	4	3	1
Hoxc9	12	5	16	10	11	7
Hoxc8	12	9	24	14	14	7
Hoxc6	17	6	11	11	16	9
Hoxc4	13	7	8	4	3	3
Smug1	32	15	20	6	8	12
Cbx5	1050	460	636	614	412	430
Hnrnpa1	4189	1812	2208	2005	1624	1566
Nfe2	1	0	0	0	0	0
Copz1	261	111	152	150	98	125
Zfp385a	55	22	37	34	29	26
Itga5	153	55	58	50	34	43
Gtsf1	1	1	1	0	0	0
Nckap1l	0	1	0	0	1	0
Pde1b	3	4	6	5	1	4
Ppp1r1a	66	30	32	54	29	32
AC191865.2	0	1	0	0	1	0
Zfp263	39	16	14	25	21	10
AC139347.1	5	1	2	1	0	0
Zfp174	2	4	1	2	4	2
Zfp597	44	17	12	11	12	12
Naa60	34	19	26	19	11	14
X1700037C18Rik	25	16	10	6	3	10
Cluap1	59	33	22	27	20	19
Gm15537	1	1	2	0	0	0
Nlrc3	4	3	3	2	1	1
Slx4	15	7	12	5	9	3
Gm15879	1	3	0	2	0	0
Trap1	175	73	91	83	61	66
Crebbp	401	186	223	190	127	131
Adcy9	8	3	1	2	1	2
Srl	12	6	8	7	3	4
Tfap4	58	39	35	30	25	33
Glis2	49	24	23	24	16	16
Pam16	2	1	1	0	0	0
Coro7	26	13	20	21	11	17
Vasn	365	111	122	112	64	66
Dnaja3	75	32	43	37	30	22
Nmral1	118	50	73	63	56	52
Hmox2	227	116	109	99	102	87
Gm15859	2	1	0	0	0	0
Cdip1	150	74	88	82	63	48
Ubald1	127	68	81	64	33	51
Mgrn1	70	30	42	35	21	21
Gm16861	7	0	6	4	1	1
Nudt16l1	118	57	61	53	49	53
Anks3	53	26	25	19	18	25
Smim22	4	3	5	6	4	4
Rogdi	38	21	14	20	11	17
Glyr1	339	126	191	154	122	79
Ubn1	442	182	178	172	143	144
Ppl	3	5	3	1	2	2
Sec14l5	0	0	0	0	0	0
Nagpa	20	7	12	7	13	9
AU021092	0	0	0	1	1	0
Alg1	37	11	14	12	12	8
Eef2kmt	86	49	51	41	39	40
Gm15983	1	1	0	0	0	0
Rbfox1	4	3	3	1	1	1
Mettl22	76	23	42	25	22	19
Abat	23	11	10	11	8	9
Tmem186	16	11	5	11	5	7
Pmm2	60	32	32	26	32	27
Carhsp1	340	137	147	154	132	123
Usp7	416	147	232	191	128	161
X1810013L24Rik	113	36	41	46	18	28
Grin2a	14	2	13	7	3	2
Rpl39l	6	4	1	0	1	1
Atf7ip2	16	3	6	5	2	1
Emp2	72	39	52	55	30	29
Tekt5	1	0	0	0	1	1
Nubp1	281	88	119	124	105	98
Tvp23a	19	15	11	11	1	13
Dexi	57	39	29	31	28	26
Clec16a	15	11	8	12	11	10
Socs1	140	60	57	45	34	28
Gm26822	4	3	0	0	2	2
Rmi2	20	8	10	3	7	5
Litaf	251	137	107	93	75	70
Gm4262	5	0	3	3	0	2
Snn	56	26	34	37	24	18
Txndc11	52	25	42	24	25	18
Zc3h7a	114	50	61	54	35	54
X4930509G22Rik	2	1	2	1	1	0
Rsl1d1	725	269	324	292	214	208
X2610020C07Rik	15	8	8	4	7	6
Gspt1	1438	547	590	581	362	420
Snx29	13	3	6	6	4	2
Cpped1	41	17	25	17	22	22
Shisa9	4	1	6	8	3	1
Ercc4	14	6	8	8	4	7
Mkl2	77	47	38	25	18	22
Parn	108	39	52	29	38	31
Bfar	139	80	62	89	82	61
X3110001I22Rik	12	3	7	6	3	7
Pla2g10	2	0	1	2	1	3
AC154607.1	0	0	0	0	0	0
Rrn3	113	46	56	55	30	35
Ntan1	393	143	134	150	100	84
Pdxdc1	229	107	119	103	79	98
Mpv17l	15	6	12	8	5	5
Ifitm7	0	0	0	1	0	1
X2900011O08Rik	6	1	2	0	0	1
Marf1	66	34	42	36	34	21
Nde1	131	58	53	71	40	45
Myh11	55	40	3	4	14	7
Fopnl	162	83	83	75	58	62
Abcc1	47	16	17	26	22	19
Snai2	123	80	106	99	72	78
Efcab1	4	8	10	4	4	7
Ube2v2	435	220	222	216	151	168
Mcm4	417	180	220	238	173	152
Prkdc	67	30	41	38	18	33
Mzt2	146	57	62	69	74	49
Cebpd	268	186	63	67	73	69
Spidr	82	33	38	30	33	23
Pkp2	93	30	74	64	45	55
Yars2	117	44	34	45	29	31
Dnm1l	200	110	98	109	61	63
Fgd4	16	6	10	16	3	6
Spag6l	1	0	2	1	0	1
Igll1	0	0	0	0	0	0
Vpreb1	3	1	3	0	3	0
Top3b	87	40	46	45	33	30
Ppm1f	37	15	20	25	12	20
AC166832.3	0	0	0	0	0	0
Mapk1	431	160	172	183	123	153
X1700056N10Rik	1	4	1	1	3	1
Ypel1	51	30	33	31	13	16
Ppil2	210	89	111	97	73	70
X2610318N02Rik	100	49	61	77	51	52
Sdf2l1	104	47	58	67	37	36
Ccdc116	1	0	2	0	1	0
Ydjc	45	15	22	21	19	17
Ube2l3	1219	463	537	572	386	380
Rimbp3	0	0	0	0	0	0
Hic2	110	40	52	53	42	45
Gm26635	2	1	0	0	0	2
