meso_rep1	meso_rep2	meso_rep3	meso_rep4	meso_rep5	meso_rep6
Tnfrsf11a	4	3	1	0	3	1
Gm7160	4	3	3	3	0	1
Zcchc2	63	21	23	27	13	21
Phlpp1	51	19	17	14	16	15
Bcl2	100	39	41	23	25	32
Kdsr	90	44	49	38	30	35
Vps4b	230	119	151	142	99	98
Serpinb5	0	0	0	0	2	1
Serpinb11	0	3	0	1	1	0
Serpinb2	1	0	0	1	0	0
Serpinb8	5	1	1	1	1	0
Gm15389	0	0	0	1	0	0
Cdh7	0	0	0	0	0	0
Dsel	90	44	45	45	29	18
X9330185C12Rik	0	0	0	0	1	0
Cntnap5a	0	0	0	0	0	0
Tsn	1086	494	500	529	411	419
Nifk	297	130	155	156	119	111
Clasp1	191	70	88	72	64	68
X2900060B14Rik	75	47	59	37	23	29
Tfcp2l1	4	5	2	4	2	2
Gli2	29	11	22	17	19	15
Inhbb	12	2	2	0	0	1
Ralb	330	132	162	169	110	102
Gm27184	1	0	0	1	0	0
Tmem185b	35	27	19	14	9	11
X3830432H09Rik	1	1	0	0	0	0
Epb41l5	102	36	52	54	37	35
Ptpn4	55	17	31	25	14	18
Tmem177	10	6	6	8	6	1
Sctr	0	2	0	0	0	0
Tmem37	67	35	22	29	26	26
Dbi	1263	508	727	693	456	443
X3110009E18Rik	35	13	22	19	15	13
Steap3	7	3	4	0	0	1
En1	12	5	1	3	5	5
X2610027F03Rik	0	1	0	0	0	0
Insig2	72	51	48	34	34	41
Ccdc93	51	29	24	31	26	27
Htr5b	0	0	0	1	1	0
Ddx18	379	171	269	266	169	144
Dpp10	2	1	0	0	0	0
Actr3	970	377	331	346	265	268
Slc35f5	103	47	39	52	28	36
Gpr39	1	0	0	0	0	0
Lypd1	6	6	3	5	1	5
Nckap5	7	3	3	5	5	2
Mgat5	46	31	14	15	10	15
Tmem163	7	4	5	3	0	0
X2900009J06Rik	9	3	2	5	1	0
Ccnt2	163	70	74	64	41	51
Rab3gap1	113	48	43	51	52	45
Zranb3	44	21	17	31	17	13
R3hdm1	268	149	134	120	108	82
Ubxn4	856	370	427	407	347	355
Mcm6	498	207	221	208	163	157
Dars	355	150	172	144	113	118
Cxcr4	10	7	6	6	8	2
Thsd7b	0	0	0	0	0	0
Gm15675	2	1	0	1	0	0
Cd55	35	12	13	9	5	21
C4bp	1	0	0	0	0	0
Pfkfb2	7	1	4	3	1	0
Yod1	52	21	13	12	16	15
AA986860	5	1	3	0	1	0
Fcmr	0	0	0	0	0	0
Il24	0	0	2	0	0	0
Il19	1	2	0	0	0	1
Mapkapk2	238	94	114	127	75	65
Dyrk3	37	20	12	13	9	11
Eif2d	82	31	52	41	40	33
Rassf5	8	3	4	6	2	1
Ikbke	11	5	2	4	2	3
Srgap2	121	49	54	60	39	38
Fam72a	12	7	13	5	3	4
Avpr1b	0	0	0	0	0	0
Rab7b	23	8	6	7	6	3
Slc26a9	0	0	0	0	0	0
Pm20d1	1	1	4	2	2	1
Slc41a1	64	38	33	25	23	15
Rab29	13	6	2	2	0	4
Nucks1	2350	960	1171	1057	764	754
Slc45a3	3	2	2	1	2	1
Elk4	129	66	38	33	36	26
Mfsd4a	41	22	11	11	11	7
Cdk18	5	0	6	3	0	4
Lemd1	4	1	2	1	2	0
Klhdc8a	1	0	0	1	1	1
Nuak2	15	6	5	11	3	2
Tmcc2	16	8	6	6	2	5
Dstyk	80	32	44	31	28	20
Rbbp5	36	25	22	24	14	10
Tmem81	2	0	1	0	0	1
Cntn2	0	1	3	2	1	2
Nfasc	1	2	1	2	3	0
Lrrn2	12	6	8	9	6	1
Mdm4	184	105	79	95	62	63
Pik3c2b	6	7	7	5	6	1
Ppp1r15b	235	94	82	66	58	62
Plekha6	19	3	11	11	9	10
Golt1a	0	0	0	0	0	0
Etnk2	6	1	3	2	0	2
Sox13	30	10	17	19	11	11
Snrpe	2378	1151	1304	1412	979	959
Gm26706	2	0	2	0	0	0
Zc3h11a	31	15	12	15	7	7
Gm38394	14	6	13	6	1	1
Lax1	2	2	2	2	0	1
Atp2b4	104	54	57	43	31	37
Optc	4	0	2	0	0	3
Prelp	7	4	1	2	1	3
Fmod	3	0	3	0	0	1
Btg2	2080	836	627	603	509	535
Chit1	0	0	0	0	1	0
Chil1	1	0	2	0	1	1
Mybph	0	1	0	2	0	0
Adora1	2	3	5	2	3	0
Myog	7	16	1	2	0	0
Ppfia4	20	5	5	11	8	8
Tmem183a	207	62	94	81	55	72
Cyb5r1	32	21	21	16	12	11
Adipor1	316	109	137	109	97	118
Klhl12	49	19	25	20	28	17
Rabif	77	21	31	23	30	35
Kdm5b	897	405	436	423	298	378
Syt2	1	3	2	4	1	1
Ppp1r12b	18	15	12	11	15	11
Ube2t	72	30	28	35	26	29
Ptpn7	1	0	1	0	0	0
Arl8a	110	66	69	45	42	40
Elf3	10	7	6	8	6	6
Rnpep	78	29	23	34	24	19
Timm17a	697	293	337	345	230	234
Lmod1	41	13	6	6	8	3
Shisa4	113	37	49	51	27	35
Ipo9	133	62	79	58	41	49
Nav1	188	95	64	80	50	59
Gm38399	7	3	3	3	0	3
Csrp1	625	279	245	272	192	244
Phlda3	556	286	245	230	211	198
Tnni1	206	54	125	139	97	117
Lad1	5	2	3	2	3	4
Tnnt2	144	50	71	59	70	72
Pkp1	1	1	1	1	0	0
Tmem9	256	110	136	132	101	99
Cacna1s	0	0	0	0	0	0
Kif21b	63	20	33	39	18	21
X5730559C18Rik	16	7	12	6	3	6
Camsap2	125	49	62	47	31	25
Ddx59	33	14	11	12	6	6
Kif14	44	26	27	19	12	10
Platr23	1	0	1	1	1	0
Zfp281	182	66	99	74	52	57
Gm19705	2	1	1	2	2	1
Platr22	1	0	0	0	1	0
Nr5a2	6	0	0	4	2	0
A430106G13Rik	11	3	1	1	2	2
Nek7	161	74	69	52	53	46
Lhx9	4	1	4	3	2	3
X2310009B15Rik	194	109	100	87	68	56
Dennd1b	48	19	29	22	16	15
Zbtb41	90	39	34	26	29	24
Aspm	140	70	71	66	29	54
Cfh	42	27	13	14	15	11
Kcnt2	8	4	3	7	1	1
Cdc73	213	91	126	128	69	69
B3galt2	4	4	3	2	0	1
Glrx2	314	132	139	141	107	120
Trove2	125	72	81	70	39	47
Uchl5	262	98	121	114	93	82
Rgs2	71	53	27	27	20	25
Rgs18	0	0	0	0	0	0
Pla2g4a	88	48	55	33	42	38
Ptgs2	171	73	57	37	30	30
BC003331	213	101	97	91	61	86
Tpr	1962	803	1088	1078	712	691
Hmcn1	112	65	45	35	20	32
Gm10138	34	12	16	18	18	12
Ivns1abp	331	140	161	136	110	123
Swt1	248	102	109	97	83	92
Trmt1l	57	31	40	32	16	16
Rnf2	261	74	94	109	68	73
Fam129a	26	9	11	4	5	6
X2810414N06Rik	2	1	2	0	0	2
Edem3	37	25	40	32	16	18
X1700025G04Rik	166	76	94	89	67	80
Tsen15	242	99	133	109	86	72
Colgalt2	1	1	1	1	0	0
Rgl1	68	35	50	40	38	39
Arpc5	696	310	333	278	228	236
Ncf2	2	1	4	2	2	0
Smg7	181	57	73	58	53	61
Nmnat2	2	2	4	6	1	1
Lamc2	16	3	11	8	6	4
Lamc1	318	155	139	123	115	104
Shcbp1l	0	0	0	0	0	0
