endoderm_NA18511	endoderm_NA18856	endoderm_NA18858	endoderm_NA18912	endoderm_NA19140	endoderm_NA19159	endoderm_NA19160	endoderm_NA19210
YWHAE	511	2492	133	2080	245	122	829	2177
CRK	9	246	1	223	22	13	29	195
MYO1C	354	61	232	53	6	7	714	77
INPP5K	112	33	39	33	2	0	141	25
PITPNA	567	268	194	281	22	12	946	200
SLC43A2	10	24	4	19	1	3	12	28
SCARF1	0	2	0	4	0	1	0	2
RILP	4	9	8	16	0	1	5	17
PRPF8	400	342	94	245	46	11	684	256
TLCD2	0	12	0	12	2	0	1	10
WDR81	17	29	7	31	3	1	19	22
SERPINF2	2	47	0	53	6	0	5	24
SERPINF1	646	250	356	440	35	3	1606	163
SMYD4	185	82	60	47	11	4	309	42
RPA1	859	237	245	172	24	11	1577	176
RTN4RL1	38	56	4	24	8	3	19	69
DPH1	5	10	3	7	1	1	7	5
OVCA2	0	0	0	0	0	0	1	0
HIC1	1	1	1	0	0	0	7	0
SMG6	436	464	113	399	56	28	567	423
SRR	227	92	65	75	4	2	347	74
TSR1	755	180	156	157	19	10	1337	123
SGSM2	133	32	77	29	3	3	209	19
MNT	123	36	60	31	2	1	223	21
METTL16	436	380	86	253	29	21	827	277
PAFAH1B1	1364	733	428	686	61	41	2366	672
CLUH	214	37	58	39	3	3	362	32
RAP1GAP2	40	118	21	54	11	5	68	110
OR1D5	0	0	0	0	0	0	0	0
OR1D2	0	0	0	0	0	0	0	0
OR1G1	0	0	0	0	0	0	2	0
OR1A2	0	0	0	0	0	0	0	0
OR1A1	0	0	0	0	1	0	0	0
OR3A2	0	1	0	0	0	0	2	2
OR3A1	0	0	0	0	0	0	1	0
AC087498.1	0	0	0	0	0	0	0	0
OR1E1	0	0	0	0	0	0	0	0
OR3A3	1	2	1	2	0	0	2	1
OR1E2	0	0	0	0	0	0	0	0
SPATA22	0	1	0	2	4	0	1	4
ASPA	4	3	1	3	0	0	8	2
TRPV3	27	11	16	11	0	0	66	8
TRPV1	79	81	9	61	12	0	186	72
SHPK	123	157	26	113	19	2	197	97
CTNS	162	62	72	50	1	2	225	35
TAX1BP3	601	177	256	211	19	16	988	147
EMC6	3028	727	724	698	88	34	5099	551
P2RX5	0	0	4	0	1	0	0	1
ITGAE	1507	328	330	253	33	21	2334	278
HASPIN	61	8	14	10	1	0	66	8
NCBP3	962	282	222	252	33	15	1835	208
CAMKK1	16	15	7	9	0	0	41	19
P2RX1	0	0	2	0	0	0	2	0
ATP2A3	6	2	5	2	1	0	22	0
ZZEF1	100	127	48	154	13	7	182	100
CYB5D2	176	53	72	41	6	2	238	54
ANKFY1	270	197	76	170	13	10	473	206
UBE2G1	500	538	159	417	46	22	801	427
SPNS3	7	1	12	1	0	0	7	0
SPNS2	93	2	122	3	0	0	103	2
MYBBP1A	253	59	61	37	9	1	425	44
GGT6	0	0	1	0	0	0	2	0
SMTNL2	124	48	84	37	1	4	269	23
ALOX15	6	0	46	1	0	0	6	0
PELP1	1008	238	181	183	20	17	1468	225
ARRB2	307	85	72	54	7	2	504	45
MED11	711	173	190	130	16	9	1134	110
CXCL16	66	5	122	8	0	0	48	1
ZMYND15	2	0	4	1	0	0	3	2
TM4SF5	64	14	0	13	2	0	90	10
VMO1	10	4	6	1	0	0	14	2
GLTPD2	450	154	9	102	7	2	967	48
PSMB6	6372	1469	1880	1237	131	62	9764	1258
AC233723.1	11	6	6	5	1	1	28	9
PLD2	168	41	73	31	3	3	315	32
MINK1	233	112	70	94	11	5	358	98
CHRNE	11	12	3	13	0	0	20	13
C17orf107	17	7	5	3	1	0	41	2
GP1BA	5	2	0	3	0	1	5	3
SLC25A11	1455	302	402	247	30	18	2163	247
RNF167	1007	205	389	149	27	9	1470	178
PFN1	19695	3978	7382	4104	438	165	29658	3786
ENO3	301	41	84	59	1	4	529	50
SPAG7	2124	568	556	444	52	18	3577	426
CAMTA2	99	32	31	38	5	5	143	18
INCA1	19	9	3	9	0	0	32	4
KIF1C	690	166	101	162	19	4	1374	107
SLC52A1	4	2	4	7	0	0	8	3
ZFP3	12	6	6	6	0	0	43	8
ZNF232	328	74	59	77	8	1	519	69
USP6	2	3	0	1	0	0	1	2
ZNF594	71	46	14	33	6	0	103	20
SCIMP	2	4	0	3	0	1	6	2
RABEP1	533	302	178	281	33	19	970	235
NUP88	448	202	104	162	17	14	650	171
RPAIN	2370	547	569	386	62	25	3822	465
C1QBP	7366	1350	1269	1155	145	53	12672	1060
DHX33	554	140	84	128	11	11	1025	117
DERL2	1203	261	292	264	38	9	2330	206
MIS12	338	125	91	94	10	6	594	65
NLRP1	4	1	1	0	0	0	8	1
AC055839.2	2	6	3	1	0	0	5	3
WSCD1	52	18	17	6	1	0	94	11
AIPL1	4	0	22	3	0	0	26	0
PIMREG	554	123	88	46	11	9	796	103
PITPNM3	8	9	6	4	1	0	17	5
KIAA0753	140	109	37	76	10	8	222	79
AC004706.3	0	6	0	1	0	1	1	2
TXNDC17	7449	1621	1156	1911	228	58	14967	1389
MED31	453	126	171	114	16	5	851	99
C17orf100	51	22	8	13	4	1	135	19
SLC13A5	263	128	0	100	8	1	963	42
XAF1	3	2	2	1	0	0	2	1
FBXO39	1	1	0	1	0	0	0	0
TEKT1	0	3	4	2	0	1	1	3
ALOX12	1	3	3	0	0	0	3	4
RNASEK	118	2268	44	1603	175	78	226	1246
C17orf49	90	599	30	334	29	12	144	321
BCL6B	10	1	3	2	0	0	25	0
SLC16A13	25	39	17	16	3	2	80	11
SLC16A11	12	3	8	3	0	0	4	2
CLEC10A	0	0	0	1	0	0	6	0
ASGR2	535	169	6	189	11	8	1240	69
ASGR1	1114	292	53	375	13	8	3363	107
DLG4	77	24	16	19	3	0	101	17
ACADVL	1633	251	754	187	16	14	2400	185
DVL2	600	103	114	96	5	6	917	87
PHF23	1119	189	238	159	26	8	1591	139
GABARAP	121	1851	48	1619	166	71	189	1245
CTDNEP1	1429	262	528	234	30	14	2353	215
ELP5	582	143	121	109	13	6	2088	102
CLDN7	3627	870	2334	865	91	30	5914	714
SLC2A4	11	7	2	2	0	0	30	1
YBX2	38	24	13	16	3	0	134	19
EIF5A	6242	1159	1860	982	86	58	10192	965
GPS2	263	153	83	143	26	6	539	153
NEURL4	83	11	28	15	1	0	109	18
ACAP1	21	7	15	13	3	2	76	10
KCTD11	56	7	33	13	0	0	116	10
TMEM95	0	0	0	0	0	0	0	2
TNK1	49	18	16	7	4	0	85	16
PLSCR3	3	42	0	24	2	1	0	39
TMEM256	3264	1047	538	1098	115	38	6549	736
NLGN2	113	71	14	51	3	1	208	44
SPEM1	0	0	0	0	0	0	0	0
SPEM2	0	0	1	0	0	0	1	0
SPEM3	0	0	0	0	0	0	0	0
TMEM102	98	9	77	19	1	0	150	12
FGF11	107	8	56	13	1	1	159	19
CHRNB1	95	26	107	25	2	1	197	22
ZBTB4	142	67	81	73	3	3	251	57
SLC35G6	2	0	0	1	0	0	4	2
POLR2A	1272	354	374	289	41	21	1847	290
TNFSF12	214	57	31	97	11	1	482	17
TNFSF13	0	6	0	9	0	0	0	11
SENP3	42	59	15	29	2	2	111	40
EIF4A1	4220	4239	1003	3403	390	189	5880	4017
CD68	53	10	12	10	1	0	70	8
MPDU1	826	178	239	129	19	12	1097	147
SOX15	114	28	188	5	4	2	261	37
FXR2	391	57	88	51	6	1	519	52
SHBG	78	17	3	31	4	0	203	19
SAT2	2824	670	724	785	69	20	5840	564
ATP1B2	46	7	10	7	1	0	92	12
TP53	495	103	125	78	7	9	908	127
WRAP53	288	35	60	40	3	3	403	39
EFNB3	125	30	61	17	1	1	213	22
DNAH2	10	7	0	5	0	0	7	5
KDM6B	752	127	183	118	11	4	1145	120
TMEM88	397	104	39	168	24	7	929	47
NAA38	1732	515	464	350	32	19	2969	357
CYB5D1	76	21	12	26	2	2	143	18
CHD3	370	70	135	64	8	2	490	72
RNF227	21	3	8	3	0	1	44	6
KCNAB3	19	2	1	2	2	0	24	1
TRAPPC1	2976	656	1233	666	75	27	5017	484
CNTROB	90	34	29	21	2	0	127	23
GUCY2D	20	23	2	18	0	1	45	10
ALOX15B	10	1	3	1	0	0	34	0
ALOX12B	2	2	1	1	0	0	1	2
ALOXE3	2	1	3	1	0	1	3	0
HES7	9	0	2	0	0	0	11	1
PER1	102	38	23	21	4	2	150	28
VAMP2	786	173	341	140	19	6	1524	115
TMEM107	418	119	104	79	11	7	625	105
BORCS6	160	33	49	52	3	1	340	35
AURKB	735	179	170	96	15	13	1155	126
CTC1	42	39	21	23	2	1	75	25
PFAS	229	76	43	53	7	3	348	55
SLC25A35	17	4	12	1	1	0	35	6
RANGRF	505	117	155	83	13	2	850	92
ARHGEF15	23	1	0	7	0	0	29	7
ODF4	0	0	0	0	0	0	0	0
KRBA2	52	46	13	26	6	3	55	38
RPL26	21741	17242	5012	14614	1715	775	39824	13968
RNF222	1	0	0	1	0	0	1	2
NDEL1	277	171	81	169	24	7	444	147
MYH10	2395	1132	486	928	101	52	3913	876
CCDC42	3	0	0	0	0	0	2	0
SPDYE4	0	0	0	0	0	0	0	1
MFSD6L	18	4	25	3	2	1	31	10
PIK3R6	2	6	0	1	0	0	3	6
PIK3R5	237	8	3	20	1	1	125	28
NTN1	127	246	18	151	20	18	46	442
STX8	779	538	276	483	34	23	1467	442
CFAP52	2	3	0	2	0	1	1	2
USP43	35	47	39	27	1	3	56	69
DHRS7C	4	0	0	1	0	0	2	0
GSG1L2	0	1	0	0	0	0	0	1
GLP2R	2	0	0	1	0	0	0	0
RCVRN	0	0	0	0	0	0	0	0
GAS7	48	32	50	41	1	3	64	16
MYH13	0	1	0	0	0	0	0	0
MYH8	0	0	0	0	0	0	0	0
MYH4	2	2	0	0	0	0	5	0
MYH1	0	0	0	0	0	0	0	1
MYH2	0	0	0	0	0	0	0	0
MYH3	5	3	5	6	0	0	7	4
SCO1	1072	291	209	260	31	13	1842	220
ADPRM	91	30	25	25	3	1	161	22
TMEM220	114	45	36	31	3	0	354	47
TMEM238L	1	2	0	0	0	1	3	0
PIRT	0	1	0	2	0	0	0	1
SHISA6	133	522	4	354	25	20	139	482
DNAH9	17	18	1	33	1	1	10	28
ZNF18	100	32	17	35	4	0	136	32
MAP2K4	396	698	91	672	81	21	800	511
MYOCD	17	13	2	10	4	2	9	7
ARHGAP44	94	235	28	183	22	12	176	185
ELAC2	465	104	145	84	15	4	710	77
HS3ST3A1	65	158	8	251	15	10	138	109
COX10	180	121	63	117	7	8	336	124
CDRT15	0	0	0	0	0	0	0	0
HS3ST3B1	37	20	3	19	2	3	85	26
PMP22	346	30	13	72	4	1	217	24
TEKT3	3	1	3	1	0	1	8	3
CDRT4	6	130	1	126	9	6	9	196
TVP23C	119	285	13	219	15	16	159	372
CDRT1	0	2	2	0	0	0	0	1
TRIM16	233	120	296	84	8	6	417	81
ZNF286A	125	197	49	129	21	12	214	146
TBC1D26	0	1	0	0	1	0	0	2
ADORA2B	37	7	38	11	0	0	45	8
ZSWIM7	1027	485	327	253	36	25	1784	404
TTC19	983	437	252	347	29	15	1865	309
NCOR1	1967	1005	508	870	84	36	3478	766
PIGL	216	308	48	224	12	15	371	266
CENPV	5218	1240	200	738	118	46	9660	1080
UBB	14040	3312	2513	3047	329	130	21228	2654
TRPV2	28	7	13	6	0	0	32	2
LRRC75A	1361	166	225	137	16	5	2328	196
ZNF287	61	23	15	8	2	0	124	26
ZNF624	42	20	12	21	3	1	59	21
CCDC144A	3	5	0	6	0	0	2	6
TNFRSF13B	3	0	0	0	0	0	6	2
MPRIP	524	194	205	174	18	16	855	155
PLD6	3	2	1	1	0	0	12	0
FLCN	158	29	63	53	5	2	266	39
COPS3	1211	273	357	206	33	14	1843	230
NT5M	86	16	24	9	2	1	103	17
MED9	183	56	50	52	10	1	345	43
RASD1	356	72	6	138	4	0	670	28
PEMT	491	181	100	153	25	11	980	131
RAI1	203	198	47	126	14	12	302	167
SREBF1	263	64	51	42	5	2	400	41
TOM1L2	72	112	71	135	11	8	123	75
DRC3	25	10	5	9	0	0	41	16
ATPAF2	353	77	100	60	5	9	486	98
GID4	188	59	62	41	6	2	298	33
DRG2	509	136	159	110	7	4	804	113
MYO15A	17	7	2	3	1	1	32	7
ALKBH5	787	133	226	176	18	10	1482	149
LLGL1	232	61	23	36	1	0	157	37
FLII	750	132	231	106	11	4	1095	86
MIEF2	165	50	77	31	1	3	328	25
TOP3A	261	119	70	97	10	8	356	66
SMCR8	107	24	44	29	1	0	174	18
SHMT1	440	197	75	122	8	4	645	89
EVPLL	0	1	1	0	0	0	0	0
LGALS9C	0	1	0	0	0	0	0	0
TBC1D28	0	0	0	0	0	0	0	0
FOXO3B	51	26	9	16	4	2	95	25
TRIM16L	43	21	25	10	0	0	90	13
FBXW10	0	1	0	0	0	0	0	0
TVP23B	194	141	61	138	14	3	406	72
PRPSAP2	719	271	114	236	29	13	1211	209
SLC5A10	3	9	0	9	0	0	1	18
FAM83G	108	21	21	30	2	1	135	22
GRAP	3	0	0	3	0	0	5	0
GRAPL	0	0	0	1	0	0	0	0
EPN2	356	309	130	216	37	11	724	252
B9D1	323	102	103	108	5	1	483	85
MAPK7	287	48	51	58	5	2	483	46
MFAP4	42	5	7	20	6	1	76	22
RNF112	7	0	1	2	1	0	16	2
SLC47A1	47	7	0	10	2	0	33	7
ALDH3A2	565	102	203	195	12	7	1085	127
SLC47A2	2	2	0	1	0	0	4	2
ALDH3A1	5	1	0	0	0	0	14	0
ULK2	120	86	24	43	7	0	174	54
AKAP10	163	229	59	165	28	17	287	163
SPECC1	420	194	220	176	23	11	648	153
LGALS9B	0	0	0	0	0	0	0	0
CDRT15L2	0	0	0	0	0	0	0	0
CCDC144NL	1	27	0	25	3	3	0	39
USP22	1702	629	367	610	84	42	2619	549
DHRS7B	512	267	156	314	32	10	935	256
TMEM11	986	201	301	187	28	11	1545	175
NATD1	52	15	31	18	2	1	97	9
MAP2K3	404	116	76	79	9	1	763	98
KCNJ12	29	27	12	17	2	0	130	17
KCNJ18	0	0	0	0	0	0	0	0
MTRNR2L1	5	2	0	88	0	1	13	1
WSB1	2561	902	1067	725	77	64	4955	664
KSR1	90	102	74	121	7	7	134	65
LGALS9	2	4	4	5	0	1	5	1
NOS2	9	2	5	3	0	2	15	1
LYRM9	122	35	32	9	2	2	178	21
NLK	197	500	58	467	56	29	374	409
TMEM97	1410	310	295	284	43	17	2929	246
IFT20	988	310	326	292	30	14	1858	207
TNFAIP1	275	65	131	82	6	2	397	55
POLDIP2	1080	220	276	187	20	11	1757	170
TMEM199	574	111	184	114	8	2	874	97
SEBOX	0	1	0	0	0	0	0	0
SARM1	22	29	6	71	4	2	54	29
VTN	3381	1368	4	1515	133	17	5183	647
SLC46A1	77	27	40	44	3	0	175	11
AC005726.1	30	36	5	27	4	1	51	43
SLC13A2	16	7	0	7	0	0	35	6
FOXN1	0	0	0	0	0	0	0	0
UNC119	782	153	156	126	21	11	1473	152
PIGS	277	85	105	40	6	3	396	50
ALDOC	295	82	17	81	9	0	733	62
SPAG5	440	94	70	57	4	5	785	38
RSKR	89	16	12	8	1	0	133	16
KIAA0100	379	146	92	125	6	7	698	131
SDF2	940	240	349	234	31	8	1576	175
SUPT6H	739	238	210	214	29	17	1280	178
PROCA1	176	47	20	24	2	1	257	24
RAB34	2021	431	596	360	44	20	3598	332
RPL23A	26107	9323	5357	7580	880	436	47609	7683
TLCD1	309	52	87	53	7	2	645	38
NEK8	141	31	41	23	6	1	238	27
TRAF4	1753	223	566	296	37	11	2872	272
FAM222B	571	434	172	354	45	20	1001	395
ERAL1	598	128	160	90	12	3	977	112
FLOT2	685	197	169	141	12	9	927	122
DHRS13	234	51	41	34	5	2	371	35
PHF12	251	95	70	70	16	3	424	96
PIPOX	20	5	6	11	0	2	52	9
SEZ6	2	4	2	3	0	0	3	0
MYO18A	80	90	21	88	13	2	177	64
TIAF1	6	1	2	2	0	0	10	1
CRYBA1	29	4	5	5	0	0	70	4
NUFIP2	994	477	270	452	39	21	1833	453
TAOK1	885	627	192	551	68	29	1512	503
ABHD15	68	20	14	19	1	0	140	4
TP53I13	864	156	187	175	18	6	1516	137
GIT1	288	67	69	58	4	3	538	56
ANKRD13B	10	3	7	5	0	0	26	2
CORO6	3	1	2	0	0	0	3	0
SSH2	230	541	95	620	71	26	329	394
EFCAB5	4	8	0	9	0	0	5	5
NSRP1	1023	549	261	406	42	34	1662	349
SLC6A4	20	7	17	12	0	0	36	10
BLMH	888	184	164	162	12	5	1247	156
TMIGD1	0	0	0	0	0	0	0	0
CPD	425	235	78	235	21	10	801	197
GOSR1	1115	402	270	386	32	15	1866	366
CRLF3	184	261	37	190	20	12	388	169
ATAD5	545	185	105	155	23	19	988	144
TEFM	332	147	85	103	14	4	577	92
ADAP2	10	20	5	11	0	0	40	7
RNF135	194	67	43	62	5	8	368	59
NF1	685	1193	198	906	105	51	1299	888
OMG	0	42	0	32	6	1	2	24
EVI2B	0	7	0	10	1	0	0	16
EVI2A	1	3	0	4	0	0	0	2
RAB11FIP4	427	128	165	141	14	7	834	68
COPRS	1650	350	461	365	37	13	2812	250
UTP6	876	237	214	212	31	8	1366	203
SUZ12	873	330	225	288	38	20	1525	270
LRRC37B	146	51	25	38	3	1	151	62
RHOT1	430	250	112	171	21	10	823	229
RHBDL3	15	9	5	13	1	0	45	6
C17orf75	544	165	156	71	14	8	925	112
ZNF207	2380	662	517	558	62	33	4095	547
PSMD11	2745	574	831	547	49	37	4507	470
CDK5R1	80	13	16	10	1	2	129	7
MYO1D	131	457	54	427	45	16	193	514
TMEM98	2302	455	236	443	53	21	4240	406
SPACA3	2	0	0	2	0	0	3	0
ASIC2	5	10	0	72	1	0	5	15
CCL2	136	8	62	12	0	0	117	51
CCL7	0	0	0	0	0	0	0	0
CCL11	0	0	0	0	0	0	0	0
CCL8	0	0	0	0	0	0	0	0
CCL13	0	0	1	0	0	0	1	0
CCL1	0	0	0	0	0	0	0	0
TMEM132E	3	0	6	0	0	0	6	0
CCT6B	70	51	17	27	7	3	106	21
ZNF830	541	106	112	113	16	5	867	91
LIG3	557	183	96	122	13	12	1108	122
RFFL	227	339	34	304	33	9	391	286
RAD51D	261	80	55	61	7	2	420	67
FNDC8	0	0	0	0	0	0	0	1
NLE1	211	40	59	38	6	2	346	39
UNC45B	0	1	0	0	0	0	0	0
SLC35G3	1	0	0	0	0	0	1	0
SLFN5	133	25	136	19	3	2	175	36
SLFN11	6	0	6	0	0	0	4	0
SLFN12	24	2	56	12	0	0	72	5
SLFN13	154	3	22	13	1	2	181	9
SLFN12L	0	0	0	0	0	0	0	1
SLFN14	0	0	0	0	0	0	0	0
PEX12	35	9	23	8	0	0	50	9
AP2B1	1125	472	302	435	44	25	1766	329
TAF15	565	1077	123	750	76	47	1059	804
RASL10B	149	33	14	32	8	0	298	21
GAS2L2	1	1	0	0	0	0	0	0
MMP28	1	1	5	3	1	0	0	1
C17orf50	6	0	2	2	0	0	2	1
HEATR9	0	0	0	0	0	0	0	1
CCL5	0	0	0	1	0	0	0	1
RDM1	32	42	8	13	0	1	21	7
LYZL6	0	0	0	0	0	0	0	0
CCL16	0	0	0	0	0	0	0	0
CCL14	0	2	0	0	0	0	0	5
CCL15	0	35	0	12	2	0	0	9
CCL23	0	0	0	0	0	0	0	0
CCL18	0	0	0	0	0	0	0	1
CCL3	0	0	0	0	0	0	0	0
CCL4	0	0	0	0	0	0	0	0
TBC1D3B	0	0	0	0	0	0	0	0
CCL3L1	0	1	0	0	0	0	0	1
CCL4L2	0	0	1	0	0	0	0	0
TBC1D3I	0	0	0	0	0	0	0	0
TBC1D3G	0	0	0	0	0	0	0	0
TBC1D3H	0	0	0	0	0	0	0	0
TBC1D3F	0	0	0	0	0	0	0	0
ZNHIT3	10	420	2	385	38	17	7	276
MYO19	6	193	3	171	28	9	14	171
PIGW	0	35	0	23	2	2	2	16
GGNBP2	592	437	148	397	45	15	998	370
DHRS11	12	232	5	209	18	11	28	121
MRM1	0	20	1	9	3	0	1	19
LHX1	38	42	0	25	5	1	31	184
AATF	684	313	138	275	33	13	917	333
ACACA	56	650	7	464	89	32	92	455
C17orf78	0	3	0	5	0	0	0	3
TADA2A	97	117	8	116	17	6	170	116
DUSP14	0	153	0	119	18	3	0	141
SYNRG	192	258	41	211	23	10	358	200
DDX52	432	587	81	435	55	25	644	441
HNF1B	22	396	0	293	47	4	59	312
TBC1D3K	0	0	0	0	0	0	0	0
TBC1D3L	0	2	0	0	1	0	0	0
TBC1D3D	0	0	1	0	0	0	0	1
TBC1D3C	0	0	0	0	0	0	0	0
TBC1D3E	0	0	0	0	0	0	0	0
TBC1D3	0	0	0	0	0	0	0	0
MRPL45	75	228	12	150	21	12	93	175
GPR179	0	0	0	0	0	0	0	1
SOCS7	6	110	3	80	9	3	23	81
ARHGAP23	3	3	4	8	0	0	2	5
SRCIN1	2	35	0	14	2	2	3	14
EPOP	0	42	0	37	4	1	0	35
MLLT6	3	52	1	40	7	4	3	66
CISD3	47	227	10	124	14	3	102	112
PCGF2	20	149	3	125	18	9	36	125
PSMB3	4283	1167	1058	1108	120	57	7050	915
PIP4K2B	10	86	2	84	10	8	16	84
CWC25	98	89	37	86	12	3	165	66
C17orf98	0	0	0	0	0	0	0	1
RPL23	38276	7831	8533	7002	766	422	83732	6588
LASP1	637	179	270	255	13	6	1119	198
LINC00672	30	8	22	6	0	0	81	10
FBXO47	0	0	0	0	0	0	0	0
PLXDC1	16	8	3	4	0	0	29	0
ARL5C	0	1	0	0	0	0	0	1
CACNB1	15	4	3	4	1	1	22	1
RPL19	59055	13846	15270	10983	1339	628	106266	10899
STAC2	0	0	3	1	0	0	1	3
FBXL20	180	315	52	221	27	16	303	218
MED1	551	218	137	149	22	11	877	156
CDK12	860	373	213	317	35	23	1426	345
NEUROD2	0	0	0	0	0	0	2	0
PPP1R1B	5	0	5	0	1	0	10	0
STARD3	366	85	128	82	9	5	714	71
TCAP	5	1	1	2	1	0	21	1
PNMT	5	2	64	2	0	0	9	1
PGAP3	69	36	34	16	5	1	156	19
ERBB2	412	157	200	80	16	8	855	93
MIEN1	1492	298	605	236	32	12	2350	252
GRB7	249	49	79	75	18	3	593	59
IKZF3	3	0	4	0	0	0	6	1
ZPBP2	0	0	0	0	0	0	0	0
GSDMB	27	34	8	22	4	4	60	25
ORMDL3	248	79	78	48	7	8	479	55
LRRC3C	0	0	0	0	0	0	0	0
GSDMA	0	1	1	1	0	0	0	1
PSMD3	1707	284	506	329	38	24	2739	267
CSF3	0	0	0	0	0	0	0	0
MED24	445	88	110	83	15	5	613	80
THRA	151	38	22	48	5	0	269	34
NR1D1	15	4	14	4	0	0	40	4
MSL1	585	148	123	106	16	6	1036	112
CASC3	580	193	119	151	12	7	1061	155
RAPGEFL1	28	22	3	14	2	0	84	17
WIPF2	391	168	132	165	18	7	694	177
CDC6	431	108	105	65	13	7	701	97
RARA	168	62	34	39	3	0	304	34
GJD3	2	0	0	0	0	0	1	0
TOP2A	3097	975	439	507	56	40	4879	592
IGFBP4	370	119	87	168	10	5	512	101
TNS4	4	2	1	0	1	0	0	1
CCR7	1	0	7	1	0	0	12	0
SMARCE1	766	787	143	514	79	36	1411	541
KRT222	36	25	1	30	4	1	99	19
KRT24	0	0	2	0	0	0	4	0
KRT25	0	0	0	0	0	0	0	0
KRT26	0	0	0	0	0	0	0	0
KRT27	1	0	0	0	0	0	0	0
KRT28	0	0	0	0	0	0	0	0
KRT10	2869	756	1089	846	126	31	6445	588
KRT12	0	0	0	0	0	0	0	0
KRT20	0	12	0	0	0	0	0	0
KRT23	17	8	18	37	1	0	67	2
KRT39	0	0	0	0	0	0	0	0
KRT40	0	0	0	0	0	0	0	0
KRTAP3-3	0	0	0	0	0	0	0	0
KRTAP3-2	0	0	0	0	0	0	0	0
KRTAP3-1	0	1	0	0	0	0	0	0
KRTAP1-5	0	0	0	0	0	0	0	0
KRTAP1-4	0	0	0	0	0	0	0	0
KRTAP1-3	0	0	0	0	0	0	0	0
KRTAP1-1	0	0	0	0	0	0	0	0
KRTAP2-1	0	0	0	0	0	0	0	0
KRTAP2-2	0	0	0	0	0	0	0	0
KRTAP2-3	0	0	0	0	0	0	0	0
KRTAP2-4	0	0	0	0	0	0	0	0
KRTAP4-7	0	0	0	0	0	0	0	0
KRTAP4-8	0	0	0	0	0	0	0	0
KRTAP4-16	0	0	0	0	0	0	0	0
KRTAP4-9	0	0	0	0	0	0	0	0
KRTAP4-11	0	0	0	0	0	0	0	0
KRTAP4-12	0	0	0	0	0	0	0	0
KRTAP4-6	0	0	0	0	0	0	0	0
KRTAP4-5	0	0	0	0	0	0	0	0
KRTAP4-4	0	0	0	0	0	0	0	0
KRTAP4-3	0	0	0	0	0	0	0	0
KRTAP4-2	0	0	0	0	0	0	0	0
KRTAP4-1	0	0	0	0	0	0	0	0
KRTAP9-1	0	0	0	0	0	0	0	0
KRTAP9-2	0	0	0	0	0	0	0	0
KRTAP9-3	0	0	0	0	0	0	0	0
KRTAP9-8	0	0	0	0	0	0	0	0
KRTAP9-4	0	0	0	0	0	0	0	0
KRTAP9-9	0	0	0	0	0	0	0	0
KRTAP9-6	0	0	0	0	0	0	0	0
KRTAP9-7	0	0	0	0	0	0	0	0
KRTAP29-1	0	0	0	0	0	0	0	0
KRTAP16-1	0	0	0	0	0	0	0	0
KRTAP17-1	0	0	0	0	0	0	0	0
KRT33A	0	0	0	0	0	0	0	0
KRT33B	0	0	0	0	0	0	0	0
KRT34	0	0	0	0	0	0	0	0
KRT31	0	0	0	0	0	0	0	0
KRT37	0	0	0	0	0	0	0	0
KRT38	0	0	0	0	0	0	0	0
KRT32	0	0	0	0	0	0	0	0
KRT35	0	0	0	0	0	0	0	0
KRT36	0	0	0	0	0	0	0	0
KRT13	2	0	1	0	0	0	0	0
KRT15	4	3	15	4	1	0	15	13
KRT19	29256	7534	10776	7092	691	299	59697	7023
KRT9	1	0	1	0	0	0	0	0
KRT14	0	0	1	0	0	0	0	0
KRT16	140	0	29	0	0	0	36	0
KRT17	282	0	2447	0	0	0	19	0
EIF1	19514	4008	6821	4233	488	189	35588	3752
GAST	1	0	3	0	0	0	3	0
HAP1	16	4	9	2	1	0	47	6
JUP	1024	315	779	233	22	18	1640	214
P3H4	677	216	128	146	16	4	1033	154
FKBP10	1544	515	279	382	49	19	2500	330
NT5C3B	1487	347	322	210	31	18	2520	252
KLHL10	2	0	0	1	0	0	4	0
KLHL11	58	35	12	20	1	4	155	18
ACLY	1530	469	201	479	57	13	2983	327
TTC25	35	24	5	10	2	3	46	16
CNP	758	111	219	79	9	3	1117	99
DNAJC7	2205	586	544	532	65	38	3811	454
NKIRAS2	577	94	230	74	12	7	881	85
ZNF385C	33	11	9	7	1	1	97	6
C17orf113	18	6	8	2	1	0	43	1
DHX58	3	0	1	0	0	0	3	2
KAT2A	192	23	43	15	3	1	312	20
HSPB9	1	0	1	0	0	0	1	2
RAB5C	2005	510	806	550	47	15	3565	367
KCNH4	0	0	1	2	0	0	0	0
HCRT	5	1	1	0	0	0	8	1
GHDC	132	19	32	22	4	2	207	20
STAT5B	145	186	37	154	10	13	244	134
STAT5A	4	2	6	2	0	0	20	6
STAT3	206	78	145	63	5	5	355	56
CAVIN1	31	4	326	2	0	0	100	1
ATP6V0A1	379	170	129	166	15	3	791	125
NAGLU	306	103	88	70	15	4	436	66
HSD17B1	93	36	17	38	4	1	143	16
COASY	627	139	192	126	12	6	1062	147
MLX	623	142	143	150	15	5	1101	114
PSMC3IP	385	68	59	27	9	2	614	42
RETREG3	205	77	70	66	6	6	344	73
TUBG1	1293	288	317	207	25	7	2173	222
TUBG2	126	63	24	34	8	4	252	68
PLEKHH3	274	39	151	53	1	2	483	44
CCR10	23	5	18	2	1	0	44	4
