mesoderm_NA18511	mesoderm_NA18856	mesoderm_NA18858	mesoderm_NA18912	mesoderm_NA19140	mesoderm_NA19159	mesoderm_NA19160	mesoderm_NA19210
MCRIP1	2132	209	147	858	115	97	4467	33
PPP1R27	4	0	0	2	0	0	9	0
P4HB	6496	361	395	1662	257	279	10645	88
ARHGDIA	2418	193	190	718	153	110	4380	39
ALYREF	2416	278	227	894	191	136	4849	52
ANAPC11	5026	672	403	2576	458	345	10775	106
NPB	97	8	7	21	2	4	148	1
PCYT2	575	58	42	208	46	26	1048	9
SIRT7	199	17	14	102	10	12	434	6
MAFG	405	29	56	186	20	25	733	10
PYCR1	1019	97	89	346	42	41	2215	21
MYADML2	0	1	0	1	0	0	0	0
NOTUM	48	9	2	20	0	2	133	0
ASPSCR1	669	84	59	352	72	46	1402	11
CENPX	2096	287	171	1011	178	146	4183	52
LRRC45	145	14	15	40	10	8	343	0
RAC3	1445	189	144	477	131	81	2982	37
DCXR	2150	245	128	637	139	103	3615	29
RFNG	560	41	45	141	14	24	1088	14
GPS1	1180	95	104	429	62	45	2096	18
DUS1L	1142	79	74	382	75	49	1947	11
FASN	1478	177	95	591	111	74	2819	24
CCDC57	280	98	6	698	117	75	493	12
SLC16A3	3453	129	73	700	105	179	6735	21
CSNK1D	1142	120	77	617	117	79	2068	29
CD7	55	0	9	24	1	1	133	0
SECTM1	9	0	1	0	0	0	15	0
TEX19	4	0	2	2	0	0	6	0
UTS2R	0	0	1	0	0	0	0	0
OGFOD3	377	54	16	160	29	21	764	13
HEXD	333	42	24	208	34	24	670	4
CYBC1	500	50	34	222	39	30	1012	6
NARF	1056	139	59	560	94	76	2736	44
FOXK2	582	154	38	743	114	96	1076	24
WDR45B	819	94	71	454	67	53	1939	19
RAB40B	162	12	10	89	16	7	316	1
FN3KRP	408	51	31	228	33	33	1024	10
FN3K	53	9	9	27	5	11	144	0
TBCD	229	101	27	464	102	63	447	28
ZNF750	0	0	0	4	1	0	2	0
B3GNTL1	61	23	6	92	13	13	71	4
METRNL	10	33	1	132	35	30	22	9
TUBB8P12	3	0	1	0	0	0	5	0
USP14	1887	317	122	1476	257	165	3579	51
THOC1	631	170	34	760	168	95	1359	21
COLEC12	3558	686	57	4960	705	491	5799	160
CETN1	0	0	0	0	0	0	0	0
CLUL1	12	6	0	11	1	2	36	0
TYMS	2991	383	142	1367	298	212	6247	90
ENOSF1	522	212	19	617	135	99	1130	30
YES1	701	218	50	1003	170	104	1325	27
ADCYAP1	3	1	0	5	1	0	9	1
METTL4	170	43	4	165	26	24	326	9
NDC80	748	194	78	582	143	95	1741	33
SMCHD1	1017	273	49	1243	211	176	1858	63
EMILIN2	243	13	21	233	24	12	404	1
LPIN2	417	95	25	484	66	56	866	22
MYOM1	3	3	1	17	5	2	10	2
MYL12A	6400	568	478	3146	437	303	12476	79
MYL12B	6273	488	517	2528	406	367	11549	88
IGLJCOR18	0	0	0	0	0	0	0	0
TGIF1	1062	111	100	649	69	63	2310	28
DLGAP1	72	375	4	2553	487	806	146	57
AKAIN1	1	0	0	2	0	0	6	1
ZBTB14	119	13	5	71	12	12	259	4
EPB41L3	298	138	16	724	60	31	733	57
TMEM200C	34	10	0	34	7	4	142	1
L3MBTL4	5	14	0	114	8	7	20	1
ARHGAP28	1027	569	9	3400	435	267	2332	79
LAMA1	624	193	27	939	163	89	936	40
LRRC30	0	0	0	0	0	0	0	0
PTPRM	126	218	4	1541	177	178	263	60
RAB12	84	69	5	339	48	40	165	14
MTCL1	32	36	4	121	22	14	92	6
NDUFV2	4190	562	448	2478	385	266	8481	92
ANKRD12	1137	287	70	1221	173	151	2511	59
TWSG1	419	125	27	519	78	63	829	22
RALBP1	1425	246	111	1000	149	121	2915	36
PPP4R1	567	146	36	761	134	89	926	25
RAB31	1125	149	40	837	211	144	1460	23
TXNDC2	2	0	0	3	0	0	1	0
VAPA	2896	391	199	2048	367	241	5365	76
APCDD1	404	59	5	236	62	35	860	7
NAPG	484	90	42	493	83	70	920	19
PIEZO2	59	84	3	298	110	51	135	15
SLC35G4	0	0	0	0	0	0	0	0
GNAL	151	87	11	315	84	45	363	14
CHMP1B	578	72	42	307	33	40	1196	13
MPPE1	211	37	12	147	34	11	525	5
IMPA2	504	141	75	358	83	53	1266	25
ANKRD62	0	0	0	0	0	0	0	0
CIDEA	4	1	0	2	0	0	3	0
TUBB6	2418	288	123	1513	273	169	4228	56
AFG3L2	913	112	89	601	74	64	1711	18
PRELID3A	40	20	1	58	10	9	99	3
SPIRE1	243	115	8	504	101	82	345	21
PSMG2	1839	246	143	1062	171	124	3639	35
CEP76	126	35	5	129	36	17	253	11
PTPN2	817	161	61	790	123	85	1580	27
SEH1L	325	71	26	322	57	50	634	16
CEP192	283	208	15	720	148	91	565	37
LDLRAD4	18	40	0	160	31	11	59	10
FAM210A	371	68	34	256	57	23	847	8
RNMT	1180	202	85	957	156	116	2766	30
MC5R	0	0	0	0	0	0	0	0
MC2R	0	0	0	1	0	0	0	0
ZNF519	257	154	10	511	112	81	651	24
POTEC	17	9	0	10	0	9	39	0
ANKRD30B	1	4	0	10	1	4	0	1
ROCK1	1542	338	93	1418	320	210	3436	75
GREB1L	268	700	10	3913	626	381	572	99
ESCO1	473	148	37	526	88	60	1031	16
SNRPD1	7519	1038	585	3795	764	544	14858	144
ABHD3	157	72	5	279	70	52	305	14
MIB1	690	310	36	1239	197	147	1271	65
GATA6	1639	229	38	1943	267	141	3284	53
CTAGE1	1	0	0	0	0	1	0	0
RBBP8	339	101	22	408	78	56	821	17
CABLES1	26	21	9	78	8	9	53	3
TMEM241	68	64	6	304	38	46	163	3
RIOK3	559	119	28	495	66	68	1189	16
RMC1	90	18	15	117	20	12	215	4
NPC1	170	63	14	320	54	31	324	16
ANKRD29	4	0	7	4	1	0	11	1
LAMA3	1	1	1	7	2	3	0	0
TTC39C	64	76	23	149	42	17	161	4
CABYR	64	6	11	61	14	1	168	4
OSBPL1A	813	265	53	1052	255	140	2078	36
IMPACT	546	80	31	284	68	50	1019	10
HRH4	1	0	0	2	0	0	1	0
ZNF521	368	433	22	1580	296	177	986	84
SS18	934	206	57	779	143	119	1871	24
PSMA8	1	0	0	1	0	0	0	0
TAF4B	41	42	8	205	38	20	103	11
KCTD1	196	170	13	508	172	102	545	30
AQP4	23	1	6	3	1	4	21	0
CHST9	278	61	30	432	93	94	303	32
CDH2	719	478	78	1761	340	194	1757	85
DSC3	706	35	16	395	56	73	878	22
DSC2	1767	194	81	1015	142	149	2539	30
DSC1	0	0	0	0	0	0	1	0
DSG1	1	0	0	0	0	0	0	0
DSG4	11	4	1	3	0	0	10	0
DSG3	1	0	0	0	1	2	4	0
DSG2	2377	253	135	1137	163	179	3835	35
TTR	143	38	9	174	17	23	386	3
B4GALT6	121	62	6	282	50	26	270	12
SLC25A52	0	0	0	0	0	0	0	0
TRAPPC8	273	115	24	544	103	52	488	18
RNF125	53	21	16	91	25	8	115	3
RNF138	295	111	32	427	58	50	639	28
GAREM1	69	103	3	370	65	31	181	8
MEP1B	0	0	0	5	1	0	1	0
KLHL14	15	44	0	72	4	10	50	1
CCDC178	107	41	1	364	63	57	152	13
ASXL3	567	148	9	1570	199	147	687	43
NOL4	14	1	2	23	0	4	67	0
DTNA	21	31	19	163	12	28	76	2
MAPRE2	316	83	29	389	71	48	608	15
ZNF397	425	60	27	201	37	25	853	3
ZSCAN30	161	24	8	118	33	19	326	1
ZNF24	1075	121	65	600	99	80	1998	20
ZNF396	31	0	0	12	3	2	56	0
INO80C	648	88	54	383	63	38	1222	14
GALNT1	2797	442	88	1833	292	257	3910	54
C18orf21	599	75	66	272	51	39	1210	10
RPRD1A	594	165	53	858	114	112	1256	37
SLC39A6	956	92	43	367	73	68	1821	22
ELP2	633	131	47	574	111	82	1577	21
MOCOS	26	6	0	13	3	1	31	1
FHOD3	44	83	8	559	51	27	87	22
TPGS2	1656	251	123	998	193	112	3711	32
KIAA1328	158	196	11	872	168	114	362	36
CELF4	18	2	3	28	4	5	98	0
PIK3C3	367	86	16	573	92	57	675	18
RIT2	2	2	3	5	0	0	24	1
SYT4	21	3	0	19	1	0	31	3
SETBP1	274	403	10	2676	393	186	660	61
SLC14A2	3	7	0	29	5	4	10	0
SLC14A1	12	1	0	3	0	2	10	0
SIGLEC15	14	0	1	4	1	0	29	0
EPG5	127	62	12	298	65	38	237	10
PSTPIP2	150	71	8	294	42	27	289	10
ATP5F1A	7955	738	597	3263	618	452	15315	129
HAUS1	1418	215	86	837	156	102	2650	30
C18orf25	177	78	17	297	59	41	322	12
RNF165	45	34	0	83	30	18	191	5
LOXHD1	1	0	0	7	0	0	2	0
ST8SIA5	0	0	0	2	0	1	3	1
PIAS2	417	97	36	509	81	53	900	30
KATNAL2	64	35	8	162	19	16	129	3
ELOA3	0	0	0	0	0	0	0	0
ELOA3B	0	0	0	0	0	0	0	0
ELOA3D	0	0	0	0	0	0	0	0
ELOA2	0	0	0	1	0	0	0	0
HDHD2	380	134	31	443	104	51	827	24
IER3IP1	1204	196	68	922	142	125	2547	31
SKOR2	1	1	1	3	0	0	3	0
SMAD2	832	248	58	1554	266	220	1664	59
ZBTB7C	5	3	0	30	1	8	11	1
CTIF	109	56	5	440	55	38	171	14
SMAD7	385	59	32	386	59	42	743	15
DYM	380	215	35	963	195	119	855	30
C18orf32	92	174	6	629	83	95	212	25
RPL17	1794	7132	153	31753	4825	3623	3498	1127
LIPG	196	45	6	285	59	36	321	4
ACAA2	1976	282	155	944	199	134	3556	37
MYO5B	9	12	7	61	10	10	38	2
CFAP53	13	9	0	24	5	4	50	1
MBD1	422	42	26	228	38	31	730	5
CXXC1	557	33	40	186	47	18	1036	9
SKA1	39	44	0	217	40	36	58	4
MAPK4	36	49	3	190	37	23	145	16
MRO	10	0	2	8	1	0	15	0
ME2	563	130	46	421	90	83	1008	26
ELAC1	258	25	7	94	25	17	447	2
SMAD4	635	225	31	1064	192	119	1339	38
MEX3C	323	45	29	258	61	29	774	10
DCC	38	154	0	1626	111	36	114	154
MBD2	556	108	49	480	76	59	1156	8
POLI	230	55	21	241	50	26	461	12
STARD6	4	2	0	3	3	0	6	0
C18orf54	239	38	15	170	35	20	439	9
DYNAP	82	1	1	32	3	14	26	0
RAB27B	13	2	0	8	5	1	13	0
CCDC68	79	1	5	8	4	10	268	0
TCF4	3373	1362	164	6763	1018	663	6971	133
TXNL1	3327	376	265	1848	286	226	6778	36
WDR7	96	96	2	537	84	64	202	5
BOD1L2	0	0	0	0	0	0	1	0
ST8SIA3	5	1	1	4	2	0	4	0
ONECUT2	12	5	2	34	3	3	56	0
FECH	230	23	10	78	17	12	393	4
NARS	1439	175	180	815	114	90	2989	15
ATP8B1	4	35	3	171	26	20	18	1
NEDD4L	156	113	30	634	104	70	335	10
ALPK2	519	149	20	2382	223	71	966	11
MALT1	607	171	27	1575	185	98	1125	12
ZNF532	262	213	19	1194	198	128	562	12
SEC11C	644	49	99	260	62	28	1383	2
GRP	19	1	1	121	1	0	255	0
RAX	6	2	1	5	2	0	4	0
CPLX4	0	0	0	3	0	0	1	0
LMAN1	2803	417	193	1715	258	240	5508	27
CCBE1	416	347	17	1567	484	94	872	18
PMAIP1	103	37	138	168	25	12	286	4
MC4R	2	1	0	0	0	0	10	0
CDH20	4	16	2	227	10	25	8	7
RNF152	115	122	6	269	81	43	337	19
PIGN	163	77	15	371	60	43	310	17
RELCH	135	65	12	357	57	51	234	10
TNFRSF11A	11	7	6	51	9	0	33	1
ZCCHC2	118	35	10	109	21	18	222	9
PHLPP1	271	577	24	1535	300	258	503	45
BCL2	33	28	5	123	32	18	68	7
KDSR	581	86	55	393	65	37	1197	12
VPS4B	659	112	54	515	74	82	1192	19
SERPINB5	2	1	5	0	1	1	1	0
SERPINB12	0	0	0	0	0	0	0	0
SERPINB13	3	0	0	1	0	1	5	0
SERPINB4	6	0	0	0	0	0	5	0
SERPINB11	3	0	0	0	0	0	4	0
SERPINB3	6	0	0	1	0	0	1	0
SERPINB7	0	0	0	0	0	0	2	0
SERPINB2	7	0	0	14	1	0	7	0
SERPINB10	0	0	0	0	0	0	0	0
HMSD	12	5	0	7	1	3	66	0
SERPINB8	44	2	0	21	1	2	72	2
CDH7	37	46	8	55	12	18	241	0
CDH19	2	0	0	7	2	0	5	0
DSEL	0	29	1	176	18	17	10	14
TMX3	349	78	28	321	61	40	680	11
CCDC102B	90	45	3	258	39	19	270	5
DOK6	210	174	9	1665	325	151	472	57
CD226	9	1	0	27	1	0	28	1
RTTN	139	120	5	463	114	79	278	26
SOCS6	249	53	10	286	43	47	450	21
CBLN2	27	6	3	27	18	5	39	3
NETO1	11	5	1	20	4	3	39	0
FBXO15	13	3	0	15	3	3	38	1
TIMM21	306	42	27	201	36	18	659	6
CYB5A	14021	1111	274	5036	1363	768	26896	168
C18orf63	10	5	0	12	4	2	14	0
DIPK1C	4	1	0	10	1	1	3	0
CNDP2	782	93	54	303	54	37	1629	12
CNDP1	2	2	0	13	2	1	7	0
ZNF407	120	144	8	757	124	117	255	26
ZADH2	607	56	8	192	43	45	1024	4
TSHZ1	503	85	3	261	61	44	871	6
SMIM21	0	0	0	0	0	0	0	0
ZNF516	375	226	22	980	214	117	805	35
ZNF236	210	84	15	380	70	37	414	16
MBP	20	8	15	18	1	5	49	0
GALR1	0	1	0	0	0	0	0	0
SALL3	0	40	0	180	24	9	1	8
ATP9B	156	230	9	1098	217	151	271	38
NFATC1	196	29	16	134	21	9	292	6
CTDP1	204	31	17	126	17	21	373	7
KCNG2	16	8	0	5	4	0	25	0
SLC66A2	614	67	18	313	60	32	1138	8
HSBP1L1	607	15	6	60	15	31	1082	3
TXNL4A	3012	402	184	1266	224	186	5396	47
AC090360.1	38	2	1	20	4	0	75	0
RBFA	948	101	45	362	93	61	1635	15
ADNP2	655	190	34	993	188	110	1371	19
PARD6G	410	72	15	324	57	54	881	12
DEFB125	0	0	0	1	0	0	0	0
DEFB126	0	0	1	0	0	0	0	0
DEFB127	0	0	0	0	0	0	0	0
DEFB128	0	0	0	0	0	0	0	0
DEFB129	0	0	0	0	0	0	0	0
DEFB132	0	0	0	0	0	0	0	0
C20orf96	557	45	29	281	34	21	1097	10
ZCCHC3	1025	62	46	324	62	35	1891	13
SOX12	1065	76	46	328	73	51	2469	17
NRSN2	430	42	21	194	31	17	776	4
TRIB3	75	6	14	25	6	4	189	0
RBCK1	953	66	56	463	62	42	1718	15
TBC1D20	334	48	16	262	36	33	691	8
CSNK2A1	1777	314	125	1564	269	170	3659	44
TCF15	72	12	4	96	6	2	212	1
SRXN1	2	6	0	25	8	3	2	0
SCRT2	0	0	0	1	3	0	0	0
SLC52A3	6	0	1	5	0	0	14	0
FAM110A	139	16	17	114	9	5	394	5
ANGPT4	3	3	0	8	1	0	14	1
RSPO4	239	44	19	369	55	19	591	13
PSMF1	884	131	80	580	104	71	2099	22
TMEM74B	36	3	1	39	2	0	82	1
C20orf202	1	0	0	1	0	0	3	0
RAD21L1	0	2	1	19	2	1	2	1
SNPH	20	1	2	15	2	0	27	1
SDCBP2	50	9	5	24	3	4	92	3
FKBP1A	3607	418	244	1658	299	188	6986	43
NSFL1C	1184	90	98	597	113	78	2347	27
SIRPB2	0	0	0	0	0	0	0	0
SIRPD	0	0	0	0	0	0	0	0
SIRPB1	0	0	0	0	0	0	1	0
SIRPG	0	0	0	1	0	0	0	0
SIRPA	63	10	9	21	5	3	142	1
PDYN	0	0	0	4	0	0	4	0
STK35	173	36	10	176	22	19	287	14
TGM3	0	0	0	1	0	0	0	0
TGM6	0	0	0	1	0	0	0	0
SNRPB	7995	1017	829	3999	745	512	16647	186
ZNF343	21	6	1	36	8	7	55	1
TMC2	0	1	0	4	0	0	6	0
NOP56	2571	264	212	1067	210	150	5203	43
IDH3B	1222	98	99	509	93	64	2455	16
EBF4	75	20	7	66	22	13	126	6
CPXM1	1201	94	33	355	76	40	2202	19
C20orf141	1	0	0	0	0	0	0	0
TMEM239	0	0	0	0	0	0	0	0
PCED1A	224	37	15	97	19	15	539	4
VPS16	413	39	19	148	27	29	839	9
PTPRA	950	260	59	1054	221	156	1940	48
GNRH2	7	3	0	10	2	0	26	0
MRPS26	2573	325	259	1303	252	150	4824	57
OXT	4	0	1	5	0	1	11	0
AVP	7	0	2	3	0	1	17	0
UBOX5	77	24	5	87	19	8	104	3
FASTKD5	182	14	18	64	14	8	344	6
LZTS3	44	8	11	19	5	3	120	0
DDRGK1	723	66	68	348	52	36	1411	11
ITPA	1458	136	118	667	118	82	2154	30
SLC4A11	12	0	3	7	1	1	14	0
C20orf194	179	112	6	622	98	96	349	17
ATRN	220	119	14	621	97	62	450	22
GFRA4	0	0	0	0	0	0	0	0
ADAM33	148	7	2	75	10	8	289	1
SIGLEC1	0	0	0	0	0	0	0	0
HSPA12B	67	7	4	26	7	2	227	1
C20orf27	972	149	124	478	80	60	2003	14
SPEF1	3	0	0	0	0	0	19	1
CENPB	432	39	18	129	29	21	759	8
CDC25B	300	28	25	90	21	17	617	2
AP5S1	114	10	11	53	6	6	211	4
MAVS	350	36	31	168	40	18	650	6
PANK2	573	175	53	718	134	75	1044	38
RNF24	286	158	36	951	142	81	756	39
SMOX	185	18	19	123	12	6	386	5
ADRA1D	6	1	1	5	0	1	3	0
PRNP	417	31	38	266	32	21	838	4
PRND	0	0	0	0	0	0	1	0
RASSF2	7	6	3	4	2	5	28	0
SLC23A2	77	38	5	192	35	22	125	5
TMEM230	1890	278	146	1124	210	158	3792	46
PCNA	1905	219	132	786	171	115	3920	48
CDS2	404	56	41	335	44	43	760	13
PROKR2	0	0	0	0	0	0	0	0
GPCPD1	186	144	11	472	76	64	301	12
SHLD1	96	44	10	152	31	11	218	5
CHGB	125	2	2	9	1	4	121	0
TRMT6	469	43	48	270	59	21	986	9
MCM8	288	79	19	267	51	37	485	15
CRLS1	50	95	4	518	82	72	115	12
LRRN4	352	31	12	81	36	14	354	5
FERMT1	125	31	24	83	19	8	288	6
BMP2	991	53	39	412	60	68	1566	19
HAO1	0	0	0	0	0	0	0	0
TMX4	531	81	41	322	44	46	1027	19
PLCB1	298	521	11	3720	651	239	818	166
PLCB4	215	163	5	1280	200	253	345	17
LAMP5	5	5	1	4	2	0	26	0
PAK5	4	4	0	24	5	0	24	1
ANKEF1	25	9	4	36	11	1	75	1
SNAP25	43	23	1	80	19	15	100	3
MKKS	290	55	18	211	37	23	534	10
AL034430.1	0	0	0	0	0	0	0	0
AL034430.2	0	0	0	0	0	0	0	0
SLX4IP	147	82	15	431	83	67	339	14
JAG1	249	93	38	472	92	62	647	28
BTBD3	276	73	11	347	52	43	572	10
SPTLC3	82	5	3	83	19	22	175	1
ISM1	164	70	11	230	37	38	199	17
TASP1	167	169	17	786	144	110	330	26
ESF1	1250	220	107	922	131	131	2994	37
NDUFAF5	368	77	32	318	81	45	843	13
SEL1L2	0	0	0	10	0	0	1	0
MACROD2	40	107	2	953	91	80	106	36
FLRT3	864	61	25	581	47	64	1779	33
KIF16B	149	64	17	379	76	37	347	7
SNRPB2	3119	354	275	1758	304	215	6659	68
OTOR	0	0	0	3	0	0	89	0
PCSK2	4	0	0	24	3	2	12	1
BFSP1	51	9	5	45	5	3	91	4
DSTN	6851	702	499	3895	742	524	12876	119
RRBP1	3155	323	139	2001	284	282	5572	74
BANF2	0	0	0	1	0	0	0	0
SNX5	1475	252	137	811	179	126	3193	35
OVOL2	3	13	3	47	8	5	6	2
MGME1	500	103	56	489	105	74	1084	19
PET117	289	42	31	160	30	18	638	5
KAT14	146	29	5	123	22	10	331	6
ZNF133	73	63	2	260	38	43	191	4
DZANK1	80	31	4	114	30	24	156	4
POLR3F	273	46	14	231	29	30	507	8
RBBP9	183	22	9	56	20	20	341	5
SEC23B	429	57	40	249	42	27	861	10
SMIM26	2173	248	162	1016	198	122	4514	32
DTD1	760	115	75	667	185	78	1646	23
SCP2D1	0	0	0	0	0	0	0	0
SLC24A3	38	21	0	328	15	20	32	22
RIN2	272	89	12	537	74	49	516	19
NAA20	1516	136	86	682	115	78	2702	19
CRNKL1	460	54	21	279	51	47	981	13
CFAP61	3	3	0	21	4	3	2	0
INSM1	11	3	0	14	2	2	20	0
RALGAPA2	277	158	12	766	127	125	468	36
KIZ	356	60	42	354	54	45	760	11
XRN2	3147	545	271	2490	481	302	6846	113
NKX2-4	0	0	0	0	0	0	0	0
NKX2-2	1	2	0	2	0	0	0	0
PAX1	0	0	0	0	0	0	0	0
FOXA2	12	25	1	16	0	3	43	3
SSTR4	0	0	0	0	0	0	0	0
THBD	175	1	4	26	0	19	329	0
CD93	0	0	0	1	0	0	3	0
NXT1	863	92	63	377	77	52	1824	20
GZF1	166	28	4	117	18	13	312	4
NAPB	74	27	5	98	17	12	183	7
CSTL1	0	0	0	0	0	0	0	0
CST11	0	0	0	1	0	0	1	0
CST8	0	0	0	0	0	0	0	0
CST9L	1	1	0	1	0	0	1	0
CST9	0	0	0	0	0	0	0	0
CST3	6733	430	254	2775	236	329	11369	55
CST4	2	0	0	4	1	0	15	0
CST1	14	6	22	120	10	7	39	3
CST2	4	0	0	12	2	0	13	0
CST5	1	0	5	0	4	1	13	0
GGTLC1	0	0	0	0	0	0	0	0
SYNDIG1	35	54	0	369	25	2	77	12
CST7	0	0	0	1	0	0	0	0
APMAP	903	99	71	336	58	44	1907	12
ACSS1	2	1	1	2	0	0	10	0
VSX1	0	0	0	1	0	0	0	0
ENTPD6	208	19	16	76	15	6	434	1
PYGB	209	24	18	126	31	16	375	7
ABHD12	433	92	64	423	100	57	792	16
GINS1	330	118	31	486	88	71	666	19
NINL	259	193	18	1096	234	120	674	36
NANP	110	22	2	85	11	7	185	1
ZNF337	94	47	4	182	30	15	191	7
DEFB115	0	0	0	0	0	0	0	0
DEFB116	0	0	0	0	0	0	0	0
DEFB118	0	0	0	0	0	0	0	0
DEFB119	0	0	0	0	0	0	0	0
DEFB121	0	0	0	0	0	0	0	0
DEFB123	0	0	0	0	0	0	0	0
DEFB124	0	0	0	0	0	0	0	0
REM1	0	0	0	0	0	0	0	0
HM13	1618	171	150	830	167	105	2966	44
MCTS2P	0	0	0	0	0	0	0	0
ID1	1445	192	764	1565	209	129	6620	55
COX4I2	46	4	4	21	3	3	237	2
BCL2L1	300	33	35	155	47	31	510	3
TPX2	1846	510	191	1345	311	233	3915	73
MYLK2	4	1	0	5	0	0	4	0
FOXS1	25	0	1	13	1	1	72	0
DUSP15	68	1	2	37	8	3	185	4
TTLL9	1	2	0	9	1	1	6	0
PDRG1	490	58	52	244	48	34	1110	13
XKR7	0	1	0	2	0	0	1	0
CCM2L	1	0	1	2	0	0	25	1
HCK	0	0	0	2	0	0	2	0
TM9SF4	511	95	36	518	101	63	1048	14
PLAGL2	243	37	26	162	45	15	552	10
POFUT1	191	26	19	135	23	20	406	3
KIF3B	382	72	41	340	67	29	804	6
ASXL1	1017	270	43	1222	276	186	2041	54
NOL4L	522	75	36	359	74	37	987	16
C20orf203	4	6	1	5	0	0	2	0
COMMD7	1389	126	97	676	112	76	2921	26
DNMT3B	458	97	318	536	69	56	725	20
MAPRE1	1852	181	129	917	182	96	3466	37
EFCAB8	6	0	0	13	1	0	3	1
SUN5	0	0	0	0	0	0	1	0
BPIFB2	0	0	0	0	0	0	0	0
BPIFB6	0	0	0	0	0	0	0	0
BPIFB3	0	0	0	0	0	0	0	0
BPIFB4	0	0	0	0	0	0	0	0
BPIFA2	0	0	0	0	0	0	0	0
BPIFA3	0	0	0	0	0	0	0	0
BPIFA1	0	0	0	0	0	0	1	0
BPIFB1	0	0	0	1	0	0	0	0
CDK5RAP1	495	86	34	350	60	35	1052	16
SNTA1	210	10	6	74	23	14	423	4
CBFA2T2	243	205	11	951	189	134	546	49
NECAB3	316	23	32	106	22	13	615	9
C20orf144	1	1	0	1	0	1	4	0
ACTL10	2	2	0	9	0	1	26	0
E2F1	282	43	17	172	37	18	605	9
PXMP4	85	12	14	60	20	5	220	1
ZNF341	41	8	1	53	4	5	96	2
CHMP4B	715	126	62	585	84	56	1516	19
RALY	2184	325	176	1848	313	164	4574	65
EIF2S2	3519	659	330	3190	543	323	7020	109
ASIP	71	76	0	330	90	28	165	24
AHCY	3050	273	264	1192	186	136	5796	40
ITCH	284	254	9	1115	231	133	580	33
DYNLRB1	2824	347	197	1511	271	184	6218	64
MAP1LC3A	647	41	33	293	43	28	1295	7
PIGU	288	102	17	302	63	46	634	8
NCOA6	310	106	14	576	118	89	561	29
TP53INP2	56	5	2	27	5	1	140	0
GGT7	125	66	9	217	33	26	344	11
ACSS2	189	22	14	202	26	15	352	6
GSS	493	64	41	233	36	42	932	11
MYH7B	2	0	2	6	1	1	11	1
TRPC4AP	725	143	44	880	138	131	1243	25
EDEM2	365	44	35	205	26	25	663	3
PROCR	505	19	37	137	18	24	633	3
MMP24OS	1072	57	116	487	45	62	1700	16
MMP24	14	32	8	103	16	11	20	2
EIF6	2408	302	251	995	193	123	4498	35
FAM83C	0	0	0	0	0	0	0	0
UQCC1	292	85	22	376	56	65	535	14
GDF5OS	8	1	0	6	1	1	14	0
GDF5	4	1	0	3	0	1	12	0
CEP250	285	51	18	186	45	16	539	6
C20orf173	0	0	0	0	0	0	0	0
ERGIC3	2339	210	173	890	118	109	5117	43
SPAG4	69	4	8	60	9	4	316	1
CPNE1	2125	225	104	979	164	111	3972	46
RBM12	500	76	33	290	68	40	954	13
NFS1	247	22	23	98	22	12	495	4
ROMO1	2924	291	161	1364	262	147	6074	44
RBM39	3991	554	235	3070	484	386	8146	106
PHF20	1079	275	77	1449	238	180	2457	44
SCAND1	3127	262	265	1365	228	166	6197	48
CNBD2	42	7	4	27	2	2	94	0
EPB41L1	139	10	18	99	14	17	258	9
AAR2	292	32	20	209	22	23	601	6
DLGAP4	787	136	62	575	100	69	1697	35
MYL9	3892	102	367	1221	187	140	7253	39
TGIF2	473	98	42	371	73	48	1015	19
RAB5IF	877	292	71	1190	192	147	1687	34
SLA2	1	0	0	2	0	0	5	0
NDRG3	258	63	23	197	40	19	556	14
DSN1	418	78	31	271	66	40	683	15
SOGA1	237	71	16	330	66	35	517	13
TLDC2	1	0	0	3	1	0	6	0
SAMHD1	53	9	30	49	12	10	103	0
RBL1	121	121	4	386	92	44	239	17
MROH8	23	14	0	78	12	5	45	1
RPN2	3603	356	293	1813	261	204	6955	77
GHRH	3	1	0	2	0	0	4	0
MANBAL	922	128	58	428	63	64	1834	27
SRC	326	109	12	477	47	37	610	9
BLCAP	451	82	39	369	41	26	1016	22
NNAT	103	11	3	1056	162	52	438	1
CTNNBL1	912	141	52	615	119	82	2060	29
VSTM2L	30	1	6	38	2	1	67	3
TTI1	287	60	22	260	52	48	577	14
RPRD1B	276	82	9	357	88	47	563	14
TGM2	72	0	2	32	8	4	81	0
KIAA1755	0	1	0	10	8	0	0	0
BPI	0	0	0	0	0	0	0	0
LBP	2	5	0	2	0	1	2	0
RALGAPB	225	67	26	476	69	55	529	20
ADIG	0	0	0	2	0	0	0	0
ARHGAP40	7	2	5	15	0	1	6	0
SLC32A1	0	1	0	1	0	0	0	0
ACTR5	137	22	11	72	8	16	314	2
PPP1R16B	0	1	3	6	1	2	2	1
FAM83D	277	78	25	246	51	34	606	15
DHX35	85	61	10	201	41	24	183	15
MAFB	57	9	8	40	3	4	115	0
TOP1	4204	583	174	2635	483	371	7832	79
PLCG1	216	47	12	205	35	28	531	12
ZHX3	97	46	2	292	63	39	130	7
LPIN3	87	7	9	55	11	7	148	1
EMILIN3	19	0	2	3	6	3	70	0
CHD6	756	244	41	1127	198	119	1728	58
PTPRT	20	94	0	13	28	7	50	13
SRSF6	1221	128	64	627	110	87	2678	36
L3MBTL1	101	19	8	166	43	22	125	8
SGK2	2	2	0	13	1	2	13	1
