mesoderm_NA18511	mesoderm_NA18856	mesoderm_NA18858	mesoderm_NA18912	mesoderm_NA19140	mesoderm_NA19159	mesoderm_NA19160	mesoderm_NA19210
MED18	112	18	11	46	12	12	230	7
PHACTR4	697	329	50	1410	289	172	1579	58
RCC1	490	112	38	327	53	41	1062	14
TRNAU1AP	840	111	61	564	80	75	2006	26
TAF12	1055	128	56	544	100	81	1952	24
RAB42	100	2	8	28	4	6	169	1
GMEB1	389	70	34	318	51	32	906	12
YTHDF2	2181	290	145	1192	219	155	4167	72
OPRD1	9	2	2	9	2	4	14	1
EPB41	648	321	36	1106	259	176	1270	40
TMEM200B	319	15	10	103	14	15	482	4
SRSF4	2684	510	187	2537	426	313	5474	90
MECR	347	60	17	261	39	35	714	11
PTPRU	44	7	6	78	10	3	164	3
MATN1	10	0	1	6	2	2	15	1
LAPTM5	5	0	0	3	0	0	10	0
SDC3	242	19	12	67	13	6	308	4
PUM1	1725	539	102	2579	409	277	3215	93
NKAIN1	107	38	12	126	41	21	311	7
SNRNP40	1749	292	107	1022	198	144	3540	54
ZCCHC17	1159	239	110	883	148	90	2502	35
FABP3	103	2	44	27	4	5	141	1
SERINC2	119	22	18	89	7	8	436	2
TINAGL1	7	0	6	1	0	0	32	0
HCRTR1	0	0	0	5	1	0	0	1
PEF1	836	84	69	337	58	42	1789	22
COL16A1	84	0	4	18	0	3	156	2
ADGRB2	39	6	3	29	3	2	135	1
SPOCD1	10	0	2	14	0	2	14	0
PTP4A2	2678	326	178	1536	268	192	5443	63
KHDRBS1	5611	944	374	3794	760	484	11951	159
TMEM39B	367	38	19	204	43	23	665	9
KPNA6	873	127	82	515	90	64	1533	20
TXLNA	492	67	20	335	52	36	956	13
CCDC28B	844	74	88	438	87	56	1896	13
IQCC	59	3	3	16	5	5	114	1
DCDC2B	1	2	0	14	4	1	0	1
TMEM234	222	20	19	77	11	12	432	2
EIF3I	3988	458	283	1865	286	232	8131	80
FAM167B	3	0	0	2	0	0	9	0
LCK	2	2	14	4	0	0	7	1
HDAC1	1305	171	172	717	115	85	2569	26
MARCKSL1	12730	1615	823	6668	1220	795	27839	286
TSSK3	7	3	0	18	2	1	10	0
FAM229A	97	6	4	37	9	4	176	2
BSDC1	503	44	36	297	52	42	954	15
ZBTB8B	65	14	3	53	8	6	118	1
ZBTB8A	283	95	19	403	74	50	625	13
ZBTB8OS	1224	193	84	809	135	120	2426	21
RBBP4	2159	433	121	1868	363	258	4882	74
SYNC	365	68	8	204	33	26	848	6
KIAA1522	371	45	26	258	49	29	740	8
YARS	1300	242	128	1141	187	96	2305	32
S100PBP	438	99	31	526	73	55	738	12
FNDC5	219	13	6	95	9	9	355	1
HPCA	6	1	1	8	1	0	20	0
TMEM54	260	53	49	260	40	19	504	2
RNF19B	84	7	11	79	15	9	171	2
AK2	1032	93	119	521	84	81	2313	24
AZIN2	32	8	2	56	13	10	108	2
TRIM62	28	4	3	41	5	7	47	2
ZNF362	297	82	9	354	50	33	538	6
A3GALT2	0	0	0	1	0	1	0	0
PHC2	739	102	32	473	85	54	1798	13
ZSCAN20	30	8	4	33	8	6	53	1
CSMD2	7	17	3	389	22	8	36	2
HMGB4	0	0	0	0	0	0	1	0
C1orf94	2	1	0	18	0	0	12	0
